
[00:00:00.000 --> 00:00:04.400]  多謝文軒執事的介紹
[00:00:04.400 --> 00:00:07.100]  剛才他提到的那本書
[00:00:07.100 --> 00:00:13.800]  書名跟今天的講題一模一樣
[00:00:13.800 --> 00:00:19.200]  書名是《求復興》
[00:00:19.200 --> 00:00:23.000]  這是我第一本書
[00:00:23.000 --> 00:00:25.000]  在人生路上
[00:00:25.000 --> 00:00:28.200]  1989年第一本出的書
[00:00:28.200 --> 00:00:30.400]  《求復興》
[00:00:30.400 --> 00:00:33.000]  出這本書並不容易
[00:00:33.000 --> 00:00:36.000]  因為需要自己組織一間公司
[00:00:36.000 --> 00:00:37.800]  掛名的公司
[00:00:37.800 --> 00:00:40.000]  需要自己付錢
[00:00:40.000 --> 00:00:42.000]  需要自己寫
[00:00:42.000 --> 00:00:44.000]  需要找人幫忙
[00:00:44.000 --> 00:00:46.000]  自己校對
[00:00:46.000 --> 00:00:48.400]  當然要找人出版
[00:00:48.400 --> 00:00:51.400]  結果出版了這本書
[00:00:51.400 --> 00:00:53.400]  《求復興》
[00:00:53.400 --> 00:00:54.600]  當中我很感恩
[00:00:54.600 --> 00:00:57.800]  因為有很多弟兄姊妹在當中的幫助
[00:00:57.800 --> 00:01:00.600]  大家留意這個設計是不是很漂亮
[00:01:00.600 --> 00:01:02.800]  就是我們的會友
[00:01:02.800 --> 00:01:05.400]  蔡崇光弟兄設計師
[00:01:05.400 --> 00:01:07.400]  義務幫我
[00:01:07.400 --> 00:01:10.400]  除此之外其實還有很多人幫我
[00:01:10.400 --> 00:01:12.400]  包括何梓珍姐妹
[00:01:12.400 --> 00:01:14.800]  在錄音整理
[00:01:14.800 --> 00:01:17.800]  包括有這位徐美玲姐妹
[00:01:17.800 --> 00:01:19.400]  做推廣
[00:01:19.400 --> 00:01:21.400]  還有羅慶傑弟兄都有
[00:01:21.400 --> 00:01:23.400]  在各方面的幫助
[00:01:23.400 --> 00:01:24.600]  所以很感恩
[00:01:24.600 --> 00:01:28.400]  最終能夠出版這本書
[00:01:28.400 --> 00:01:32.200]  也表明在我的心目中
[00:01:32.200 --> 00:01:36.000]  我們需要去求復興
[00:01:36.000 --> 00:01:38.400]  28年前出的書到今天
[00:01:38.400 --> 00:01:40.600]  也繼續講下去
[00:01:40.600 --> 00:01:43.400]  也表明在這方面
[00:01:43.400 --> 00:01:46.200]  我並沒有消減
[00:01:46.200 --> 00:01:49.800]  仍然很期盼今天的基督徒
[00:01:49.800 --> 00:01:52.000]  今天的教會
[00:01:52.000 --> 00:01:56.000]  都能夠經歷神早有預備的
[00:01:56.000 --> 00:01:58.000]  生命的復興
[00:01:58.000 --> 00:02:00.800]  所以在今天的崇拜中
[00:02:00.800 --> 00:02:03.600]  在一年的差不多結尾
[00:02:03.600 --> 00:02:07.400]  又快要踏進新的2018年的時候
[00:02:07.400 --> 00:02:10.600]  希望我們能夠前瞻
[00:02:10.600 --> 00:02:12.200]  然後再期盼
[00:02:12.200 --> 00:02:16.200]  會不會神將復興的恩福
[00:02:16.200 --> 00:02:18.200]  賜給我們呢?
[00:02:18.200 --> 00:02:20.400]  讓我們都有這個心志
[00:02:20.400 --> 00:02:23.000]  求復興的心志
[00:02:23.000 --> 00:02:25.000]  我們需要認識一下
[00:02:25.000 --> 00:02:26.400]  怎樣叫求復興
[00:02:26.400 --> 00:02:30.400]  甚麼叫求復興呢?
[00:02:30.400 --> 00:02:31.800]  讓我們今天
[00:02:31.800 --> 00:02:34.800]  只去了解一節經文
[00:02:34.800 --> 00:02:38.800]  在當中就可以給我們很寶貴的道理
[00:02:38.800 --> 00:02:41.400]  就是剛才文英吉和我們所讀到的
[00:02:41.400 --> 00:02:45.600]  詩篇的85篇的第6節
[00:02:45.600 --> 00:02:47.000]  其實按我的了解
[00:02:47.000 --> 00:02:49.600]  整篇85篇的詩篇
[00:02:49.600 --> 00:02:52.600]  都是講到復興的訊息
[00:02:52.600 --> 00:02:54.400]  不過在這一節裏面
[00:02:54.400 --> 00:02:56.600]  就更加的清晰
[00:02:56.600 --> 00:03:00.600]  凸顯出復興的重要性
[00:03:00.600 --> 00:03:01.600]  好了
[00:03:01.600 --> 00:03:04.200]  大家讀完這一節的經文
[00:03:04.200 --> 00:03:08.000]  找不找到復興的兩個字?
[00:03:08.000 --> 00:03:10.400]  好像找不到
[00:03:10.400 --> 00:03:13.600]  為甚麼聶牧師說第6節很有關係
[00:03:13.600 --> 00:03:16.200]  但好像這一節的經文
[00:03:16.200 --> 00:03:19.000]  「你不再將我們救活
[00:03:19.000 --> 00:03:22.200]  使你的百姓靠你歡喜嗎?」
[00:03:22.200 --> 00:03:24.600]  找不到復興
[00:03:24.600 --> 00:03:25.800]  但不是
[00:03:25.800 --> 00:03:30.200]  這一節只是一個求復興的禱告
[00:03:30.200 --> 00:03:31.600]  不過在翻譯上
[00:03:31.600 --> 00:03:35.000]  我們即時看不清楚
[00:03:35.000 --> 00:03:41.000]  但其實「救活」就是復興的字
[00:03:41.000 --> 00:03:46.200]  當我們有機會去看原文的時候
[00:03:46.200 --> 00:03:49.000]  我們就發現原來
[00:03:49.000 --> 00:03:52.000]  在很多不同的經文的出處
[00:03:52.000 --> 00:03:53.400]  都有這個字
[00:03:53.400 --> 00:03:54.600]  而這個字的出現
[00:03:54.600 --> 00:03:57.200]  在不同的脈絡上下文的時候
[00:03:57.200 --> 00:04:00.200]  原來都有不同的翻譯
[00:04:00.200 --> 00:04:03.200]  但是那個意義都很相近
[00:04:03.200 --> 00:04:05.800]  當我查一查聖經的時候發現
[00:04:05.800 --> 00:04:09.200]  原來這個字可以翻譯成為「重修」
[00:04:09.200 --> 00:04:10.600]  修理的修
[00:04:10.600 --> 00:04:14.000]  又可以翻譯成為「復申」
[00:04:14.000 --> 00:04:17.000]  翻譯成為「更換為新」
[00:04:17.000 --> 00:04:19.800]  又可以翻譯成為「活」
[00:04:19.800 --> 00:04:22.800]  又可以翻譯成為「得生」
[00:04:22.800 --> 00:04:27.200]  當然更加可以直接的翻譯成為「復興」
[00:04:27.200 --> 00:04:29.600]  就是在哈巴谷書的三章二節
[00:04:29.600 --> 00:04:31.400]  我們很熟悉的「耶和華」
[00:04:31.400 --> 00:04:35.400]  「求你在這些年間復興你的作為」
[00:04:35.400 --> 00:04:37.200]  就是這個字
[00:04:37.200 --> 00:04:40.400]  然後當然還可以翻譯成為「蘇醒」
[00:04:40.400 --> 00:04:42.600]  可以翻譯成為「存活」
[00:04:42.600 --> 00:04:46.200]  也可以就是我們經文裡面的「救活」
[00:04:46.200 --> 00:04:49.400]  更加可以翻譯成為「復活」
