
[00:00:00.000 --> 00:00:03.320]  繼續《約書亞記》的一篇講論
[00:00:03.320 --> 00:00:07.060]  來到《約書亞記》五章十三十五節
[00:00:07.060 --> 00:00:09.960]  我再說 來到第五章之後
[00:00:09.960 --> 00:00:13.480]  約書亞就要帶領着以色列的大軍
[00:00:13.480 --> 00:00:16.420]  進入迦南的美地
[00:00:16.420 --> 00:00:21.760]  在前幾章裏面有很多似乎是單言的時候
[00:00:21.760 --> 00:00:24.680]  爲什麼上帝帶領到這個地方
[00:00:24.680 --> 00:00:26.480]  那麼久都沒有進入呢?
[00:00:26.480 --> 00:00:28.160]  其實絕不單言
[00:00:28.160 --> 00:00:30.040]  當中有很多的準備
[00:00:30.040 --> 00:00:34.080]  包括我們看到的那份信心
[00:00:34.080 --> 00:00:36.280]  那份爛弱在當中
[00:00:36.280 --> 00:00:38.920]  所以當他們過了約旦河
[00:00:38.920 --> 00:00:41.080]  來到河邊
[00:00:41.080 --> 00:00:43.280]  或者這麼說 過了約旦河之後
[00:00:43.280 --> 00:00:45.640]  他們行完國禮
[00:00:45.640 --> 00:00:47.680]  開始這個如意節
[00:00:47.680 --> 00:00:52.760]  不再需要喫馬拿的開啓之後
[00:00:52.760 --> 00:00:54.400]  來到一個段落
[00:00:54.400 --> 00:00:58.760]  約書亞靜下來 去到神面前
[00:00:58.760 --> 00:01:02.480]  在這個時刻沒有萬馬奔騰
[00:01:02.480 --> 00:01:05.280]  令約書亞覺得壯膽
[00:01:05.280 --> 00:01:08.520]  也沒有任何人在他身邊
[00:01:08.520 --> 00:01:11.880]  令他覺得可以依靠 可以有優本
[00:01:11.880 --> 00:01:13.720]  只有單單他自己
[00:01:13.720 --> 00:01:15.640]  究竟他在這個段落
[00:01:15.640 --> 00:01:19.760]  或者今天上帝讓我們在這個年度的講章
[00:01:19.760 --> 00:01:23.680]  我們停留再講十三至十五節的時候
[00:01:23.680 --> 00:01:25.520]  我們應該怎麼去思考呢
[00:01:25.520 --> 00:01:28.520]  我們一起去讀這一段經文
[00:01:28.520 --> 00:01:33.280]  我們去看約書亞紀第五章
[00:01:33.280 --> 00:01:35.000]  第十三至十五節
[00:01:35.000 --> 00:01:39.800]  我們看下一頁
[00:01:39.800 --> 00:01:41.840]  我們一起讀出這段經文
[00:01:41.840 --> 00:01:43.480]  聖經這樣說
[00:01:43.480 --> 00:01:47.480]  約書亞靠近耶利哥的時候
[00:01:47.480 --> 00:01:49.080]  舉目觀看
[00:01:49.080 --> 00:01:54.920]  不料有一個人手裏有拔出來的刀
[00:01:54.920 --> 00:01:56.040]  對面站立
[00:01:56.040 --> 00:01:58.720]  約書亞到他那裏問他說
[00:01:58.720 --> 00:02:00.320]  你是幫助我們呢
[00:02:00.320 --> 00:02:02.240]  是幫助我們的敵人呢
[00:02:02.240 --> 00:02:03.280]  他回答說
[00:02:03.280 --> 00:02:04.280]  不是的
[00:02:04.280 --> 00:02:07.240]  我是來要作耶和華軍隊的元帥
[00:02:07.240 --> 00:02:09.520]  下一頁
[00:02:09.520 --> 00:02:12.880]  約書亞就俯伏在地上下拜說
[00:02:12.880 --> 00:02:15.560]  我主有什麼話吩咐僕人
[00:02:15.560 --> 00:02:19.200]  耶和華軍隊元帥對約書亞說
[00:02:19.200 --> 00:02:22.760]  把你腳上的鞋脫下來
[00:02:22.760 --> 00:02:25.480]  因爲你所站的地方是聖地
[00:02:25.480 --> 00:02:29.320]  約書亞就照着行了
[00:02:29.320 --> 00:02:32.160]  三節的經文
[00:02:32.160 --> 00:02:35.000]  正正就是約書亞
[00:02:35.000 --> 00:02:39.120]  他面對要去得這個美地的時候
[00:02:39.120 --> 00:02:40.920]  一個前一頁
[00:02:40.920 --> 00:02:44.520]  前一頁他望着耶利哥城
[00:02:44.520 --> 00:02:48.760]  望着他經歷了幾十年的人生
[00:02:48.760 --> 00:02:51.240]  要去進入的一個美地
[00:02:51.240 --> 00:02:52.600]  他有什麼準備
[00:02:52.600 --> 00:02:57.120]  或者神在這個最後大戰之前的準備
[00:02:57.120 --> 00:03:00.560]  他要準備些什麼呢
[00:03:00.560 --> 00:03:01.840]  正如我剛纔說
[00:03:01.840 --> 00:03:04.960]  指南針先需要調教
[00:03:04.960 --> 00:03:07.800]  然後你纔在航行的旅程
[00:03:07.800 --> 00:03:12.400]  能夠去找到祂的幫助
[00:03:12.400 --> 00:03:18.000]  我想今天先在當中分享戴德生這位牧師的一句金句
[00:03:18.000 --> 00:03:20.240]  戴德生牧師這樣說
[00:03:20.240 --> 00:03:24.840]  在開始時我問神如何幫助我完成我的工作
[00:03:24.840 --> 00:03:28.440]  後來我問神如何幫助我去完成祂的工作
[00:03:28.440 --> 00:03:34.800]  最後我問神祂如何透過我去完成祂的工作
[00:03:34.800 --> 00:03:38.880]  我想小學生如果找作具應該挺容易做
[00:03:38.880 --> 00:03:42.520]  因爲都是祂、我、工作等等
[00:03:42.520 --> 00:03:47.920]  但實際上戴德生這位來華的英國宣家使
[00:03:47.920 --> 00:03:52.040]  他帶動了一個很大的芳蕩潮在中國
[00:03:52.040 --> 00:03:54.160]  這位戴德生宣家使
[00:03:54.160 --> 00:03:57.200]  他在說他生命裏的那種調節
[00:03:57.200 --> 00:04:01.120]  他的人生面對他一場一場屬靈的征戰
[00:04:01.120 --> 00:04:04.240]  或者一場一場屬靈的得勝
[00:04:04.240 --> 00:04:05.840]  他說的一樣很特別
[00:04:05.840 --> 00:04:10.200]  就是那個進程、生命的那種改變
[00:04:10.200 --> 00:04:14.280]  他向神問神你如何幫助我
[00:04:14.280 --> 00:04:15.840]  你知道我們每一個人都是這樣
[00:04:15.840 --> 00:04:19.360]  來到主面前當然是說自己的事
[00:04:19.360 --> 00:04:21.760]  有時我們都會爲A爲B祈禱
[00:04:21.760 --> 00:04:24.600]  不過最大段落總是神
[00:04:24.600 --> 00:04:30.360]  我有ABCDEFGHIJKL這麼多的需要
[00:04:30.360 --> 00:04:34.920]  他說我問神如何幫我完成我的工作
[00:04:34.920 --> 00:04:37.360]  但他生命成長他重新調教
[00:04:37.360 --> 00:04:42.080]  他說我問神如何幫助我完成我的工作
[00:04:42.080 --> 00:04:45.120]  似乎戴德生慢慢的人生有一種調教
[00:04:45.120 --> 00:04:49.560]  他知道工作是爲神的
[00:04:49.560 --> 00:04:50.800]  我們就再祈禱
[00:04:50.800 --> 00:04:52.840]  神啊是禰派我來
[00:04:52.840 --> 00:04:56.360]  我如何能夠完成禰的工作呢
[00:04:56.360 --> 00:04:58.400]  但他再調教他的人生
[00:04:58.400 --> 00:04:59.720]  正如我經常說
[00:04:59.720 --> 00:05:02.080]  每一個生命是要不斷地成長
[00:05:02.080 --> 00:05:04.680]  無論你在基督裏面經歷多少
[00:05:04.680 --> 00:05:06.320]  你人生的閱歷多大
[00:05:06.320 --> 00:05:10.120]  或者你今天在社會里面的位置多高
[00:05:10.120 --> 00:05:12.840]  他說最後我問神
[00:05:12.840 --> 00:05:18.680]  祂如何透過我去完成祂的工作
[00:05:18.680 --> 00:05:21.320]  今天約書雅面對
[00:05:21.320 --> 00:05:23.560]  在她面前聖經說
[00:05:23.560 --> 00:05:25.760]  她很近耶利哥
[00:05:25.760 --> 00:05:27.480]  她在耶利哥那裏
[00:05:27.480 --> 00:05:30.320]  看着耶利哥
[00:05:30.320 --> 00:05:38.120]  但上帝使者耶和華軍隊元帥向她顯現
[00:05:38.120 --> 00:05:41.000]  上帝要調節的是什麼呢
[00:05:41.000 --> 00:05:43.200]  或者以後我有三個問題
[00:05:43.200 --> 00:05:47.120]  我相信當我們面對人生一個又大又難的事
[00:05:47.120 --> 00:05:50.480]  或者我覺得這三個問題
[00:05:50.480 --> 00:05:53.880]  都值得我們無論面對任何挑戰
[00:05:53.880 --> 00:05:56.600]  或者人生再進一城的時候
[00:05:56.600 --> 00:05:59.840]  有三個問題值得我們一同反思
[00:05:59.840 --> 00:06:01.680]  一同學習
[00:06:01.680 --> 00:06:03.880]  第一個問題是問
[00:06:03.880 --> 00:06:06.480]  我們今天專注在哪裏呢
[00:06:06.480 --> 00:06:10.120]  你看着專注一件事
[00:06:10.120 --> 00:06:12.200]  還是看着
[00:06:12.200 --> 00:06:16.720]  聖經說約書靠近耶利哥的時候
[00:06:16.720 --> 00:06:19.560]  舉目觀看
[00:06:19.560 --> 00:06:21.960]  聖經有一個提示給我們
[00:06:21.960 --> 00:06:25.440]  有一個提示給了我們
[00:06:25.440 --> 00:06:27.520]  我再說約書在這個時空
[00:06:27.520 --> 00:06:28.880]  自己一個人
[00:06:28.880 --> 00:06:32.160]  我不知道在什麼時空 爲什麼
[00:06:32.160 --> 00:06:35.160]  或者一個領袖就是這樣
[00:06:35.160 --> 00:06:38.080]  很多時候他都要自己去面對
