
[00:00:00.000 --> 00:00:06.760]  好,頂姐妹平安,很開心跟大家一齊思想神的說話
[00:00:06.760 --> 00:00:11.680]  我想生命裡經常都要蛻變和更新的
[00:00:11.680 --> 00:00:16.000]  跟神的相遇會帶給我們生命的改變
[00:00:16.000 --> 00:00:22.840]  我相信今天預備的都跟今天早上說的有些連貫的
[00:00:22.840 --> 00:00:24.920]  我想從一個開始看
[00:00:24.920 --> 00:00:29.120]  不知道大家覺不覺得在今年夏季之後開始
[00:00:29.120 --> 00:00:33.200]  今天是開始涼一些了
[00:00:33.200 --> 00:00:35.200]  還是大家穿了衣服都看近來那個
[00:00:35.200 --> 00:00:38.680]  都較為少人穿短袖衣服的了
[00:00:38.680 --> 00:00:39.720]  即是今天的日子
[00:00:39.720 --> 00:00:41.400]  除非那些很壯那些
[00:00:41.400 --> 00:00:48.440]  或者剛剛身上火熱的
[00:00:48.440 --> 00:00:53.280]  換季了,這個時候都是一個
[00:00:53.280 --> 00:00:55.760]  其實都不只是換季我們才換衣服的
[00:00:55.760 --> 00:01:00.000]  每天我們都會換衣服的
[00:01:00.000 --> 00:01:03.600]  聖經裡面用很多關於衣服
[00:01:03.600 --> 00:01:07.320]  衣服這個形象去表達一些真理的
[00:01:07.320 --> 00:01:08.520]  因為衣服很特別的
[00:01:08.520 --> 00:01:11.360]  衣服是可以見到的
[00:01:11.360 --> 00:01:17.320]  但是生命很難看見的
[00:01:17.320 --> 00:01:18.640]  聖經用一個字眼
[00:01:18.640 --> 00:01:19.720]  不知道大家記不記得
[00:01:19.720 --> 00:01:21.360]  在《迦太史》這樣說
[00:01:21.360 --> 00:01:22.960]  它說我們信耶穌的人
[00:01:22.960 --> 00:01:25.680]  是要披戴基督
[00:01:25.680 --> 00:01:27.120]  你想一下這個字怎麼解釋
[00:01:27.120 --> 00:01:28.200]  披戴基督
[00:01:28.200 --> 00:01:31.640]  即是好像把耶穌基督當成一件衣服那樣
[00:01:31.640 --> 00:01:35.640]  一件袍那樣戴在身上
[00:01:35.640 --> 00:01:37.240]  不是當風當雨
[00:01:37.240 --> 00:01:38.960]  其實它的意義不是這樣的
[00:01:38.960 --> 00:01:43.720]  它只是說這個生命要有一個實質可見的地方
[00:01:43.720 --> 00:01:45.360]  信仰是很特別的
[00:01:45.360 --> 00:01:46.720]  我們經歷神的恩典
[00:01:46.720 --> 00:01:49.280]  我們經歷我們的生命的改變
[00:01:49.280 --> 00:01:51.000]  我們得著這個救恩
[00:01:51.000 --> 00:01:54.000]  是一種我們眼見不到的變化
[00:01:54.000 --> 00:01:56.000]  我們說重生
[00:01:56.000 --> 00:01:58.840]  我們說得了永生
[00:01:58.840 --> 00:02:00.920]  我們跟神重新建立過的關係
[00:02:00.920 --> 00:02:03.480]  這些東西全部都在屬靈的領域裡面出現
[00:02:03.480 --> 00:02:05.240]  發生我們相信
[00:02:05.240 --> 00:02:08.440]  但這些東西是眼見不到的
[00:02:08.440 --> 00:02:10.760]  但是聖經會不會告訴我們
[00:02:10.760 --> 00:02:14.600]  我們的生命要把一些眼見不到的東西
[00:02:14.600 --> 00:02:18.360]  讓它用眼能夠見不到的方式呈現出來
[00:02:18.360 --> 00:02:21.240]  所以它用了很多這些圖畫去表達
[00:02:21.240 --> 00:02:22.200]  表達什麼呢
[00:02:22.200 --> 00:02:24.200]  我們的生命是需要
[00:02:24.200 --> 00:02:26.200]  好像一件衣服那樣
[00:02:26.200 --> 00:02:28.120]  將一件舊的衣服放下
[00:02:28.120 --> 00:02:29.080]  脫掉它
[00:02:29.080 --> 00:02:31.960]  然後穿上一件新的衣服
[00:02:31.960 --> 00:02:33.400]  其實我們在這個主題
[00:02:33.400 --> 00:02:35.320]  今季的主題是脫去捆綁
[00:02:35.320 --> 00:02:36.160]  脫去捆索
[00:02:36.160 --> 00:02:37.760]  其實都是跟這個有些相關的
[00:02:37.760 --> 00:02:40.200]  所以生命裡面那些綁著你的
[00:02:40.200 --> 00:02:41.520]  鎖著你的東西
[00:02:41.520 --> 00:02:42.520]  跟罪有關
[00:02:42.520 --> 00:02:44.040]  跟生命的軟弱有關的東西
[00:02:44.040 --> 00:02:45.040]  扔掉它
[00:02:45.040 --> 00:02:47.640]  然後穿上一件新的
[00:02:47.640 --> 00:02:50.480]  從耶穌基督而來的衣服
[00:02:50.480 --> 00:02:53.400]  神做的工作是我們做不到的
[00:02:53.400 --> 00:02:55.960]  神將這個兒女的名份給我們
[00:02:55.960 --> 00:02:58.480]  神將這個永生的禮物賜給我們
