
[00:00:00.000 --> 00:00:02.000]  弟兄姊妹有沒有朋友?
[00:00:02.000 --> 00:00:08.000]  你要看那個是什麼人
[00:00:08.000 --> 00:00:11.000]  他就會跟什麼朋友
[00:00:11.000 --> 00:00:16.000]  你要去看究竟他是怎樣的
[00:00:16.000 --> 00:00:19.000]  你要看看他旁邊的朋友是怎樣的朋友
[00:00:19.000 --> 00:00:22.000]  今天我們講彈耳朵
[00:00:22.000 --> 00:00:26.000]  我們就側寫側看彈耳朵
[00:00:26.000 --> 00:00:30.000]  彈耳朵這裡是講他有幾個朋友
[00:00:30.000 --> 00:00:34.000]  這幾個朋友是很特別
[00:00:34.000 --> 00:00:36.000]  這幾個朋友是怎樣呢?
[00:00:36.000 --> 00:00:38.000]  他是面對一些挑戰
[00:00:38.000 --> 00:00:43.000]  面對這些挑戰給他們有一個很大的衝擊
[00:00:43.000 --> 00:00:47.000]  弟兄姊妹,揭曉聖經沒有?
[00:00:47.000 --> 00:00:51.000]  或者你按好聖經的Apps沒有?
[00:00:51.000 --> 00:00:58.000]  我講過了,因為看人物牽涉的經文是多的
[00:00:58.000 --> 00:01:02.000]  我會很快看,一看就可以看完
[00:01:02.000 --> 00:01:08.000]  所以今天不只是看主席讀的那一段
[00:01:08.000 --> 00:01:11.000]  我們先看這一段,彈耳朵
[00:01:11.000 --> 00:01:16.000]  聖經這一段很清楚告訴我們
[00:01:16.000 --> 00:01:22.000]  猶大王約瓦敬,南國的王
[00:01:22.000 --> 00:01:27.000]  約瓦敬三年就是主前605年
[00:01:27.000 --> 00:01:34.000]  數一數,距離現在是二千,差不多七百年
[00:01:34.000 --> 00:01:38.000]  在這個年度裏面
[00:01:38.000 --> 00:01:41.000]  猶大王就面對一個挑戰
[00:01:41.000 --> 00:01:45.000]  就是什麼?巴比倫王尼布格尼撒來到耶路撒冷
[00:01:45.000 --> 00:01:47.000]  圍住他的城
[00:01:47.000 --> 00:01:52.000]  然後主將猶大王約瓦敬神殿的器皿
[00:01:52.000 --> 00:01:54.000]  全部幾份交在他的手裏
[00:01:54.000 --> 00:01:59.000]  然後將器皿帶到士拿地,巴比倫地一個別稱
[00:01:59.000 --> 00:02:03.000]  收入他的神庫裏面
[00:02:03.000 --> 00:02:07.000]  在當中將所有這些拿走
[00:02:07.000 --> 00:02:14.000]  耶和華系神在這樣的處境裏面是很沒面子
[00:02:14.000 --> 00:02:20.000]  如果我們看聖經,如果我們知道彈耳朵有十二章的時候
[00:02:20.000 --> 00:02:24.000]  今天我講的主要是一章和第三章的時間
[00:02:24.000 --> 00:02:26.000]  回去記得看完
[00:02:26.000 --> 00:02:33.000]  在這一段,王吩咐一個太監叫做阿斯比納
