
[00:00:00.000 --> 00:00:02.000]  我們一起去祈禱
[00:00:02.000 --> 00:00:04.000]  主,我們來到祢面前
[00:00:04.000 --> 00:00:06.000]  我們真的要呼求祢
[00:00:06.000 --> 00:00:08.000]  主,我們求祢
[00:00:08.000 --> 00:00:10.000]  當日祢說祢會差遣聖靈來
[00:00:10.000 --> 00:00:12.000]  帶領我們進入祢的真理
[00:00:12.000 --> 00:00:16.000]  亦都是進入
[00:00:16.000 --> 00:00:18.000]  祢的心懷
[00:00:18.000 --> 00:00:20.000]  所以主願聖靈在我們心裏
[00:00:20.000 --> 00:00:22.000]  帶領我們摸著
[00:00:22.000 --> 00:00:24.000]  主的心懷的時候
[00:00:24.000 --> 00:00:26.000]  我們能夠活現上帝
[00:00:26.000 --> 00:00:28.000]  祢的形象
[00:00:28.000 --> 00:00:30.000]  讓很多人能夠認識祢
[00:00:30.000 --> 00:00:32.000]  所以主願祢的靈
[00:00:32.000 --> 00:00:34.000]  來充滿我們
[00:00:34.000 --> 00:00:36.000]  祝福我們,帶領我們
[00:00:36.000 --> 00:00:38.000]  多謝耶穌與我們同在
[00:00:38.000 --> 00:00:40.000]  奉耶穌的名,阿們
[00:00:40.000 --> 00:00:42.000]  我喜歡講故事
[00:00:42.000 --> 00:00:44.000]  話說很久了
[00:00:44.000 --> 00:00:46.000]  在十八世紀的美國
[00:00:46.000 --> 00:00:48.000]  仍然奉行奴隸制度
[00:00:48.000 --> 00:00:50.000]  當時有一個少年人
[00:00:50.000 --> 00:00:52.000]  叫湯姆
[00:00:52.000 --> 00:00:54.000]  每個禮拜
[00:00:54.000 --> 00:00:56.000]  都會去一個地方
[00:00:56.000 --> 00:00:58.000]  去哪裏?
[00:00:58.000 --> 00:01:00.000]  去哪裏?
[00:01:00.000 --> 00:01:02.000]  都是和大家一樣
[00:01:02.000 --> 00:01:04.000]  每個禮拜都會去教會
[00:01:04.000 --> 00:01:06.000]  和大家一樣
[00:01:06.000 --> 00:01:08.000]  唱詩,然後聽道
[00:01:08.000 --> 00:01:10.000]  有一次湯姆聚會的時候
[00:01:10.000 --> 00:01:12.000]  聽到牧師
[00:01:12.000 --> 00:01:14.000]  在那裏分享
[00:01:14.000 --> 00:01:16.000]  這個牧師就分享
[00:01:16.000 --> 00:01:18.000]  他講及耶穌的愛
[00:01:18.000 --> 00:01:20.000]  如何打破人與人之間的隔膜
[00:01:20.000 --> 00:01:22.000]  然後
[00:01:22.000 --> 00:01:24.000]  牧師就出了一個難題
[00:01:24.000 --> 00:01:26.000]  這個難題
[00:01:26.000 --> 00:01:28.000]  主要是提醒
[00:01:28.000 --> 00:01:30.000]  弟兄姊妹要
[00:01:30.000 --> 00:01:32.000]  突破一些傳統的觀念
[00:01:32.000 --> 00:01:34.000]  要特別
[00:01:34.000 --> 00:01:36.000]  不要對任何人
[00:01:36.000 --> 00:01:38.000]  有色眼鏡
[00:01:38.000 --> 00:01:40.000]  其實主要是
[00:01:40.000 --> 00:01:42.000]  提醒弟兄姊妹
[00:01:42.000 --> 00:01:44.000]  對非裔人士
[00:01:44.000 --> 00:01:46.000]  不要刻薄他們,不要這樣對待他們
[00:01:46.000 --> 00:01:48.000]  然後要提醒他們
[00:01:48.000 --> 00:01:50.000]  特別是針對奴隸制度
[00:01:50.000 --> 00:01:52.000]  這個難題是怎樣呢?
[00:01:52.000 --> 00:01:54.000]  這個難題
[00:01:54.000 --> 00:01:56.000]  我們現在故事先停在這裏
[00:01:56.000 --> 00:01:58.000]  我們一起去想想這個難題
[00:01:58.000 --> 00:02:00.000]  麻煩大家
[00:02:00.000 --> 00:02:02.000]  這個難題
[00:02:02.000 --> 00:02:04.000]  大家先看一看
[00:02:04.000 --> 00:02:06.000]  這個難題
