
[00:00:00.000 --> 00:00:27.000]  「因典逼人來,德性懼怕人的網絡」議案
[00:00:30.000 --> 00:00:36.480]  我打開師母為我預備的午餐
[00:00:36.480 --> 00:00:42.240]  那天吃的就是冬菇炆雞翼飯
[00:00:42.240 --> 00:00:45.840]  當然是前一晚吃剩的就來吃
[00:00:45.840 --> 00:00:47.680]  那天其實我心裏面很急
[00:00:47.680 --> 00:00:49.800]  因為我們有祈禱的聚會
[00:00:49.800 --> 00:00:51.360]  又要準備講道
[00:00:51.360 --> 00:00:52.440]  想快快就去吃
[00:00:52.440 --> 00:00:56.800]  又想著吃雞翼飯又要吃很麻煩
[00:00:56.800 --> 00:00:58.080]  誰知我一吃的時候
[00:00:58.080 --> 00:00:59.280]  一打開的時候
[00:00:59.280 --> 00:01:00.960]  十分滿意
[00:01:00.960 --> 00:01:03.880]  原來那些雞翼已經已經拆骨了
[00:01:03.880 --> 00:01:06.520]  冬菇雞翼飯就直接吃
[00:01:06.520 --> 00:01:08.720]  有些汁就很適合
[00:01:08.720 --> 00:01:10.040]  但我一邊吃的時候
[00:01:10.040 --> 00:01:11.760]  一邊有些惆悵
[00:01:11.760 --> 00:01:14.160]  心裏面有些很特別的感覺
[00:01:14.160 --> 00:01:17.400]  因為我想起我今天要講的道
[00:01:17.400 --> 00:01:19.280]  還有我想起很久以前
[00:01:19.280 --> 00:01:22.040]  我和各位講過一個故事
[00:01:22.040 --> 00:01:25.120]  所以心裏面有少少特別的感覺
[00:01:25.120 --> 00:01:26.680]  你記不記得我講過
[00:01:26.680 --> 00:01:29.320]  Tony Campolo講過一個故事
[00:01:29.320 --> 00:01:32.160]  大概是以下的樣子
[00:01:32.160 --> 00:01:34.840]  他講到一個女人
[00:01:34.840 --> 00:01:36.360]  她年紀都很大
[00:01:36.360 --> 00:01:38.960]  經歷過很多的風波
[00:01:38.960 --> 00:01:40.280]  她未有結婚
[00:01:40.280 --> 00:01:43.280]  終於後來有一個男人喜歡她
[00:01:43.280 --> 00:01:44.640]  就和她結婚了
[00:01:44.640 --> 00:01:48.200]  向她求婚結婚等等
[00:01:48.200 --> 00:01:51.240]  發了請帖請人吃飯
[00:01:51.240 --> 00:01:54.120]  訂了酒家訂了酒席
[00:01:54.120 --> 00:01:56.120]  但臨結婚之前兩個星期
[00:01:56.120 --> 00:01:57.640]  那個男人跟她說
[00:01:57.640 --> 00:01:58.640]  我想清楚了
[00:01:58.640 --> 00:02:00.520]  我還是不和你結婚了
[00:02:00.520 --> 00:02:02.240]  因為我怕別人說
[00:02:02.240 --> 00:02:03.440]  因為太多的事情
[00:02:03.440 --> 00:02:04.440]  我又怕別人說
[00:02:04.440 --> 00:02:06.400]  我也不想負這個責任
[00:02:06.400 --> 00:02:09.320]  可不可以我們繼續做朋友
[00:02:09.320 --> 00:02:10.320]  好的朋友
[00:02:10.320 --> 00:02:11.640]  但我們不結婚
[00:02:11.640 --> 00:02:12.680]  這個女人跟她說
[00:02:12.680 --> 00:02:14.520]  她說你怎麼可以這樣
[00:02:14.520 --> 00:02:16.400]  你明明大家講清楚
[00:02:16.400 --> 00:02:17.760]  而且你是向我求婚
[00:02:17.760 --> 00:02:18.600]  我就接了
[00:02:18.600 --> 00:02:19.440]  我發了請帖
[00:02:19.440 --> 00:02:20.400]  我又請了人
[00:02:20.400 --> 00:02:21.880]  怎麼可以這樣
[00:02:21.880 --> 00:02:23.800]  那個男人就說
[00:02:23.800 --> 00:02:24.440]  不行了
[00:02:24.440 --> 00:02:25.040]  我怕
[00:02:25.040 --> 00:02:26.680]  不行了
[00:02:26.680 --> 00:02:28.200]  我不肯了
[00:02:28.200 --> 00:02:29.920]  這個女人就很難過
[00:02:29.920 --> 00:02:31.680]  就要去取消
[00:02:31.680 --> 00:02:32.920]  當她去到酒家裡面
[00:02:32.920 --> 00:02:35.800]  想拿回付款的錢
[00:02:35.800 --> 00:02:37.800]  酒家跟她說
[00:02:37.800 --> 00:02:39.600]  你兩個星期才跟我說
[00:02:39.600 --> 00:02:41.400]  你整個大堂都給了你
[00:02:41.400 --> 00:02:43.280]  我怎麼去再找生意
[00:02:43.280 --> 00:02:44.960]  我沒辦法給你了
[00:02:44.960 --> 00:02:46.040]  你來吃
[00:02:46.040 --> 00:02:47.680]  找什麼人來吃都好
[00:02:47.680 --> 00:02:49.680]  於是那個女人就說
[00:02:49.680 --> 00:02:51.120]  發了請帖的那些
[00:02:51.120 --> 00:02:53.040]  個個都照樣來吃
[00:02:53.040 --> 00:02:55.360]  還有跟她們說
[00:02:55.360 --> 00:02:57.440]  有哪些朋友你想帶來的時候
[00:02:57.440 --> 00:02:59.720]  你都帶過來
[00:02:59.720 --> 00:03:01.200]  盡量來吃
[00:03:01.200 --> 00:03:02.960]  她就跟酒家那個說
[00:03:02.960 --> 00:03:04.640]  她說我想改一改菜式
[00:03:04.640 --> 00:03:06.200]  她說你想改什麼菜式
[00:03:06.200 --> 00:03:08.280]  她說那個當紅炸子雞
[00:03:08.280 --> 00:03:10.640]  我想你要拆了骨
[00:03:10.640 --> 00:03:12.360]  人家就說沒有人
[00:03:12.360 --> 00:03:15.040]  當紅炸子雞是拆骨的
[00:03:15.040 --> 00:03:17.920]  這個叫做金華玉樹雞就行
[00:03:17.920 --> 00:03:18.800]  就這樣
[00:03:18.800 --> 00:03:19.400]  她說沒有
[00:03:19.400 --> 00:03:20.320]  她說我想這樣
[00:03:20.320 --> 00:03:21.800]  她說你為什麼要這樣
[00:03:21.800 --> 00:03:23.720]  她說因為那天來吃東西的時候
