
[00:00:00.000 --> 00:00:01.360]  祝你們姐妹平安
[00:00:01.360 --> 00:00:10.160]  以前我在德國留學的時候
[00:00:10.160 --> 00:00:12.280]  曾經試過在餐館裡面工作
[00:00:12.280 --> 00:00:15.000]  試過我有一位同事
[00:00:15.000 --> 00:00:17.440]  他來自北非的摩洛哥
[00:00:17.440 --> 00:00:20.080]  我想大家對這個國家可能多少一些了解
[00:00:20.080 --> 00:00:22.360]  我對他的印象非常的深
[00:00:22.360 --> 00:00:24.640]  一方面他非常的高大
[00:00:24.640 --> 00:00:27.200]  他站在我旁邊大概是這麼高
[00:00:27.200 --> 00:00:31.000]  他是大概一米九 九三到九五左右
[00:00:31.000 --> 00:00:33.000]  原來他在摩洛哥的時候
[00:00:33.000 --> 00:00:37.200]  原來是國家籃球青年隊的一個成員
[00:00:37.200 --> 00:00:40.200]  後來因為受傷了就退役了
[00:00:40.200 --> 00:00:42.200]  不得不就重新讀書
[00:00:42.200 --> 00:00:44.000]  後來去了德國留學
[00:00:44.000 --> 00:00:46.000]  所以我認識了他
[00:00:46.000 --> 00:00:48.320]  他另外還有一個很特別的特徵
[00:00:48.320 --> 00:00:50.840]  他是一個伊斯蘭教徒
[00:00:50.840 --> 00:00:55.160]  原來我並沒有留意他是伊斯蘭教徒
[00:00:55.160 --> 00:00:57.240]  直到有一天
[00:00:57.240 --> 00:01:00.640]  那一天我發現他中午飯都沒有吃
[00:01:00.640 --> 00:01:01.720]  因為他很高大
[00:01:01.720 --> 00:01:04.160]  平時吃的飯量都是我兩三倍
[00:01:04.160 --> 00:01:06.280]  但是他那天沒有吃飯
[00:01:06.280 --> 00:01:07.920]  而且我突然發現他
[00:01:07.920 --> 00:01:09.600]  竟然一個小時 兩個小時
[00:01:09.600 --> 00:01:12.440]  他總要出去抽根菸的 休息一下
[00:01:12.440 --> 00:01:15.560]  那天他竟然不抽菸了
[00:01:15.560 --> 00:01:19.160]  大家猜到是什麼原因嗎
[00:01:19.160 --> 00:01:20.360]  是齋戒月 對不對
