
[00:00:00.000 --> 00:00:05.740]  今日我同大家一齊去分享,一齊去睇嗰段嘅經文好似好長咁樣
[00:00:05.740 --> 00:00:09.260]  你唔使驚,我唔會逐段逐隻字咁樣去解嘅
[00:00:09.260 --> 00:00:12.060]  咁但係,我好想
[00:00:12.060 --> 00:00:15.260]  即係未講完經文之前去講一樣嘢,就係
[00:00:15.260 --> 00:00:19.340]  睇聖經其實應該用一個點樣嘅態度呢?咁樣
[00:00:19.340 --> 00:00:21.400]  或者聖經係咩嚟㗎呢?咁樣
[00:00:21.400 --> 00:00:24.420]  咁我諗聖經係咩嚟呢?應該係一個
[00:00:24.420 --> 00:00:27.480]  即係可以有咁嘅理解,以前有啲神學家都咁講嘅
[00:00:27.480 --> 00:00:31.420]  佢就話呢,聖經係一副眼鏡嚟㗎咁樣
[00:00:31.420 --> 00:00:37.300]  咁,係眼鏡係點樣呢?係幫我哋睇清楚個現實呀,係咪
[00:00:37.300 --> 00:00:41.220]  聖經,即係嗱,而家好興嗰啲
[00:00:41.220 --> 00:00:43.580]  香港未興,即係嗰啲叫做
[00:00:43.580 --> 00:00:46.740]  嗰啲咩,即係穿戴裝置可以睇到
[00:00:46.740 --> 00:00:48.720]  睇到啲嘢嗰啲啦,咁樣
[00:00:48.720 --> 00:00:51.920]  咁,聖經唔係VR,又唔係AR
[00:00:51.920 --> 00:00:56.480]  係咩呢?係DR,即係Divine Reality
[00:00:56.480 --> 00:00:59.900]  係畀我哋去睇到上帝
[00:00:59.900 --> 00:01:03.440]  畀我哋可以睇到,即從而呢,畀我哋睇到自己
[00:01:03.440 --> 00:01:07.320]  同埋,即係睇到呢個,即係美麗嘅世界,咁樣
[00:01:07.320 --> 00:01:10.280]  嗱,呢個係聖經幫我哋去睇嘢嘅
[00:01:10.280 --> 00:01:14.360]  所以,我自己好覺得咩呢?
[00:01:14.360 --> 00:01:16.840]  聖經首先唔係叫我哋做嘢嘅
[00:01:16.840 --> 00:01:20.200]  即係唔係話睇聖經,神叫我哋做乜啦,咁樣
[00:01:20.200 --> 00:01:22.640]  呢個係,當然,實會有嘢要你做㗎
[00:01:22.640 --> 00:01:24.600]  你唔使坐喺度,即係冇嘢做咩
[00:01:24.600 --> 00:01:28.720]  不過,聖經最緊要一樣嘢,唔係教我哋做啲乜
[00:01:28.720 --> 00:01:32.160]  係幫我哋去,教我哋點樣去睇
[00:01:32.160 --> 00:01:35.040]  即係,神睇自己,同埋睇世界
[00:01:35.040 --> 00:01:36.520]  呢個我覺得係最重要嘅
[00:01:36.520 --> 00:01:39.360]  而今日去同大家一齊睇嘅,即係
[00:01:39.360 --> 00:01:42.440]  嗰個,即係耶穌所講嘅天國比喻
[00:01:42.440 --> 00:01:47.240]  特別係,即係佢講呢個墨子同埋雜草嘅比喻
[00:01:47.240 --> 00:01:48.680]  同埋跟住有嘅解釋
[00:01:48.680 --> 00:01:51.840]  我諗係幫到我哋去點樣睇
[00:01:51.840 --> 00:01:56.840]  即係我哋,即係嗰個現實嘅世界
[00:01:56.840 --> 00:02:01.840]  嗰度講緊,即係一個嘅,即係種田嘅比喻
[00:02:01.840 --> 00:02:04.080]  對於我哋嚟講係非常非常之陌生
[00:02:04.080 --> 00:02:07.960]  因為,即係,由細到大可能我哋都係生活喺一個
[00:02:07.960 --> 00:02:10.520]  即係好城市嘅一個狀況底下
[00:02:10.520 --> 00:02:13.400]  我哋好少見,即係,田地嘅
[00:02:13.400 --> 00:02:18.640]  可能去都係,即係好間唔中去有一啲,即係玩下咁嘅
[00:02:18.640 --> 00:02:23.400]  好少係真係,我哋日出而作,日入而息
[00:02:23.400 --> 00:02:28.600]  就係喺嗰個田,即係田野,即係農田裏面嘅工作
[00:02:28.600 --> 00:02:32.000]  但係當時嘅世界裏面,就係種野
[00:02:32.000 --> 00:02:33.960]  即係呢個,呢個根本就係
[00:02:33.960 --> 00:02:38.400]  耶穌係講緊當時嘅人嘅日常經濟生活嚟嘅
[00:02:38.400 --> 00:02:40.560]  你諗下係咪,即係佢唔係得閒先種下
[00:02:40.560 --> 00:02:47.400]  佢根本就係靠嗰啲去搵食
[00:02:47.400 --> 00:02:51.640]  講多啲,頭先嗰啲聖餐啲餅呢,特別好食
[00:02:51.640 --> 00:02:54.080]  有驚喜嘅,直情係,即係
[00:02:54.080 --> 00:02:57.240]  有陣時啲聖餐啲餅唔好食㗎
[00:02:57.240 --> 00:02:59.280]  即係,有陣時嗰啲白曬曬嗰啲呢
[00:02:59.280 --> 00:03:02.960]  嗰啲你話佢馬拿有得,話佢,但係呢啲呢
[00:03:02.960 --> 00:03:07.960]  呢啲,即係,即係食落去係第一次返你平時食開嘅嘢
[00:03:07.960 --> 00:03:10.200]  呢個好緊要,因為聖餐係將我哋
[00:03:10.200 --> 00:03:14.520]  我哋平時嘅飲食,即係神透過呢個聖餐係
[00:03:14.520 --> 00:03:18.080]  透過呢啲好似日常飲食嘅一啲物料呢
[00:03:18.080 --> 00:03:23.440]  係去賜福畀我哋,點解講我識呢啲嘢㗎,係喇
[00:03:23.440 --> 00:03:27.880]  就,即係當時佢係講緊一般人經常面對嘅嘢嚟㗎
[00:03:27.880 --> 00:03:32.200]  然後,亦都真係呢,喺當時個種麥㗎嘛
[00:03:32.200 --> 00:03:36.120]  種麥嘅時間呢,係會有呢,會有雜草出現嘅
[00:03:36.120 --> 00:03:40.440]  而嗰啲雜草呢,個樣真係好似嗰啲嘅小麥一樣嘅
[00:03:40.440 --> 00:03:43.120]  即係,就咁睇呢,唔容易分到嘅
[00:03:43.120 --> 00:03:47.160]  而嗰啲嘅雜草呢,佢係,即係有毒㗎
[00:03:47.160 --> 00:03:50.120]  毒唔係因為嗰啲雜草本身嘅毒
[00:03:50.120 --> 00:03:54.600]  而係呢,嗰啲雜草好容易呢,係受到一啲真菌嘅感染
[00:03:54.600 --> 00:03:58.920]  呢啲真菌係會帶嚟令人神經麻痺嘅毒素嘅
[00:03:58.920 --> 00:04:02.000]  咁所以食咗可能呢,又,即係個人,唔知點樣
[00:04:02.000 --> 00:04:04.400]  透唔到氣呀,桃窩呀等等,咁樣
[00:04:04.400 --> 00:04:06.840]  總之呢,就係會有毒㗎
[00:04:06.840 --> 00:04:10.240]  咁,而佢成長嘅時候真係難以分辨
[00:04:10.240 --> 00:04:11.960]  直到成熟嘅時候呢
[00:04:11.960 --> 00:04:13.400]  先至可以即係分得清楚
[00:04:13.400 --> 00:04:15.440]  所以耶穌講呢個比喻嘅時候呢
[00:04:15.440 --> 00:04:20.040]  大家知道佢都係好明白當時嘅情況嘅
[00:04:20.040 --> 00:04:24.000]  而究竟呢個比喻講緊啲乜嘢㗎呢,咁樣
[00:04:24.000 --> 00:04:29.800]  我,即係喺心裏面,即係成日諗起一個嘅字嘅
[00:04:29.800 --> 00:04:32.240]  不過係英文字呀,ambiguity
[00:04:32.240 --> 00:04:34.760]  或者中文叫做含混性
[00:04:34.760 --> 00:04:37.120]  曖昧性,咩都好,總之呢
[00:04:37.120 --> 00:04:38.920]  簡單嚟說,就係乜嘢呢
[00:04:38.920 --> 00:04:43.840]  就係一個善惡混雜,難為正邪定分界
[00:04:43.840 --> 00:04:45.480]  嘅一個咁樣嘅狀況
[00:04:45.480 --> 00:04:48.680]  而呢段咁樣嘅,即係比喻呢
[00:04:48.680 --> 00:04:50.280]  即係,雖然好長啦
[00:04:50.280 --> 00:04:52.880]  基本上面就係頭尾就係講
[00:04:52.880 --> 00:04:54.840]  嗰個,即係麥子雜草嘅比喻
[00:04:54.840 --> 00:04:58.880]  中間呢,係講咗另外一啲小小,好似小點咁樣啦
[00:04:58.880 --> 00:05:01.760]  係講咗少少另外一啲天國嘅比喻
[00:05:01.760 --> 00:05:05.360]  呢成段嘢,特別係嗰個麥子同雜草嘅比喻呢
