
[00:00:00.000 --> 00:00:02.000]  靜姐妹主內平安
[00:00:02.000 --> 00:00:07.000]  如果我想問你最近香港最熱門討論的話題是什麼?
[00:00:07.000 --> 00:00:14.000]  我想這個電視發牌基本上大家都不會否認
[00:00:14.000 --> 00:00:17.000]  討論得有人甚至說
[00:00:17.000 --> 00:00:20.000]  以前對於政治冷感的人都發覺
[00:00:20.000 --> 00:00:23.000]  嘩!原來扭曲的電視都和政治有關
[00:00:23.000 --> 00:00:26.000]  我們去看回過去一年裡面
[00:00:26.000 --> 00:00:30.000]  無論發牌、佔中、同性戀很多很多的討論
[00:00:30.000 --> 00:00:34.000]  其實每一個討論我們都會發覺
[00:00:34.000 --> 00:00:37.000]  都加深我們對那件事情
[00:00:37.000 --> 00:00:40.000]  那個內容的興趣、的了解
[00:00:40.000 --> 00:00:43.000]  那個知道的情形是怎麼樣
[00:00:43.000 --> 00:00:46.000]  當我細心再看馬太福音
[00:00:46.000 --> 00:00:48.000]  剛才大家讀出這段經文
[00:00:48.000 --> 00:00:51.000]  第六章二十五到三十四節的時候
[00:00:52.000 --> 00:00:56.000]  我發覺當中有三個是互相緊扣著
[00:00:56.000 --> 00:00:59.000]  也是關聯有關的討論
[00:00:59.000 --> 00:01:01.000]  我希望透過這三個討論
[00:01:01.000 --> 00:01:03.000]  我們今天去看的時候
[00:01:03.000 --> 00:01:04.000]  帶大家去看的時候
[00:01:04.000 --> 00:01:07.000]  我們對於這段經文所講的內容
[00:01:07.000 --> 00:01:11.000]  有更深入、更多的反省和了解
[00:01:11.000 --> 00:01:14.000]  第一個討論在這裡提到
[00:01:14.000 --> 00:01:16.000]  就是一個憂慮的討論
[00:01:19.000 --> 00:01:22.000]  耶穌基督在馬太福音第六章二十五到三十四節
[00:01:22.000 --> 00:01:25.000]  這段經文一開始就講出
[00:01:25.000 --> 00:01:28.000]  世人都擁有一件事
[00:01:28.000 --> 00:01:30.000]  就是憂慮
[00:01:30.000 --> 00:01:31.000]  試試舉手吧
[00:01:31.000 --> 00:01:33.000]  有誰說自己是有憂慮的?
[00:01:33.000 --> 00:01:35.000]  試試舉手吧
[00:01:35.000 --> 00:01:37.000]  有啊!有啊!
[00:01:37.000 --> 00:01:40.000]  基本上很多人都有,是不是?
[00:01:40.000 --> 00:01:42.000]  反而不可能是一個問題
[00:01:42.000 --> 00:01:46.000]  你看看在整段經文裡面
[00:01:46.000 --> 00:01:47.000]  九節經文裡面
[00:01:47.000 --> 00:01:48.000]  一開始的時候
[00:01:48.000 --> 00:01:50.000]  就是講到憂慮
[00:01:50.000 --> 00:01:52.000]  副題是不要憂慮
[00:01:52.000 --> 00:01:54.000]  然後第二十五節一開始就說
[00:01:54.000 --> 00:01:58.000]  所以我告訴你們不要為生命憂慮
[00:01:58.000 --> 00:02:00.000]  然後又用憂慮來結束
[00:02:00.000 --> 00:02:03.000]  他說因為明天自有明天的憂慮
[00:02:03.000 --> 00:02:07.000]  一天的難處一天當就夠了
[00:02:07.000 --> 00:02:08.000]  我數過總共
[00:02:08.000 --> 00:02:10.000]  如果加上第二十七節
[00:02:10.000 --> 00:02:11.000]  而問那個思慮
[00:02:11.000 --> 00:02:12.000]  雖然翻譯是思慮
[00:02:12.000 --> 00:02:13.000]  但是都是憂慮
[00:02:13.000 --> 00:02:16.000]  總共有七次去講到憂慮
[00:02:17.000 --> 00:02:19.000]  很清楚聖經給我們看到
[00:02:19.000 --> 00:02:22.000]  其實沒有去迴避憂慮這個問題
[00:02:22.000 --> 00:02:24.000]  亦都很清楚指出
[00:02:24.000 --> 00:02:26.000]  憂慮是正常
[00:02:26.000 --> 00:02:28.000]  亦都是會有的
[00:02:28.000 --> 00:02:31.000]  經文開始的時候講到
[00:02:31.000 --> 00:02:32.000]  不要為生命憂慮
[00:02:32.000 --> 00:02:34.000]  吃什麼?喝什麼?
[00:02:34.000 --> 00:02:37.000]  為身體憂慮去穿什麼?
[00:02:37.000 --> 00:02:41.000]  其實吃喝和衣著
[00:02:41.000 --> 00:02:44.000]  都是人很基本的一個需要
[00:02:44.000 --> 00:02:47.000]  吃東西就是維持我們的生命
[00:02:47.000 --> 00:02:49.000]  衣裳就是維持我們的尊嚴
