
[00:00:00.000 --> 00:00:02.800]  福井師父讓我們聽神的話語
[00:00:02.800 --> 00:00:05.420]  以先善意禱告,預備我的身心
[00:00:05.420 --> 00:00:07.420]  先怎麼樣?我們聽神的話語之先
[00:00:07.420 --> 00:00:10.420]  先禱告,預備我們的身心
[00:00:10.420 --> 00:00:12.420]  慈悲的菩薩多謝祢
[00:00:12.420 --> 00:00:15.420]  讓我們能夠再次回到祢的說話面前
[00:00:15.420 --> 00:00:16.420]  一同的研讀
[00:00:16.420 --> 00:00:18.420]  求主我們的神
[00:00:18.420 --> 00:00:20.420]  祢的靈幫助我們
[00:00:20.420 --> 00:00:24.420]  使我們能夠不但聽到祢的訊息
[00:00:24.420 --> 00:00:27.420]  並且能夠成為生命的一部分
[00:00:27.420 --> 00:00:30.420]  可以帶領我們走面前的人生路
[00:00:30.420 --> 00:00:33.420]  並且直往天國而走向
[00:00:33.420 --> 00:00:40.420]  求祢救止耶穌基督的救恩
[00:00:40.420 --> 00:00:43.420]  祢都完完全全成就在我們身上
[00:00:43.420 --> 00:00:45.420]  讓我們能夠真是在這個
[00:00:45.420 --> 00:00:48.420]  信息萬變的世界當中
[00:00:48.420 --> 00:00:51.420]  讓我們能夠真是仍然秉持著一份
[00:00:51.420 --> 00:00:54.420]  對主這份請求的珍惜
[00:00:54.420 --> 00:00:56.420]  和那份看重
[00:00:56.420 --> 00:00:58.420]  祢永遠同在
[00:00:58.420 --> 00:01:02.420]  請我們有這個屬靈的智慧
[00:01:02.420 --> 00:01:04.420]  能夠明白當中的意義
[00:01:04.420 --> 00:01:05.420]  我親愛的父神感謝祢
[00:01:05.420 --> 00:01:08.420]  讓我們能夠今天再次打開祢的說話
[00:01:08.420 --> 00:01:11.420]  我們求祢的聖靈幫助我們
[00:01:11.420 --> 00:01:15.420]  能夠不但明白聖經裡面所講的內容
[00:01:15.420 --> 00:01:18.420]  同時讓我們曉得怎麼樣捐祢為聖
[00:01:18.420 --> 00:01:20.420]  捐祢是我們的主神
[00:01:20.420 --> 00:01:23.420]  我們也同時求祢幫助我們
[00:01:23.420 --> 00:01:26.420]  讓祢的兒子
[00:01:26.420 --> 00:01:27.420]  獨善兒子耶穌基督
[00:01:27.420 --> 00:01:29.420]  祂所成就的救恩
[00:01:29.420 --> 00:01:32.420]  能夠完完全全的在我們生命上面
[00:01:32.420 --> 00:01:36.420]  能夠落實實行在我們生命上面
[00:01:36.420 --> 00:01:37.420]  所以我們也懇求祢
[00:01:37.420 --> 00:01:40.420]  讓我們有一份謙卑受教的心
[00:01:40.420 --> 00:01:41.420]  來到祢的肝前
[00:01:41.420 --> 00:01:43.420]  來到隨著祢的引道
[00:01:43.420 --> 00:01:46.420]  來到走面前的人生路
[00:01:46.420 --> 00:01:48.420]  直奔到永恆的通眾
[00:01:48.420 --> 00:01:51.420]  我們也繼續把這段時間叫賞
[00:01:51.420 --> 00:01:53.420]  神父我們感謝祢
[00:01:53.420 --> 00:01:55.420]  讓我們有機會
[00:01:55.420 --> 00:01:57.420]  能夠轉到祢的說話
[00:01:57.420 --> 00:02:00.420]  隨著聖靈的指導
[00:02:00.420 --> 00:02:02.420]  讓我們不但能夠了解
[00:02:02.420 --> 00:02:05.420]  詩詞的內容
[00:02:05.420 --> 00:02:07.420]  同時我們也了解
[00:02:07.420 --> 00:02:10.420]  如何尊重和尊敬祢為主神
[00:02:10.420 --> 00:02:13.420]  同時我們也懇求
[00:02:13.420 --> 00:02:16.420]  祢的兒子耶穌基督
[00:02:16.420 --> 00:02:20.420]  祂所成就的救恩
[00:02:20.420 --> 00:02:23.420]  請讓這份救恩
[00:02:23.420 --> 00:02:27.420]  能夠完完全全的在我們生命上面
[00:02:27.420 --> 00:02:30.420]  讓我們能夠遵從祢的說話
[00:02:30.420 --> 00:02:32.420]  也能夠了解
[00:02:32.420 --> 00:02:34.420]  如何走向我們的旅程
[00:02:34.420 --> 00:02:36.420]  不僅僅是今天
[00:02:36.420 --> 00:02:37.420]  不僅僅是明天
[00:02:37.420 --> 00:02:38.420]  也能夠走向永恆
[00:02:38.420 --> 00:02:41.420]  我們在耶穌基督的名下懇求
[00:02:41.420 --> 00:02:42.420]  Amen
[00:02:42.420 --> 00:02:45.420]  人生有很多事情
[00:02:45.420 --> 00:02:48.420]  不是到你可以決定的
[00:02:48.420 --> 00:02:49.420]  人生很多事情
[00:02:49.420 --> 00:02:50.420]  不是由你可以決定的
[00:02:50.420 --> 00:02:52.420]  當你覺得有些事情
[00:02:52.420 --> 00:02:54.420]  以為都不可以
[00:02:54.420 --> 00:02:57.420]  無驚無險地渡過的時候
[00:02:57.420 --> 00:02:58.420]  當很多事情
[00:02:58.420 --> 00:03:01.420]  以為是無驚無險地渡過的時候
[00:03:01.420 --> 00:03:03.420]  突然間可能來一個
[00:03:03.420 --> 00:03:05.420]  又是180度的改變
[00:03:05.420 --> 00:03:08.420]  又回到原本困難的局面
[00:03:08.420 --> 00:03:10.420]  可能會發生180度的改變
[00:03:10.420 --> 00:03:12.420]  回到原有困難當中
[00:03:12.420 --> 00:03:14.420]  這三個禮拜我經歷了
[00:03:14.420 --> 00:03:16.420]  這三個禮拜我經歷到了
[00:03:16.420 --> 00:03:19.420]  我記得10月20號
[00:03:19.420 --> 00:03:20.420]  病得七彩
[00:03:20.420 --> 00:03:24.420]  在辦公室被同事叫我快點回家
[00:03:24.420 --> 00:03:26.420]  12月20號的時候
[00:03:26.420 --> 00:03:27.420]  當時變得很厲害
[00:03:27.420 --> 00:03:29.420]  同事就不敢回家
[00:03:29.420 --> 00:03:31.420]  然後就分開了
[00:03:31.420 --> 00:03:33.420]  除了上班的時間
[00:03:33.420 --> 00:03:34.420]  大部分時間都是睡覺
[00:03:34.420 --> 00:03:36.420]  除了睡覺的時間
[00:03:36.420 --> 00:03:38.420]  大部分時間都是休息
[00:03:38.420 --> 00:03:42.420]  想著十天八天都不錯
[00:03:42.420 --> 00:03:44.420]  有十天八天的休息
[00:03:44.420 --> 00:03:45.420]  應該不錯
[00:03:45.420 --> 00:03:48.420]  誰知上個禮拜又來過
[00:03:48.420 --> 00:03:50.420]  誰知上個禮拜又再來過
[00:03:50.420 --> 00:03:51.420]  又喉嚨痛
[00:03:51.420 --> 00:03:53.420]  又喉嚨痛
[00:03:53.420 --> 00:03:55.420]  這次更麻煩
