
[00:00:00.000 --> 00:00:02.480]  耶穌姐妹平安,我們一起來禱告。
[00:00:02.480 --> 00:00:08.000]  主啊,我們今天帶著喜樂的心來到至聖座。
[00:00:08.000 --> 00:00:13.760]  我願今天我們不分解主你在我們生命中的信仰,
[00:00:13.760 --> 00:00:16.500]  我們但要歌頌贊美禰。
[00:00:16.500 --> 00:00:19.180]  我願我們也不以我們的經驗
[00:00:19.180 --> 00:00:21.960]  主啊我們如何敬拜禰的起頭,
[00:00:21.960 --> 00:00:25.420]  因為父禰是值得尊崇的。
[00:00:25.420 --> 00:00:33.420]  從永遠到永遠,祝禰在我們生命中所常傳的恩典慈悲,
[00:00:33.420 --> 00:00:37.220]  禰只要信實跟待命都是明明可知。
[00:00:37.220 --> 00:00:43.420]  主啊,今天我們再次的把我們今天在禰的面前愛慕禰名的人,
[00:00:43.420 --> 00:00:48.920]  他們心裡面的獻祭先放在禰的跟前。
[00:00:48.920 --> 00:00:51.920]  願主禰親自的接納,
[00:00:51.920 --> 00:00:54.420]  願我們心裡面再次的帶著喜樂,
[00:00:54.420 --> 00:00:56.920]  奉禰的名開始今天的聚會,
[00:00:56.920 --> 00:01:02.420]  也奉禰的名開展我們人生與禰一起走動的旅程。
[00:01:02.420 --> 00:01:06.920]  讓今天安息也是復活的主日,
[00:01:06.920 --> 00:01:09.920]  成為一個面向主耶穌的時候,
[00:01:09.920 --> 00:01:13.920]  成為一個再次領會神恩典的時刻。
[00:01:13.920 --> 00:01:16.420]  我們在座中有不同弟兄姊妹,
[00:01:16.420 --> 00:01:18.420]  許多許多的室友,
[00:01:18.420 --> 00:01:23.920]  我們都不曉得如何的怎麼樣的一個一個的為他們祈求,
[00:01:23.920 --> 00:01:25.920]  但是感謝贊美天父,
[00:01:25.920 --> 00:01:28.920]  差遣了聖靈保衛師,
[00:01:28.920 --> 00:01:31.420]  各安住我們生命中的需要,
[00:01:31.420 --> 00:01:34.420]  隨時格外的看顧我們。
