
[00:00:00.000 --> 00:00:06.000]  開始的時候,想先和大家分享一件真人真事。
[00:00:06.000 --> 00:00:12.000]  有一個擅長遊長途的泳手。
[00:00:12.000 --> 00:00:16.000]  你見到他的名字了,弗洛倫斯·查德·威克。
[00:00:16.000 --> 00:00:19.000]  這個人其實很厲害,
[00:00:19.000 --> 00:00:26.000]  因為他是第一位能夠雙向游泳,
[00:00:26.000 --> 00:00:29.000]  渡過英倫海峽的女性。
[00:00:29.000 --> 00:00:31.000]  什麼是雙向呢?
[00:00:31.000 --> 00:00:34.000]  就是說你一邊游去另一邊,
[00:00:34.000 --> 00:00:37.000]  反過來又游回來這邊。
[00:00:37.000 --> 00:00:39.000]  這叫做雙向。
[00:00:39.000 --> 00:00:45.000]  在游泳這麼厲害的人,
[00:00:45.000 --> 00:00:48.000]  基本上都沒有什麼問題。
[00:00:48.000 --> 00:00:53.000]  不過,有一次他就被一個挑戰難倒了。
[00:00:53.000 --> 00:00:56.000]  這個挑戰是怎麼樣呢?
[00:00:56.000 --> 00:01:02.000]  他是從美國的西岸對出一個小島,
[00:01:02.000 --> 00:01:05.000]  叫做卡塔尼拿島(Catalina Island)。
[00:01:05.000 --> 00:01:09.000]  然後就游回去西岸的加州。
[00:01:09.000 --> 00:01:12.000]  對於游開長途的人,
[00:01:12.000 --> 00:01:14.000]  這裡寫給你了,
[00:01:14.000 --> 00:01:17.000]  32公里基本上都可以的。
[00:01:17.000 --> 00:01:22.000]  不過,在他那天接受挑戰的時候,
[00:01:22.000 --> 00:01:26.000]  就覺得一般般,有點混亂。
[00:01:26.000 --> 00:01:28.000]  為什麼呢?
[00:01:28.000 --> 00:01:30.000]  那天很大霧,
[00:01:30.000 --> 00:01:33.000]  水又冷,
[00:01:33.000 --> 00:01:38.000]  而且游的過程有鯊魚,
[00:01:38.000 --> 00:01:45.000]  所以就要他的團隊幫忙趕。
[00:01:45.000 --> 00:01:48.000]  好了,不斷游,不斷游。
[00:01:48.000 --> 00:01:51.000]  游了15個多小時之後,
[00:01:51.000 --> 00:01:54.000]  他覺得不行了,
[00:01:54.000 --> 00:01:58.000]  所以他就跟他的教練說,
[00:01:58.000 --> 00:02:01.000]  我要上水,不游了。
[00:02:01.000 --> 00:02:04.000]  他的教練就跟他說,
[00:02:04.000 --> 00:02:06.000]  你看看,快到了,
[00:02:06.000 --> 00:02:08.000]  把他游了。
[00:02:08.000 --> 00:02:11.000]  他一看,都看不到的。
[00:02:11.000 --> 00:02:15.000]  於是他最終就放棄了。
[00:02:15.000 --> 00:02:19.000]  不過,當他上了水沒多久,
[00:02:19.000 --> 00:02:21.000]  他才知道,
[00:02:21.000 --> 00:02:26.000]  原來他差大約一公里就到了。
[00:02:26.000 --> 00:02:29.000]  哎呀,差一點點。
[00:02:29.000 --> 00:02:34.000]  這一次其實令他失敗的,
[00:02:34.000 --> 00:02:37.000]  不是因為水太冷,
[00:02:37.000 --> 00:02:39.000]  適應不了,
[00:02:39.000 --> 00:02:41.000]  也不是因為有鯊魚,
[00:02:41.000 --> 00:02:43.000]  很害怕,
[00:02:43.000 --> 00:02:45.000]  也不是太累,
[00:02:45.000 --> 00:02:48.000]  沒有力氣繼續游下去。
[00:02:48.000 --> 00:02:51.000]  原因是因為大霧,
[00:02:51.000 --> 00:02:54.000]  他看不到終點。
[00:02:54.000 --> 00:02:57.000]  所以他覺得不行了,
[00:02:57.000 --> 00:03:00.000]  沒有辦法完成自己的目標。
[00:03:00.000 --> 00:03:02.000]  於是他就放棄了。
[00:03:02.000 --> 00:03:04.000]  不過他不放棄,
[00:03:04.000 --> 00:03:07.000]  兩個月之後再來一次。
[00:03:07.000 --> 00:03:10.000]  兩個月之後天氣好多了,
[00:03:10.000 --> 00:03:12.000]  他在同一個地方下水,
[00:03:12.000 --> 00:03:15.000]  游回同一條路線,
[00:03:15.000 --> 00:03:18.000]  結果真的完成了,
[00:03:18.000 --> 00:03:22.000]  還游得比上一次快。
[00:03:22.000 --> 00:03:25.000]  這次為什麼他成功呢?
[00:03:25.000 --> 00:03:29.000]  因為他看到目的地。
[00:03:29.000 --> 00:03:31.000]  兩個星期之前,
[00:03:31.000 --> 00:03:33.000]  徐先生跟我們分享,
[00:03:33.000 --> 00:03:37.000]  葉所書第二章的下半節。
[00:03:37.000 --> 00:03:41.000]  講到恩著臣的恩典的緣故,
[00:03:41.000 --> 00:03:44.000]  無論是外邦人也好,
[00:03:44.000 --> 00:03:46.000]  猶太人也好,
[00:03:46.000 --> 00:03:49.000]  他們都能夠一起得著福音。
[00:03:49.000 --> 00:03:51.000]  正因為這樣,
[00:03:51.000 --> 00:03:54.000]  這個信徒的群體就需要合一,
[00:03:54.000 --> 00:03:58.000]  去完成上帝給他們的心意。
[00:03:58.000 --> 00:04:01.000]  今天來到第三章。
[00:04:01.000 --> 00:04:04.000]  保羅就再進一步去解釋,
[00:04:04.000 --> 00:04:08.000]  究竟神的計劃是怎樣的呢?
[00:04:08.000 --> 00:04:10.000]  神對於保羅,
[00:04:10.000 --> 00:04:12.000]  祂跟保羅說,
[00:04:12.000 --> 00:04:14.000]  對我們每一個,
[00:04:14.000 --> 00:04:17.000]  以及整個信仰的群體,
[00:04:17.000 --> 00:04:20.000]  其實都有一份期盼。
[00:04:20.000 --> 00:04:22.000]  整章的第三章,
[00:04:22.000 --> 00:04:24.000]  有二十一節那麼長,
[00:04:24.000 --> 00:04:27.000]  基本上可以分成為兩個大的段落。
[00:04:27.000 --> 00:04:28.000]  第一個大段落,
[00:04:28.000 --> 00:04:30.000]  一至十三節;
[00:04:30.000 --> 00:04:31.000]  第二個大段落,
[00:04:31.000 --> 00:04:34.000]  十四至二十一節。
