
[00:00:00.000 --> 00:00:03.800]  我們特別感恩剛才聽到陳姑娘講完整件故事
[00:00:03.800 --> 00:00:05.800]  其實我都已經收得工了
[00:00:05.800 --> 00:00:08.520]  但又不可以 都要講完
[00:00:08.520 --> 00:00:10.000]  大人有大人講
[00:00:10.000 --> 00:00:12.000]  其實這個大人小孩都適合聽
[00:00:12.000 --> 00:00:15.500]  這本經文剛才講故事其實很重要
[00:00:15.500 --> 00:00:18.000]  我們今年的主題是「做好鄰舍」
[00:00:18.000 --> 00:00:20.000]  剛才講到那個好鄰舍是誰
[00:00:20.000 --> 00:00:21.000]  是薩馬利亞人
[00:00:21.000 --> 00:00:24.500]  我們今年的目標就是希望可以做好鄰舍
[00:00:24.500 --> 00:00:26.000]  心意更新不變化
[00:00:26.000 --> 00:00:28.500]  我還記得我們年初的時候
[00:00:28.500 --> 00:00:30.000]  剛才主席都有講過
[00:00:30.000 --> 00:00:32.500]  我們年初就去了一個營會
[00:00:32.500 --> 00:00:34.500]  營會我們請了楊博士
[00:00:34.500 --> 00:00:35.500]  和我們講什麼
[00:00:35.500 --> 00:00:37.500]  講心意更新的訊息
[00:00:37.500 --> 00:00:39.500]  為我們選擇最好的
[00:00:39.500 --> 00:00:40.500]  講到什麼呢
[00:00:40.500 --> 00:00:42.500]  《羅曼書》第十二章第一第二節
[00:00:42.500 --> 00:00:44.500]  我們心意更新而變化
[00:00:44.500 --> 00:00:46.500]  神給我們最好的東西
[00:00:46.500 --> 00:00:47.500]  不要我們那些次好
[00:00:47.500 --> 00:00:48.500]  不要那些second best
[00:00:48.500 --> 00:00:49.500]  要給我們最好的
[00:00:49.500 --> 00:00:50.500]  記不記得 有沒有印象
[00:00:50.500 --> 00:00:52.500]  些少有一點
[00:00:52.500 --> 00:00:54.500]  但我想今天可以延續下去講
[00:00:54.500 --> 00:00:56.500]  第三第四節
[00:00:56.500 --> 00:00:58.000]  這裡講到什麼呢
[00:00:58.000 --> 00:00:59.500]  心意更新了之後
[00:00:59.500 --> 00:01:01.500]  體驗神的賜言
[00:01:01.500 --> 00:01:02.500]  具體是什麼呢
[00:01:02.500 --> 00:01:03.500]  第三節講到
