
[00:00:00.000 --> 00:00:06.560]  今天的講題主要回應唐梅在一至六月的連題
[00:00:06.560 --> 00:00:09.760]  關於「優化淑靈土壤」
[00:00:09.760 --> 00:00:13.320]  淑靈土壤對於你的想法是什麼呢?
[00:00:13.320 --> 00:00:15.520]  可能就是你栽培的
[00:00:15.520 --> 00:00:18.320]  或者成長的溫床
[00:00:18.320 --> 00:00:23.840]  以及一些很實際供應你養份的地方
[00:00:23.840 --> 00:00:26.520]  當我想起這個連題的時候
[00:00:26.520 --> 00:00:30.840]  或者是想有經文信息配搭
[00:00:30.840 --> 00:00:33.960]  我就想起其實復活節這段時間
[00:00:33.960 --> 00:00:38.680]  其實很多內容都可以重述和重溫的
[00:00:38.680 --> 00:00:42.680]  正正是想讓弟兄姊妹去感受一下
[00:00:42.680 --> 00:00:45.960]  其實復活對你來說有多實在呢?
[00:00:45.960 --> 00:00:53.160]  這也是復活節希望要每年重述的重要的地方
[00:00:53.160 --> 00:00:55.280]  其中一樣東西就會是
[00:00:55.280 --> 00:01:02.000]  可能過去你成長過程當中參與復活節的
[00:01:02.000 --> 00:01:04.000]  很多時候都是復活節主日的時候
[00:01:04.000 --> 00:01:08.240]  會提一下復活節清晨的經文
[00:01:08.240 --> 00:01:10.440]  就像剛才大家讀的經文
[00:01:10.440 --> 00:01:14.480]  但其實復活節除了這個復活節清晨經文之外
[00:01:14.480 --> 00:01:19.520]  其實它延伸了很多觀念上的改變
[00:01:19.520 --> 00:01:24.680]  今天這段經文的重述和整個講道
[00:01:24.680 --> 00:01:29.120]  都想和大家重溫一些很重要的復活信息
[00:01:29.120 --> 00:01:32.520]  因為復活節帶出來的信息
[00:01:32.520 --> 00:01:35.880]  在保羅的書信裏面其實都講得挺多的
[00:01:35.880 --> 00:01:39.560]  因為保羅想強調一件事就是
[00:01:39.560 --> 00:01:41.400]  受死埋葬第三天復活
[00:01:41.400 --> 00:01:45.360]  能夠復活這個主是我們生命最期盼的
[00:01:45.360 --> 00:01:47.440]  如果不是 耶穌沒有復活
[00:01:47.440 --> 00:01:51.400]  其實和其他所謂宗教領袖沒什麼分別
[00:01:51.400 --> 00:01:55.640]  因為祂沒有離開人必走的路
[00:01:55.640 --> 00:01:57.320]  但是耶穌基督到成肉身
[00:01:57.320 --> 00:02:00.920]  正正就是要敗壞掌死拳這個合祭
[00:02:00.920 --> 00:02:03.920]  以致祂可以讓跟隨祂的人
[00:02:03.920 --> 00:02:06.280]  都得著復活的能力
[00:02:06.280 --> 00:02:10.440]  和一個真的享受復活這個Power的地方
[00:02:10.440 --> 00:02:12.560]  我這樣再講的時候
[00:02:12.560 --> 00:02:14.280]  可能大家一直以來都聽過
[00:02:14.280 --> 00:02:16.680]  但是你有多經歷過復活呢
[00:02:16.680 --> 00:02:20.200]  這個就是今天想和大家一起去再思考
[00:02:20.200 --> 00:02:22.520]  所以有些經文會和大家重複一下
[00:02:22.520 --> 00:02:24.960]  又和大家聯想一下
[00:02:24.960 --> 00:02:30.200]  我就拿了那些經文分了一點段落
[00:02:30.200 --> 00:02:31.600]  和大家看一下
[00:02:31.600 --> 00:02:35.080]  很快 剛才讀過的經文
[00:02:35.080 --> 00:02:36.720]  你見到七天的第一天
[00:02:36.720 --> 00:02:38.920]  其實這個描述都是挺
[00:02:38.920 --> 00:02:42.040]  路加福音和約翰福音的重點來的
