
[00:00:00.000 --> 00:00:02.000]  共主明文下訂 姐妹平安
[00:00:02.000 --> 00:00:04.000]  共主萬壺君心姐妹平安
[00:00:04.000 --> 00:00:08.700]  我今天和大家是一路分享耶利米蘇的
[00:00:08.700 --> 00:00:11.000]  我帶著一路分享耶利米蘇
[00:00:11.000 --> 00:00:13.800]  不過在美港進入講題之前
[00:00:13.800 --> 00:00:15.500]  在每日講題之前
[00:00:15.500 --> 00:00:17.200]  我有幾句是心腹的說話
[00:00:17.200 --> 00:00:19.200]  我有幾句心裏的話
[00:00:19.200 --> 00:00:21.500]  我們為甚麼要讀聖經呢
[00:00:21.500 --> 00:00:22.800]  我們為甚麼要讀聖經
[00:00:22.800 --> 00:00:23.800]  因為是神的話
[00:00:23.800 --> 00:00:25.200]  因為是神的話
[00:00:25.200 --> 00:00:31.600]  但是我們由小孩子長大
[00:00:31.600 --> 00:00:34.200]  我們從小孩子長大到今天
[00:00:34.200 --> 00:00:37.200]  從來對聖經是沒有興趣的
[00:00:37.200 --> 00:00:39.200]  從來對聖經沒有興趣
[00:00:39.200 --> 00:00:41.200]  甚至對信耶穌
[00:00:41.200 --> 00:00:42.200]  甚至對信耶穌
[00:00:42.200 --> 00:00:44.200]  可有可無
[00:00:44.200 --> 00:00:46.200]  可有可無
[00:00:46.200 --> 00:00:47.700]  那對完耶穌可有可無的時候
[00:00:47.700 --> 00:00:48.700]  這本聖經呢
[00:00:48.700 --> 00:00:50.200]  如果對耶穌可有可無
[00:00:50.200 --> 00:00:50.700]  這麼聖經呢
[00:00:50.700 --> 00:00:51.700]  可讀
[00:00:51.700 --> 00:00:52.200]  可讀
[00:00:52.200 --> 00:00:53.200]  下面那句呢
[00:00:53.200 --> 00:00:53.700]  可不讀
[00:00:53.700 --> 00:00:54.200]  可不讀
[00:00:54.200 --> 00:00:56.200]  可不讀
[00:00:56.200 --> 00:00:57.200]  所以你和我
[00:00:57.200 --> 00:00:59.200]  所以你和我
[00:00:59.200 --> 00:01:01.200]  這麼用心讀這本聖經
[00:01:01.200 --> 00:01:03.200]  這麼用心讀這本聖經
[00:01:03.200 --> 00:01:05.200]  因為
[00:01:05.200 --> 00:01:06.200]  是神的話
[00:01:06.200 --> 00:01:07.200]  因為是神的話
[00:01:07.200 --> 00:01:09.200]  如果你不信耶穌
[00:01:09.200 --> 00:01:10.200]  如果你不信耶穌
[00:01:10.200 --> 00:01:11.200]  你讀這本聖經呢
[00:01:11.200 --> 00:01:12.200]  你讀這本聖經
[00:01:12.200 --> 00:01:13.200]  是不是浪費時間
[00:01:13.200 --> 00:01:14.200]  是不是浪費時間
[00:01:14.200 --> 00:01:17.200]  所以你明白為甚麼這麼多人對聖經沒有興趣
[00:01:17.200 --> 00:01:21.200]  你是不明白為甚麼這種人對聖經沒有興趣
[00:01:21.200 --> 00:01:23.200]  因為他根本不信耶穌
[00:01:23.200 --> 00:01:25.200]  因為他根本不信耶穌
[00:01:25.200 --> 00:01:27.200]  我再給你一個例子
[00:01:27.200 --> 00:01:28.200]  我再給你一個例子
[00:01:28.200 --> 00:01:29.200]  假如你是一個男孩
[00:01:29.200 --> 00:01:30.200]  假如你是一個男孩
[00:01:30.200 --> 00:01:32.200]  有某小姐給你一封信
[00:01:32.200 --> 00:01:33.200]  有某小姐給你一封信
[00:01:33.200 --> 00:01:35.200]  如果她不是你愛的人
[00:01:35.200 --> 00:01:36.200]  如果她不是你的愛人
[00:01:36.200 --> 00:01:37.200]  她給你一封信
[00:01:37.200 --> 00:01:38.200]  她給你一封信
[00:01:38.200 --> 00:01:39.200]  你有沒有興趣
[00:01:39.200 --> 00:01:40.200]  你有沒有興趣
[00:01:40.200 --> 00:01:41.200]  你明不明白我在說甚麼
[00:01:41.200 --> 00:01:43.200]  你明不明白我在說甚麼
[00:01:43.200 --> 00:01:45.200]  你愛那個人
[00:01:45.200 --> 00:01:47.200]  如果你愛那個人
[00:01:47.200 --> 00:01:49.200]  她每一個動作
[00:01:49.200 --> 00:01:50.200]  她每一個動作
[00:01:50.200 --> 00:01:51.200]  特別寫給你一封信
[00:01:51.200 --> 00:01:52.200]  特別寫給你一封信
[00:01:52.200 --> 00:01:53.200]  你會如珠如寶
[00:01:53.200 --> 00:01:55.200]  你會如珠如寶
[00:01:55.200 --> 00:01:56.200]  如果你認識上帝
[00:01:56.200 --> 00:01:57.200]  如果你認識上帝
[00:01:57.200 --> 00:01:58.200]  如果你認識上帝
[00:01:58.200 --> 00:01:59.200]  這本聖經
[00:01:59.200 --> 00:02:00.200]  這本聖經
[00:02:00.200 --> 00:02:01.200]  是上帝給我們說的
[00:02:01.200 --> 00:02:02.200]  是上帝給我們說的
[00:02:02.200 --> 00:02:04.200]  你對祂是否如珠如寶
[00:02:04.200 --> 00:02:06.200]  你對祂是否如珠如寶呢
[00:02:06.200 --> 00:02:09.200]  很多人不是
[00:02:09.200 --> 00:02:10.200]  很多人不是
[00:02:10.200 --> 00:02:11.200]  我們見到很多人信耶穌
[00:02:11.200 --> 00:02:12.200]  我們見到很多人信耶穌
[00:02:12.200 --> 00:02:13.200]  很多人都信耶穌
[00:02:13.200 --> 00:02:14.200]  那本聖經鋪陳的
[00:02:14.200 --> 00:02:15.200]  那本聖經鋪陳的
[00:02:15.200 --> 00:02:16.200]  那本聖經鋪陳的
[00:02:16.200 --> 00:02:18.200]  那本聖經鋪陳的
[00:02:18.200 --> 00:02:20.200]  鋪陳就是不碰的
[00:02:20.200 --> 00:02:21.200]  鋪陳就是不碰的
[00:02:21.200 --> 00:02:23.200]  鋪陳就是不碰的
[00:02:23.200 --> 00:02:24.200]  人就是活在什麼世界上呢
[00:02:24.200 --> 00:02:25.200]  人就是活在什麼世界上呢
[00:02:25.200 --> 00:02:26.200]  或者什麼世界上呢
[00:02:26.200 --> 00:02:27.200]  可以兩樣共存的
[00:02:27.200 --> 00:02:28.200]  可以兩樣共存的
[00:02:28.200 --> 00:02:29.200]  我是信耶穌
[00:02:29.200 --> 00:02:30.200]  我是信耶穌
[00:02:30.200 --> 00:02:31.200]  不過我不讀聖經
[00:02:31.200 --> 00:02:32.200]  不過我不讀聖經
[00:02:32.200 --> 00:02:33.200]  我是信耶穌
[00:02:33.200 --> 00:02:34.200]  我是信耶穌
[00:02:34.200 --> 00:02:35.200]  我信耶穌
[00:02:35.200 --> 00:02:36.200]  我照樣出去犯罪
[00:02:36.200 --> 00:02:37.200]  我照樣出去犯罪
[00:02:37.200 --> 00:02:38.200]  和世人一起喜樂
[00:02:38.200 --> 00:02:39.200]  和世人一起喜樂
[00:02:39.200 --> 00:02:40.200]  和世人一起喜樂
[00:02:40.200 --> 00:02:41.200]  這個就是世界文化
[00:02:41.200 --> 00:02:42.200]  這個就是世界文化
[00:02:42.200 --> 00:02:43.200]  求主讓我們看到
[00:02:43.200 --> 00:02:44.200]  求主讓我們看到
[00:02:44.200 --> 00:02:45.200]  這些事是會過去的
[00:02:45.200 --> 00:02:46.200]  這些事是會過去的
[00:02:46.200 --> 00:02:47.200]  這些事是會過去的
[00:02:47.200 --> 00:02:48.200]  什麼是長存的
[00:02:48.200 --> 00:02:49.200]  什麼是長存的
[00:02:49.200 --> 00:02:51.200]  我沒有在這裡
