
[00:00:00.000 --> 00:00:05.000]  各位好 我們繼續這個亂世啟示錄的series
[00:00:05.000 --> 00:00:10.000]  我們有之前的Good Friday和Easter是暫停了一點
[00:00:10.000 --> 00:00:16.000]  大家我們回到這裡 我們看回和這些所謂宗末論有關的Eskatology有關
[00:00:16.000 --> 00:00:20.000]  當我們想起這個topic的時候 什麼叫做宗末的意思
[00:00:20.000 --> 00:00:25.000]  請你不要覺得這件事只不過是一個生命裏面的註腳
[00:00:25.000 --> 00:00:31.000]  或者是我們信仰裏面一些很悠閒的事情 不等閒的事情
[00:00:31.000 --> 00:00:38.000]  其實整本聖經如果你看 它揭示給我們看人類歷史的方向是一個直線
[00:00:38.000 --> 00:00:43.000]  是一條線不斷向前面一個目的 這個就正是宗末的意思
[00:00:43.000 --> 00:00:48.000]  就是Eskaton的意思 宗末就是說向著一個目的地去進發
[00:00:48.000 --> 00:00:53.000]  這個目的地就是上帝所計劃的一個目的地
[00:00:53.000 --> 00:00:57.000]  所以你不要覺得這個只不過是一些註腳的事
[00:00:57.000 --> 00:01:03.000]  聖經裏面最後那本書才叫做啟示錄 講到末世末日發生的事情
[00:01:03.000 --> 00:01:08.000]  到底世界裏面會發生什麼等等 以為這些只不過是一個闊綠
[00:01:08.000 --> 00:01:13.000]  其實整本聖經是向著這個方向去進發
[00:01:13.000 --> 00:01:25.000]  最近有一個美國的電腦教授 他就將聖經裏面六萬三千七百七十九節的互相呼應的經文
[00:01:25.000 --> 00:01:29.000]  譬如某一些經文會引用其他的經文
[00:01:29.000 --> 00:01:35.000]  他就將六萬幾句的經文就把它印出來
[00:01:35.000 --> 00:01:41.000]  由左至右 左邊就是創世紀開始
[00:01:41.000 --> 00:01:45.000]  到最後右邊就是啟示錄
[00:01:45.000 --> 00:01:50.000]  你會發現每逢有呼應的經文他就畫一個弧線
[00:01:50.000 --> 00:01:54.000]  呼應得越遠的就畫一個最大的弧線
[00:01:54.000 --> 00:02:01.000]  你就發現創世紀頭兩章講到伊甸的時候上帝與人同在這個描述的時候
[00:02:01.000 --> 00:02:05.000]  到最後的時候 最後那兩章就是啟示錄
[00:02:05.000 --> 00:02:14.000]  也都講到上帝最終要與人同在 是不是 最終要去到住在人的中間 是有生天生地的利度
[00:02:14.000 --> 00:02:20.000]  你就見到是有互相的呼應和互相的去到引用的
[00:02:20.000 --> 00:02:28.000]  所以你見到其實講到由始到終 上帝是向著一個方向
[00:02:28.000 --> 00:02:34.000]  人類歷史是向著一個計劃 就是將來這個生天生地會臨到
[00:02:34.000 --> 00:02:39.000]  中間就發生什麼事 大概中間就是耶穌基督在十字架上死
[00:02:39.000 --> 00:02:45.000]  而墳墓裡面復活 是舊約聖經的實現
[00:02:45.000 --> 00:02:51.000]  所以我們看中末論的問題的時候就不是一些等閒事
[00:02:51.000 --> 00:02:54.000]  今天我們處理一段經文是新約裡面
[00:02:54.000 --> 00:03:00.000]  不是啟示錄 因為我們還在處理啟示錄以外的一些講到中末的經文
[00:03:00.000 --> 00:03:05.000]  就是貼上我現在前書第四章 這段經文有很多的討論
[00:03:05.000 --> 00:03:11.000]  特別是過去幾十年 就講到被提的問題 rapture的問題
[00:03:11.000 --> 00:03:15.000]  就是會不會說這個世界的終末來到之前
[00:03:15.000 --> 00:03:21.000]  就會有一個史無前例的七年的浩劫會臨到這個世界
[00:03:21.000 --> 00:03:27.000]  然後七年的浩劫之前 這個主會先回來
[00:03:27.000 --> 00:03:32.000]  但是那個回來就不是明顯回來 是秘密的回來
[00:03:32.000 --> 00:03:39.000]  secret的return 然後他回來的時候就將教會所謂被提
[00:03:39.000 --> 00:03:44.000]  將教會提走 普世教會將他們提走
[00:03:44.000 --> 00:03:48.000]  然後這個浩劫才會展開 到時候就會很嚴重
[00:03:48.000 --> 00:03:54.000]  這個就是啟示錄裡面 七印 七腕裡面所講的浩劫
[00:03:54.000 --> 00:04:01.000]  七年浩劫完了 有很多的戰爭 或者有很多的劫難等等
[00:04:01.000 --> 00:04:06.000]  基督才真正會再來有second coming 那些細節我們不講
