
[00:00:00.000 --> 00:00:04.320]  我們今年教會鼓勵弟兄姊妹勇敢走出去
[00:00:04.320 --> 00:00:06.440]  如果你過往這一個月在這裡的時候
[00:00:06.440 --> 00:00:08.640]  我這次應該是第三次說
[00:00:08.640 --> 00:00:11.520]  包括怎樣神要使用我們的教會
[00:00:11.520 --> 00:00:13.520]  擴張我們的境界
[00:00:13.520 --> 00:00:15.520]  上一次也和弟兄姊妹說過
[00:00:15.520 --> 00:00:17.120]  我們勇敢走出去
[00:00:17.120 --> 00:00:19.120]  跨了自己的心理障礙
[00:00:19.120 --> 00:00:21.120]  跨了自己小組的界限
[00:00:21.120 --> 00:00:23.120]  去認識一下我們教會裏面
[00:00:23.120 --> 00:00:25.120]  你之前一直不認識的
[00:00:25.120 --> 00:00:26.120]  或者沒什麼機會
[00:00:26.120 --> 00:00:27.620]  或者你和他沒什麼共通話題
[00:00:27.620 --> 00:00:32.620]  或者年齡很大相差很多年齡的
[00:00:32.620 --> 00:00:34.120]  怎樣突破一下
[00:00:34.120 --> 00:00:37.120]  去和他們主入面成為弟兄姊妹
[00:00:37.120 --> 00:00:39.620]  去關心他們彼此互相去建立
[00:00:39.620 --> 00:00:41.620]  如果你之前沒聽到
[00:00:41.620 --> 00:00:42.620]  因為我鼓勵弟兄姊妹
[00:00:42.620 --> 00:00:44.620]  因為接下來這一年我們同步
[00:00:44.620 --> 00:00:46.620]  所以你上網聽一下
[00:00:46.620 --> 00:00:48.620]  特別是之前那篇的講道
[00:00:48.620 --> 00:00:49.620]  勇敢走出去
[00:00:49.620 --> 00:00:51.620]  就是怎樣和弟兄姊妹相交
[00:00:51.620 --> 00:00:53.620]  今天說勇敢走出去
[00:00:53.620 --> 00:00:55.620]  天天靈修
[00:00:57.620 --> 00:00:59.620]  知不知道這本是什麼
[00:00:59.620 --> 00:01:05.620]  就是毛語錄
[00:01:05.620 --> 00:01:06.620]  有沒有弟兄姊妹
[00:01:06.620 --> 00:01:08.620]  以前你們曾經擁有過
[00:01:08.620 --> 00:01:12.620]  毛澤東 毛主席的毛語錄
