
[00:00:00.000 --> 00:00:04.000]  我們現在看的就是第一段
[00:00:04.000 --> 00:00:09.000]  看到這個彌賽亞擔當我們的罪
[00:00:09.000 --> 00:00:15.000]  這是53章的第四節到第六節
[00:00:15.000 --> 00:00:17.000]  這三節聖經
[00:00:17.000 --> 00:00:22.000]  我們上次是從52章13節開始的
[00:00:22.000 --> 00:00:24.000]  所以可以說從13節
[00:00:24.000 --> 00:00:26.000]  上一章的13節
[00:00:26.000 --> 00:00:30.000]  一直到這一章的12節
[00:00:30.000 --> 00:00:32.000]  這15節經文
[00:00:32.000 --> 00:00:34.000]  這個是可以合起來
[00:00:34.000 --> 00:00:36.000]  是一篇非常美麗
[00:00:36.000 --> 00:00:38.000]  非常重要的信息
[00:00:38.000 --> 00:00:41.000]  因爲這個是聖經中間
[00:00:41.000 --> 00:00:45.000]  最偉大的篇章的之一
[00:00:45.000 --> 00:00:50.000]  有一個聖徒的聖經的學者
[00:00:50.000 --> 00:01:02.000]  他就在聖經中間經過跟大家一起的商量討論選擇以後
[00:01:02.000 --> 00:01:07.000]  他就把這個聖經中49章聖經
[00:01:07.000 --> 00:01:11.000]  把它列爲聖經中偉大的篇章
[00:01:11.000 --> 00:01:14.000]  當然聖經每一章都是神的話
[00:01:14.000 --> 00:01:16.000]  都是很重要的
[00:01:16.000 --> 00:01:20.000]  但是其中他們認爲有49章
[00:01:20.000 --> 00:01:25.000]  這個中間是把神的話比較完整的
[00:01:25.000 --> 00:01:27.000]  能夠成爲一個主題
[00:01:27.000 --> 00:01:30.000]  而且是非常重要的
[00:01:30.000 --> 00:01:32.000]  所以這個就講到
[00:01:32.000 --> 00:01:37.000]  這一章也是被選爲49章聖經中間的一章
[00:01:37.000 --> 00:01:40.000]  講到彌賽亞的一生
[00:01:40.000 --> 00:01:47.000]  這個十五節經文合起來是可以分成五個小段
[00:01:47.000 --> 00:01:50.000]  每三節就一段
[00:01:50.000 --> 00:01:54.000]  這樣的話十五節聖經就是五個小段
[00:01:54.000 --> 00:01:59.000]  第一段上次我們所看到的就是一個序論
[00:01:59.000 --> 00:02:03.000]  就講到彌賽亞的降杯跟他升高
[00:02:03.000 --> 00:02:08.000]  第二段他說彌賽亞擔當我們的罪
[00:02:08.000 --> 00:02:11.000]  到了第三段今天我們要看的
