
[00:00:00.000 --> 00:00:03.800]  我們知道世界追求都是最大的企業
[00:00:03.800 --> 00:00:05.960]  但是作為神的家
[00:00:05.960 --> 00:00:10.200]  我們建立就是追求大的致命
[00:00:10.200 --> 00:00:12.200]  我讀大學的時候
[00:00:12.200 --> 00:00:15.680]  在我同學的家裡經常做功課
[00:00:15.680 --> 00:00:17.760]  原因是當時開始有電腦了
[00:00:17.760 --> 00:00:19.040]  不用打字機
[00:00:19.040 --> 00:00:20.560]  不知道什麼年代才知道
[00:00:20.560 --> 00:00:22.960]  但是我的電腦可能要等一段時間
[00:00:22.960 --> 00:00:23.880]  打印很久
[00:00:23.880 --> 00:00:26.560]  所以有些比較有錢的同學
[00:00:26.560 --> 00:00:27.320]  他已經買了電腦
[00:00:27.320 --> 00:00:28.080]  因為我打印機
[00:00:28.080 --> 00:00:29.480]  我經常在這裡工作
[00:00:29.480 --> 00:00:32.160]  經常通宵大彈工作
[00:00:32.160 --> 00:00:33.760]  他有個同學的爸爸看到
[00:00:33.760 --> 00:00:35.880]  哇,這小子很勤奮
[00:00:35.880 --> 00:00:39.080]  所以他就跟同學說
[00:00:39.080 --> 00:00:40.000]  介紹我認識
[00:00:40.000 --> 00:00:40.920]  認識了之後
[00:00:40.920 --> 00:00:43.560]  不如你大學畢業下來幫我做事
[00:00:43.560 --> 00:00:45.560]  其實我也不想晚上的
[00:00:45.560 --> 00:00:45.960]  為什麼?
[00:00:45.960 --> 00:00:48.440]  因為白天的電腦當然是同學先用
[00:00:48.440 --> 00:00:50.160]  晚上我用
[00:00:50.160 --> 00:00:52.800]  結果我真的去了公司工作
[00:00:52.800 --> 00:00:53.760]  公司做什麼的呢?
[00:00:53.760 --> 00:00:56.960]  就是做眼珠的
[00:00:56.960 --> 00:00:58.200]  你看看我們旁邊的眼珠
[00:00:58.200 --> 00:00:59.880]  是誰做的?
[00:00:59.880 --> 00:01:02.400]  其實是做公仔眼珠
[00:01:02.400 --> 00:01:05.680]  全球百分之十的眼珠都是他做的
[00:01:05.680 --> 00:01:07.640]  他的企業有一千多人
[00:01:07.640 --> 00:01:09.280]  哇,很大的
[00:01:09.280 --> 00:01:10.520]  真的不得了
[00:01:10.520 --> 00:01:11.880]  大企業
[00:01:11.880 --> 00:01:13.480]  做了一年多
[00:01:13.480 --> 00:01:15.560]  就想也未必最適合我
[00:01:15.560 --> 00:01:18.520]  做回我在金融上面
[00:01:18.520 --> 00:01:20.840]  在他的會計師樓叫做羅冰咸
[00:01:20.840 --> 00:01:22.440]  當時有幾千人
[00:01:22.440 --> 00:01:23.880]  現在不知道會不會倒閉了
[00:01:23.880 --> 00:01:24.920]  被人告了十幾億
