
[00:00:00.000 --> 00:00:04.400]  我相信大家都曾經試過情緒低落
[00:00:04.400 --> 00:00:06.200]  試過了沒有?
[00:00:06.200 --> 00:00:07.800]  試過了
[00:00:07.800 --> 00:00:10.120]  最近發生了甚麼事呢?
[00:00:10.120 --> 00:00:13.080]  剛好過去一個星期?
[00:00:13.080 --> 00:00:16.320]  一個月之前?
[00:00:16.320 --> 00:00:18.560]  半年前?
[00:00:18.560 --> 00:00:19.760]  一年前?
[00:00:19.760 --> 00:00:21.080]  或者很久了?
[00:00:21.080 --> 00:00:25.400]  但我們相信很多人都會試過
[00:00:25.400 --> 00:00:28.800]  或者曾經很長時間
[00:00:29.120 --> 00:00:32.200]  或者可能是一兩天就沒事
[00:00:32.200 --> 00:00:34.400]  但是情緒低落
[00:00:34.400 --> 00:00:36.200]  當然有很多原因
[00:00:36.200 --> 00:00:40.040]  可能是工作的原因
[00:00:40.040 --> 00:00:41.880]  工作不順利
[00:00:41.880 --> 00:00:45.960]  可能是工作吃力得很好的
[00:00:45.960 --> 00:00:49.360]  或者是人際關係出現了問題
[00:00:49.360 --> 00:00:50.320]  很緊張
[00:00:50.320 --> 00:00:53.280]  就跟別人吵架
[00:00:53.280 --> 00:00:54.240]  不開心
[00:00:54.240 --> 00:00:56.960]  或者家裡有很大壓力
[00:00:57.760 --> 00:01:00.000]  兒女不聽教
[00:01:00.000 --> 00:01:02.360]  或者有經濟的壓力
[00:01:02.360 --> 00:01:04.760]  或者夫婦的感情不好
[00:01:04.760 --> 00:01:07.120]  都會令我們情緒低落
[00:01:07.120 --> 00:01:10.240]  更加有時候是身體的緣故
[00:01:10.240 --> 00:01:12.720]  有病、有病痛
[00:01:12.720 --> 00:01:14.920]  都會情緒不低落
[00:01:14.920 --> 00:01:18.360]  我最近也發生這種情況
[00:01:18.360 --> 00:01:20.240]  有一點點毛病
[00:01:20.240 --> 00:01:22.160]  心情也不是很開心
[00:01:22.160 --> 00:01:24.960]  或者你好像王維基一樣
[00:01:24.960 --> 00:01:27.240]  一說你就知道
[00:01:28.160 --> 00:01:29.680]  想著沒問題
