
[00:00:00.000 --> 00:00:04.000]  主持人:首先祝各位新年滿福,主人滿日。
[00:00:04.000 --> 00:00:13.000]  每年來到農曆年前後,那年的生肖就會在網絡和媒體成為話題了。
[00:00:13.000 --> 00:00:19.000]  前幾天我收到呂太,如果沒有記錯應該是呂太 forward 給我一個 email,
[00:00:19.000 --> 00:00:23.000]  裏面有篇短文叫做《還有什麼密碼?》,
[00:00:23.000 --> 00:00:27.000]  我看上去拿來做 introduction 非常之好。
[00:00:27.000 --> 00:00:30.000]  這篇文章首先祝賀大家,
[00:00:30.000 --> 00:00:39.000]  鑑五馬年恭賀大家,龍馬精神,人強馬壯,一馬當先,馬道功盛。
[00:00:39.000 --> 00:00:44.000]  然後他就說到其實有很多馬是不能騎也不能跑的,
[00:00:44.000 --> 00:00:49.000]  他說有很多我們日常數到的東西都和馬有關係,
[00:00:49.000 --> 00:00:53.000]  例如踢球的人沒有人不知道什麼叫做黃馬的,
[00:00:53.000 --> 00:00:57.000]  去旅遊,每個人都知道羅馬,
[00:00:57.000 --> 00:01:00.000]  開車每個人都認識寶馬,
[00:01:00.000 --> 00:01:03.000]  戴標有人知道司馬,
[00:01:03.000 --> 00:01:08.000]  還有南洋有一個國家叫做大馬,台灣的總統叫做小馬,
[00:01:08.000 --> 00:01:11.000]  慈善寧王叫做新馬,
[00:01:11.000 --> 00:01:17.000]  還有一連串社會裏面就是斑馬、拖馬、曬馬、跌馬,
[00:01:17.000 --> 00:01:23.000]  我們當中有些在交通部任職的人,他騎的那一匹叫做鐵馬,
[00:01:23.000 --> 00:01:27.000]  原來的士停車等下叫做紮馬,
[00:01:27.000 --> 00:01:29.000]  黑馬大家都知道了,
[00:01:29.000 --> 00:01:33.000]  即是隱藏實力突然之間跑出的,
[00:01:33.000 --> 00:01:35.000]  老牌名酒叫做白馬,
[00:01:35.000 --> 00:01:39.000]  還有呼鵬淒貴叫做富馬,
[00:01:39.000 --> 00:01:42.000]  綠林大道叫做響馬,
[00:01:42.000 --> 00:01:45.000]  宣佈參選叫做虛馬,
[00:01:45.000 --> 00:01:48.000]  大熱倒灶叫做墮馬,
[00:01:48.000 --> 00:01:50.000]  新政出台叫做上馬,
[00:01:50.000 --> 00:01:52.000]  高官下台叫做落馬,
[00:01:52.000 --> 00:01:55.000]  控制結果叫做中馬,
[00:01:55.000 --> 00:02:01.000]  遲下下個禮拜馬拉松賽要跑過那條橋叫做青馬,
[00:02:01.000 --> 00:02:04.000]  但是結束我不是很同意,
[00:02:04.000 --> 00:02:08.000]  他說此馬一出誰與爭鋒就是奧巴馬,
[00:02:08.000 --> 00:02:10.000]  其實講得不對,
[00:02:10.000 --> 00:02:13.000]  為什麼呢?奧巴馬民望很低的,
[00:02:13.000 --> 00:02:16.000]  連美國報紙說他是好人,
[00:02:16.000 --> 00:02:18.000]  但是不識治國,
[00:02:18.000 --> 00:02:20.000]  他有理想,
[00:02:20.000 --> 00:02:23.000]  但是他的政策是推行不到,
[00:02:23.000 --> 00:02:30.000]  如果我有機會在原先的人的網頁留言的話,
[00:02:30.000 --> 00:02:32.000]  我會這樣說,
[00:02:32.000 --> 00:02:36.000]  是嗎?其實唯有基督在來的時候所騎的白馬,
[00:02:36.000 --> 00:02:39.000]  才是最厲害的馬,
[00:02:39.000 --> 00:02:45.000]  全世界人類歷史裡面最榮譽的一匹馬,
[00:02:45.000 --> 00:02:46.000]  你猜是哪匹馬呢?
[00:02:46.000 --> 00:02:51.000]  就是啟示路耶穌基督回來騎的那匹馬,
[00:02:51.000 --> 00:02:58.000]  我想那匹馬的尊榮是被稱為誠信真實,
[00:02:58.000 --> 00:03:01.000]  耶穌基督所騎的,
[00:03:01.000 --> 00:03:05.000]  每年我們來到這個時候,
[00:03:05.000 --> 00:03:10.000]  我都會穿這件十幾二十年都沒有穿過的戰袍,
[00:03:10.000 --> 00:03:12.000]  真的挺划算的,
[00:03:12.000 --> 00:03:14.000]  旺角女人街二百多塊,
[00:03:14.000 --> 00:03:16.000]  穿到現在,
[00:03:16.000 --> 00:03:19.000]  我打算下一任的主任牧師來,
[00:03:19.000 --> 00:03:21.000]  我就要黃袍加身,
[00:03:21.000 --> 00:03:26.000]  讓他繼續去講這些新潮的講章,
[00:03:26.000 --> 00:03:30.000]  有人會問三個問題,
[00:03:30.000 --> 00:03:34.000]  第一,為什麼每年都在這個時候要講這些呢?
