
[00:00:00.000 --> 00:00:06.520]  聖誕節,祝大家平安喜樂的節日
[00:00:06.520 --> 00:00:09.200]  最近我們講過啟示錄
[00:00:09.200 --> 00:00:14.560]  我提過,主耶穌現在已經作王
[00:00:14.560 --> 00:00:18.040]  在統治我們的世界
[00:00:18.040 --> 00:00:22.640]  當然,祂的統治不是政治上的統治
[00:00:22.640 --> 00:00:24.960]  不是我們眼見得到的
[00:00:24.960 --> 00:00:29.960]  而是在世人的心裏面統治
[00:00:29.960 --> 00:00:33.600]  以聖誕節為例
[00:00:33.600 --> 00:00:38.840]  今天全世界很多國家都會舉行慶祝活動
[00:00:38.840 --> 00:00:44.040]  並且過去一千多年以來都是這樣慶祝的
[00:00:44.040 --> 00:00:48.200]  還有很多聖誕歌曲都是很多人會唱的
[00:00:48.200 --> 00:00:52.440]  最近我們的會友Steven
[00:00:52.440 --> 00:00:55.920]  因為公幹去了杜拜
[00:00:55.920 --> 00:01:03.560]  回來告訴我,原來那裏的酒店都可以擺放聖誕樹
[00:01:03.560 --> 00:01:05.520]  令他有點詫異
[00:01:05.520 --> 00:01:10.360]  為何連回教國家都可以慶祝聖誕
[00:01:10.360 --> 00:01:12.200]  後來當地人告訴他
[00:01:12.200 --> 00:01:16.880]  原來那裏是比較開放的回教國家
[00:01:16.880 --> 00:01:18.800]  在共產黨執政的國家
[00:01:18.800 --> 00:01:23.320]  包括中國、俄國都一樣會慶祝聖誕
[00:01:23.320 --> 00:01:27.000]  我不知道這個世界上還有哪一位政治家
[00:01:27.000 --> 00:01:30.880]  在全世界的人都會慶祝他的降生
[00:01:30.880 --> 00:01:33.320]  或者我孤陋寡聞一點
[00:01:33.320 --> 00:01:36.760]  如果有人知道請你告訴我
[00:01:36.760 --> 00:01:39.720]  盧家醫生寫這本福音書的目的
[00:01:39.720 --> 00:01:42.520]  就是要幫助讀者知道
[00:01:42.520 --> 00:01:45.800]  你所學的道是正確的
[00:01:45.800 --> 00:01:49.280]  我相信盧家一定知道
[00:01:49.280 --> 00:01:55.280]  對當代一位初信耶穌的希臘人或者羅馬人來說
[00:01:55.280 --> 00:01:58.560]  他和他的朋友們都會對
[00:01:58.560 --> 00:02:03.480]  耶穌基督由同類懷孕所生的信仰
[00:02:03.480 --> 00:02:06.440]  有極大的懷疑
[00:02:06.440 --> 00:02:08.200]  不容易相信的
[00:02:08.200 --> 00:02:13.040]  因此盧家醫生做了很多歷史性的考據
[00:02:13.040 --> 00:02:20.800]  來證明主耶穌基督真是由同類所生的
[00:02:20.800 --> 00:02:23.200]  在盧家福音第一章我們已經看過
[00:02:23.200 --> 00:02:29.040]  撒加利亞和他上了年紀的太太伊麗莎白
[00:02:29.040 --> 00:02:33.000]  都能夠懷孕生子
[00:02:33.000 --> 00:02:35.320]  在伊麗莎白懷孕之前
[00:02:35.320 --> 00:02:39.560]  也有天使向他們報信
[00:02:39.560 --> 00:02:44.520]  再加上撒加利亞因為不太相信
[00:02:44.520 --> 00:02:46.120]  要拿出一個憑證
[00:02:46.120 --> 00:02:49.360]  天使就使她啞了
[00:02:49.360 --> 00:02:51.520]  一路啞了九個多月
[00:02:51.520 --> 00:02:55.200]  直到約翰出生之後
[00:02:55.200 --> 00:02:58.880]  她就恢復了說話的能力
[00:02:58.880 --> 00:03:04.480]  這些事都表明我們會在兩個世界裏面
[00:03:04.480 --> 00:03:07.520]  一個是看得見的物質世界
[00:03:07.520 --> 00:03:12.080]  另一個是看不見的上帝的世界
[00:03:12.080 --> 00:03:15.320]  或者我們說是屬靈的世界
[00:03:15.320 --> 00:03:19.880]  而屬靈的世界是能夠干預物質世界的事
[00:03:19.880 --> 00:03:23.240]  可以改變物質世界的規律
[00:03:23.240 --> 00:03:24.960]  在屬靈的世界裏面
[00:03:24.960 --> 00:03:26.840]  除了有上帝之外
[00:03:26.840 --> 00:03:31.000]  還有一類的活物叫做天使
[00:03:31.000 --> 00:03:33.760]  在第一章我們所看到的天使
[00:03:33.760 --> 00:03:36.800]  都是做欽差大臣的工作
[00:03:36.800 --> 00:03:43.280]  替上帝向一些人傳上帝的聖旨
[00:03:43.280 --> 00:03:47.440]  如果按著事件發生的次序來說
[00:03:47.440 --> 00:03:50.360]  在施洗約翰出生之後
[00:03:50.360 --> 00:03:53.480]  是應該輪到耶穌出生了
[00:03:53.480 --> 00:03:57.080]  經文記載了有關耶穌誕生
[00:03:57.080 --> 00:04:02.040]  和祂誕生時所發生的另一件事
[00:04:02.040 --> 00:04:05.400]  有關耶穌基督的誕生
[00:04:05.400 --> 00:04:09.520]  其實歷代以來都是很受信徒注意的
[00:04:09.520 --> 00:04:13.200]  不過我發覺有很多西方
[00:04:13.200 --> 00:04:15.560]  有關耶穌出生的圖畫
[00:04:15.560 --> 00:04:18.200]  是照著西方文化的理解
[00:04:18.200 --> 00:04:21.840]  而沒有詳細做過歷史的研究
[00:04:21.840 --> 00:04:23.520]  我找了幾幅不同時代
[00:04:23.520 --> 00:04:27.240]  有關耶穌出生的圖片和大家分享一下
[00:04:27.240 --> 00:04:30.880]  第一幅是在主誕生的情景是
[00:04:30.880 --> 00:04:35.680]  四世紀時刻刻在牆上的畫
[00:04:35.680 --> 00:04:38.760]  這幅畫沒有其他人物
[00:04:38.760 --> 00:04:43.400]  只有牛、驢和嬰兒耶穌在中間
[00:04:43.400 --> 00:04:46.720]  不過比例大了一點
[00:04:46.720 --> 00:04:47.840]  不是很成比例
[00:04:47.840 --> 00:04:50.440]  嬰兒耶穌沒有那麼大
[00:04:50.440 --> 00:04:54.680]  第二幅是十八世紀時刻的一幅油畫
[00:04:54.680 --> 00:05:02.080]  這裡有很多人反映當時很多人都要回鄉
[00:05:02.080 --> 00:05:05.760]  因此客店已經滿了
[00:05:05.760 --> 00:05:08.640]  沒有特別的地方給弱勢一家人
[00:05:08.640 --> 00:05:14.040]  這幅畫是用了色彩和位置在正中間
[00:05:14.040 --> 00:05:17.200]  突出了瑪利亞和嬰兒耶穌
[00:05:17.200 --> 00:05:20.680]  很明顯讓人知道耶穌是主角
[00:05:20.680 --> 00:05:26.760]  不過石柱和雕刻反映出羅馬人的文化
[00:05:26.760 --> 00:05:31.120]  第三幅是在西西里的一個場景
[00:05:31.120 --> 00:05:34.400]  有驢和瑪利亞,但看不到弱勢
[00:05:34.400 --> 00:05:36.440]  嬰兒耶穌也不太看得到
