
[00:00:00.000 --> 00:00:07.800]  不知道大家有沒有聽過有一個App叫Instagram
[00:00:07.800 --> 00:00:13.000]  我們喜歡用WhatsApp 帶來的用Wechat
[00:00:13.000 --> 00:00:16.000]  年輕一代就用Instagram
[00:00:16.000 --> 00:00:21.700]  Instagram有很多帳戶 其中一個帳戶很特別
[00:00:21.700 --> 00:00:27.700]  叫做AddTipsForJesus
[00:00:27.700 --> 00:00:32.700]  這個就是替耶穌付小費
[00:00:32.700 --> 00:00:36.700]  這個帳戶大概是2013年開始
[00:00:36.700 --> 00:00:38.700]  它有一個Tagline
[00:00:38.700 --> 00:00:39.700]  Tagline是什麼呢
[00:00:39.700 --> 00:00:40.700]  一句話是什麼呢
[00:00:40.700 --> 00:00:45.700]  Doing the last work one tip at a time
[00:00:45.700 --> 00:00:49.700]  做主的工作 每個小費做一次
[00:00:49.700 --> 00:00:51.700]  到底小費有多少呢
[00:00:51.700 --> 00:00:55.700]  大家看到小費多少錢嗎
[00:00:55.700 --> 00:00:57.700]  5000
[00:00:57.700 --> 00:01:03.700]  事實上當它開了Instagram之後
[00:01:03.700 --> 00:01:05.700]  很多人加入了 應該有幾百人
[00:01:05.700 --> 00:01:07.700]  好像是400還是800 我忘記了
[00:01:07.700 --> 00:01:09.700]  很多人跟著一起去做
[00:01:09.700 --> 00:01:14.700]  它的小費是由500到1萬元
[00:01:14.700 --> 00:01:16.700]  大家知道 吃一餐飯
[00:01:16.700 --> 00:01:17.700]  不是叫你擺酒
[00:01:17.700 --> 00:01:19.700]  擺酒給你500 1萬元小費
[00:01:19.700 --> 00:01:21.700]  這個就18% 你也很容易
[00:01:21.700 --> 00:01:23.700]  是去吃一餐飯
[00:01:23.700 --> 00:01:26.700]  這裡164元 去吃一餐飯
[00:01:26.700 --> 00:01:28.700]  但是它是給5000元小費
[00:01:28.700 --> 00:01:29.700]  有些人給500
[00:01:29.700 --> 00:01:34.700]  有些人甚至最多給1萬元的小費
[00:01:34.700 --> 00:01:36.700]  很明顯 吃一餐飯
[00:01:36.700 --> 00:01:38.700]  可以給500元到1萬元小費
[00:01:38.700 --> 00:01:40.700]  這些當然是非富則貴
[00:01:40.700 --> 00:01:43.700]  有錢人才會做到這些
[00:01:43.700 --> 00:01:46.700]  但是話是這麼說
[00:01:46.700 --> 00:01:51.700]  有錢人不一定會很慷慨地付錢
[00:01:51.700 --> 00:01:52.700]  每逢聖誕節
[00:01:52.700 --> 00:01:54.700]  大家看電視也有電影
[00:01:54.700 --> 00:01:56.700]  Mr. Scrooge Uncle Scrooge
[00:01:56.700 --> 00:01:58.700]  叫做孤寒才主
[00:01:58.700 --> 00:01:59.700]  廣東話翻譯
[00:01:59.700 --> 00:02:01.700]  有錢 但是很孤寒
[00:02:01.700 --> 00:02:03.700]  不肯付出
[00:02:03.700 --> 00:02:05.700]  所以有錢能夠付出的
[00:02:05.700 --> 00:02:07.700]  其實也不簡單
[00:02:07.700 --> 00:02:10.700]  但起碼這群人是有錢的
[00:02:10.700 --> 00:02:13.700]  擁有Instagram帳戶的
[00:02:13.700 --> 00:02:14.700]  到底是不是基督徒呢
[00:02:14.700 --> 00:02:16.700]  無從稽考
[00:02:16.700 --> 00:02:18.700]  不過我們很肯定知道
[00:02:18.700 --> 00:02:21.700]  參加這個行列的人當中
[00:02:21.700 --> 00:02:23.700]  一定不是全部都是信耶穌的人
[00:02:23.700 --> 00:02:25.700]  因為他們有些去吃飯的地方
[00:02:25.700 --> 00:02:27.700]  不是很正經的地方
[00:02:27.700 --> 00:02:29.700]  又給我貼士 又寫下
[00:02:29.700 --> 00:02:31.700]  Tips for Jesus
[00:02:31.700 --> 00:02:32.700]  我在想
[00:02:32.700 --> 00:02:34.700]  為什麼這些人會這樣做呢
[00:02:34.700 --> 00:02:36.700]  有這樣的行動
[00:02:36.700 --> 00:02:37.700]  為什麼用耶穌的名字
[00:02:37.700 --> 00:02:39.700]  去設立這樣的帳戶
[00:02:39.700 --> 00:02:41.700]  Tips for Jesus
[00:02:41.700 --> 00:02:44.700]  我相信 特別是西方社會
[00:02:44.700 --> 00:02:45.700]  我猜測而已
[00:02:45.700 --> 00:02:47.700]  在西方社會來說
[00:02:47.700 --> 00:02:50.700]  大家都認可一個事實
[00:02:50.700 --> 00:02:52.700]  說到耶穌的名字
