
[00:00:00.000 --> 00:00:04.000]  剛才唱到聖誕的詩歌令我自己有些感觸
[00:00:04.000 --> 00:00:07.000]  我們剛才唱到聖誕的詩歌,讓我個人有一些感動
[00:00:07.000 --> 00:00:11.000]  我去年有機會去到伯利恆
[00:00:11.000 --> 00:00:14.000]  我去年有機會到伯利恆
[00:00:14.000 --> 00:00:20.000]  現在的伯利恆是因為政治的緣故劃分了給巴勒斯坦人
[00:00:20.000 --> 00:00:24.000]  現在伯利恆因為政治的緣故分了給巴勒斯坦人
[00:00:24.000 --> 00:00:28.000]  它的地理環境現在形成了一個布袋形
[00:00:28.000 --> 00:00:32.000]  那個地理環境好像成了一個布袋形那樣子的
[00:00:32.000 --> 00:00:34.000]  以色列派軍隊守住那個入口
[00:00:34.000 --> 00:00:36.000]  以色列派軍隊守住那個入口
[00:00:36.000 --> 00:00:38.000]  有入不可以出
[00:00:38.000 --> 00:00:40.000]  有入不可以出
[00:00:40.000 --> 00:00:44.000]  如果裡面的巴勒斯坦人要出來是要申請工作證才可以出
[00:00:44.000 --> 00:00:49.000]  如果裡面巴勒斯坦人要出來的話要申請工作證才可以出去
[00:00:49.000 --> 00:00:56.000]  我不知道什麼原因會將我們基督教體位這麼重要的伯利恆劃分給巴勒斯坦
[00:00:56.000 --> 00:01:03.000]  我不知道什麼原因會將我們基督教體位這麼重要的伯利恆劃分給巴勒斯坦
[00:01:03.000 --> 00:01:07.000]  大概可能以色列人仍然不相信耶穌是彌撒亞
[00:01:07.000 --> 00:01:12.000]  大概猶太以色列人仍然不相信耶穌是彌撒亞
[00:01:12.000 --> 00:01:16.000]  所以他們輕輕將伯利恆給了巴勒斯坦人
[00:01:16.000 --> 00:01:20.000]  所以他們輕輕將伯利恆給了巴勒斯坦人
[00:01:20.000 --> 00:01:24.000]  但是我們作為基督徒每次去到聖地耶路撒冷
[00:01:24.000 --> 00:01:28.000]  但是我們作為基督徒每次去到聖地耶路撒冷
[00:01:28.000 --> 00:01:31.000]  我們都湧到伯利恆去看耶穌降生的地方
[00:01:31.000 --> 00:01:34.000]  我們都湧到伯利恆去看耶穌降生的地方
[00:01:34.000 --> 00:01:37.000]  但是現在伯利恆仍然是一個政治非常動蕩
[00:01:37.000 --> 00:01:41.000]  但是現在伯利恆仍然是一個政治非常動蕩的地方
[00:01:41.000 --> 00:01:46.000]  終於要結束我這個系列的講張了
