
[00:00:00.000 --> 00:00:01.900]  主耶穌,我們感謝祢,讚美祢
[00:00:01.900 --> 00:00:05.000]  因為祢是那位掌管天地萬物的上帝
[00:00:05.000 --> 00:00:09.100]  主耶穌,縱然我們的環境很多狂風巨浪
[00:00:09.100 --> 00:00:13.500]  或者我們心靈裏面有很多的創傷,很多的跌宕
[00:00:13.500 --> 00:00:16.600]  但是祢叫這些一切可以平息下來
[00:00:16.600 --> 00:00:20.500]  並且我們心靈裏面,在祢裏面能夠得到安慰和幫助
[00:00:20.500 --> 00:00:24.100]  我懇求聖靈上帝,今天祢再一次藉著祢自己的話語
[00:00:24.100 --> 00:00:26.700]  讓我們想起耶穌對我們所說的話
[00:00:26.700 --> 00:00:30.600]  以致我們有能力繼續去見證祢,去跟隨祢
[00:00:30.600 --> 00:00:34.100]  繼續去信靠祢,繼續去宣告耶穌你是主
[00:00:34.100 --> 00:00:40.000]  你是我們所創造的上帝,並且救贖我們的上帝
[00:00:40.000 --> 00:00:43.000]  我們感謝祢,但是我們與祂同在
[00:00:43.000 --> 00:00:46.200]  聽我們的禱告,是奉耶穌基督的名祈禱
[00:00:46.200 --> 00:00:49.300]  阿們,請坐
[00:00:49.300 --> 00:00:53.300]  麻煩見拜隊
[00:00:53.300 --> 00:00:56.300]  今天的講題就叫做「你可成為神蹟」
[00:00:56.300 --> 00:00:59.600]  我覺得在這個時代裏面
[00:00:59.600 --> 00:01:03.100]  我們需要更多的自我鼓勵和彼此鼓勵
[00:01:03.100 --> 00:01:08.300]  上帝讓我們弟兄姊妹能夠彼此攜手一路行天路
[00:01:08.300 --> 00:01:10.900]  所以很想用這個講題去激勵一下自己
[00:01:10.900 --> 00:01:14.200]  我們怎樣做呢?將講題的第一個字由「你」變成「我」
[00:01:14.200 --> 00:01:17.500]  我邀請你,然後拍著自己的心頭
[00:01:17.500 --> 00:01:21.900]  一起去讀這個改了第一個字的講題
[00:01:21.900 --> 00:01:24.400]  準備好了嗎?預備,開始
[00:01:24.400 --> 00:01:26.600]  「我可成為神蹟」
[00:01:26.600 --> 00:01:31.600]  這堂課很好,弟兄姊妹一講已經很有力量,很有信心,感謝主
[00:01:31.600 --> 00:01:36.100]  我們再彼此鼓勵一下,用這個講題與你旁邊的人講
[00:01:36.100 --> 00:01:39.100]  而且如果你認識他,不妨拍拍他的肩膀
[00:01:39.100 --> 00:01:43.300]  用很堅定的眼神鼓勵他,準備,開始
[00:01:43.300 --> 00:01:45.900]  「你可成為神蹟」
[00:01:45.900 --> 00:01:50.600]  其實我們每一個都可以成為神的,神蹟的器皿
[00:01:50.600 --> 00:01:53.800]  做神蹟,有時候我們都不知道他怎樣做
[00:01:53.800 --> 00:01:55.800]  待會我們看經文就知道
[00:01:55.800 --> 00:02:00.400]  不過我們就是這樣信靠他,令我們相信神是行其事的上帝
[00:02:00.400 --> 00:02:04.100]  今天很簡單,希望透過耶穌所行的第一個神蹟
[00:02:04.100 --> 00:02:06.800]  《約翰福音》第二章,短短十一節的經文
[00:02:06.800 --> 00:02:10.600]  讓我們去思考究竟神是怎樣行神蹟
[00:02:10.600 --> 00:02:12.400]  或者給我們有什麼提醒
[00:02:12.400 --> 00:02:14.400]  我以往很喜歡跟大家讀一下聖經
[00:02:14.400 --> 00:02:17.400]  這次我用另一個方法,就是我讀給大家聽
