
[00:00:00.000 --> 00:00:06.560]  我們請讀一段聖經,在天上的前書第五章第十六到第十八節。
[00:00:06.560 --> 00:00:09.220]  很熟悉的聖經,我們一同來念,來。
[00:00:09.220 --> 00:00:13.840]  要常常喜樂,不住地禱告,凡事謝恩。
[00:00:13.840 --> 00:00:18.320]  因為這是神在基督耶穌裡,向你們所定的旨意。
[00:00:18.320 --> 00:00:21.060]  我們就讀到這裡。
[00:00:21.060 --> 00:00:29.300]  感恩節即將來臨,所以在這裡讓我首先預祝大家感恩節非常非常非常快樂,Amen,Hallelujah!
[00:00:29.300 --> 00:00:34.280]  回想這一年,雖然說我們看見疫苗已經普遍在施打,
[00:00:34.280 --> 00:00:41.060]  社會陸續在重開,但目前疫情還是沒有完全的過去。
[00:00:41.060 --> 00:00:48.720]  面對疫情之後的一個新常態,還是充滿了很多未知的景況。
[00:00:48.720 --> 00:00:54.720]  你知道很多時候當我們面對未知的道路的時候,心中常常會感覺很徬徨,
[00:00:54.720 --> 00:00:57.640]  不知道下一步將會如何。
[00:00:57.640 --> 00:01:04.620]  我們也常常來到神的面前尋求神的心意,求神指引我們當做的事。
[00:01:04.620 --> 00:01:08.740]  但事實上,今天無論我們的環境是如何,
[00:01:08.740 --> 00:01:12.700]  保羅在天上人的前書第五章十六到第十八節裡面,
[00:01:12.700 --> 00:01:18.400]  早已經告訴我們,神在我們身上有一個最基本的心意。
[00:01:18.400 --> 00:01:24.880]  這個最基本的心意就是要常常喜樂,不住地禱告,凡事謝恩。
[00:01:24.880 --> 00:01:32.200]  換句話說,無論是順境、逆境、有疫情、沒有疫情,
[00:01:32.200 --> 00:01:37.700]  神的心意就是要我們常常的喜樂,凡事謝恩。
[00:01:37.700 --> 00:01:41.200]  事實上,保羅自己就是我們最好的榜樣,不是嗎?
[00:01:41.200 --> 00:01:44.940]  當他為福音的緣故被關在監獄裡面的時候,
[00:01:44.940 --> 00:01:48.000]  他寫信給菲利比的教會,
[00:01:48.000 --> 00:01:53.700]  他寫信給他們的時候沒有說,幫我禱告啊,求主快快救我脫離監獄。
[00:01:53.700 --> 00:01:55.900]  沒有,他沒有這樣說。
[00:01:55.900 --> 00:01:59.900]  反而在菲利比書第四章第四節,他怎麼說呢?
[00:01:59.900 --> 00:02:05.900]  他說你們要靠主常常喜樂,我再說你們要喜樂。
[00:02:05.900 --> 00:02:10.900]  我們看見保羅沒有只是求神來救他脫離那個環境,
[00:02:10.900 --> 00:02:16.900]  反而勸勉弟兄姐妹在無論什麼環境當中都要喜樂,
[00:02:16.900 --> 00:02:19.900]  而且常常的喜樂。
[00:02:19.900 --> 00:02:25.900]  你說在環境順利的時候要靠主喜樂,那是理所當然,是自然而然的事情。
[00:02:25.900 --> 00:02:29.900]  但在困境當中怎麼能夠靠主來喜樂呢?
[00:02:29.900 --> 00:02:34.900]  今天早上四方面跟大家來分享,怎麼樣在困境當中靠主喜樂。
[00:02:34.900 --> 00:02:39.900]  第一個,要確信神是在困境之上的主。
[00:02:39.900 --> 00:02:44.900]  給你毛說他是在困境上的主。
[00:02:44.900 --> 00:02:50.900]  第二點,在人生的道路當中,神從來沒有硬許我們是一帆風順的。
[00:02:50.900 --> 00:02:56.900]  人生總是充滿順利的時刻,也充滿了艱難的時刻。
[00:02:56.900 --> 00:03:01.900]  但作為一個神的兒女,我們一定要有一個堅定的信念。
[00:03:01.900 --> 00:03:08.900]  那就是無論我們環境是如何,神永遠是在我們環境之上掌權的神。
[00:03:08.900 --> 00:03:13.900]  我們也許不明白事情為什麼如此發生,
[00:03:13.900 --> 00:03:17.900]  但神的手卻從來沒有停止工作過,
[00:03:17.900 --> 00:03:22.900]  為的是要把我們帶進到他得勝的心意當中。
[00:03:22.900 --> 00:03:26.900]  這為什麼保羅在《羅馬書》第八章二十八節這樣說,
[00:03:26.900 --> 00:03:28.900]  我們一同來念這個經文,很熟悉的經文,
[00:03:28.900 --> 00:03:32.900]  來,我們曉得萬事都互相效力,
[00:03:32.900 --> 00:03:36.900]  叫愛神仁德益處,就是按他旨意被造的。
[00:03:36.900 --> 00:03:40.900]  在這裡我很喜歡保羅說,我們曉得。
[00:03:40.900 --> 00:03:44.900]  換句話說,不是只有保羅一個人的想法而已,
[00:03:44.900 --> 00:03:47.900]  而是我們都曉得的意思。
[00:03:47.900 --> 00:03:51.900]  換句話說,這是一個大家所認同的一個事實,
[00:03:51.900 --> 00:03:55.900]  就是萬事會互相效力,叫愛神德益處。
[00:03:55.900 --> 00:03:58.900]  換句話說,不但是順利的環境對我們有益處,
[00:03:58.900 --> 00:04:02.900]  困境一樣是對我們有益處的。
[00:04:02.900 --> 00:04:06.900]  你說困境會帶給我們什麼益處呢?
