
[00:00:00.000 --> 00:00:03.420]  親愛的天父 我相信這是你的話語
[00:00:03.420 --> 00:00:06.380]  這是你要賜下 賜給我們
[00:00:06.380 --> 00:00:10.180]  要讓我們去從得著的是主你自己的
[00:00:10.180 --> 00:00:11.580]  你的話語
[00:00:11.580 --> 00:00:14.480]  主啊 就求你真的是能夠
[00:00:14.480 --> 00:00:18.320]  讓我們今天能夠不見一人 只見耶穌
[00:00:18.320 --> 00:00:19.820]  主啊 求祢祝福
[00:00:19.820 --> 00:00:23.700]  祝福孩子是一個流通的管道
[00:00:23.700 --> 00:00:26.200]  成為一個道空的器皿
[00:00:26.200 --> 00:00:30.220]  祝願你的話今天真的是就真真實實
[00:00:30.220 --> 00:00:32.400]  豐豐富富的領導大家
[00:00:32.400 --> 00:00:34.740]  讓我們每一個人在你的裡面
[00:00:34.740 --> 00:00:36.640]  都能夠有所得著
[00:00:36.640 --> 00:00:39.640]  不是靠著孩子的能力和本事
[00:00:39.640 --> 00:00:42.040]  乃是靠著主你自己的話語
[00:00:42.040 --> 00:00:44.380]  謝謝你這樣子豐豐盛盛的
[00:00:44.380 --> 00:00:46.620]  供應給我們這樣一個群體
[00:00:46.620 --> 00:00:49.320]  也這樣豐豐富富的帶我們的家人
[00:00:49.320 --> 00:00:52.560]  每個星期都能夠來到主你的殿中
[00:00:52.560 --> 00:00:55.660]  一同來侍奉你 一同來敬拜你
[00:00:55.660 --> 00:00:59.560]  就願主你按著你的份來祝福我們
[00:00:59.560 --> 00:01:01.360]  與願我們今天可以聽到
[00:01:01.360 --> 00:01:03.460]  主你要藉著你的話語
[00:01:03.460 --> 00:01:05.340]  所對我們所講的話
[00:01:05.340 --> 00:01:07.000]  謝謝神聽我們的禱告
[00:01:07.000 --> 00:01:10.100]  奉耶穌基督的名
[00:01:10.100 --> 00:01:13.840]  好 我想問大家一個問題
[00:01:13.840 --> 00:01:16.140]  或者是跟大家
[00:01:16.140 --> 00:01:19.320]  問大家一個 也真的是個問題
[00:01:19.320 --> 00:01:21.280]  就是
[00:01:21.280 --> 00:01:26.920]  你會 你對嫉妒這一個詞語熟悉嗎
[00:01:26.920 --> 00:01:30.260]  就是你身邊會有發生嫉妒人
[00:01:30.260 --> 00:01:35.000]  或者是說被別人嫉妒這樣的狀況嗎
[00:01:35.000 --> 00:01:36.300]  有 對嗎
[00:01:36.300 --> 00:01:37.600]  那
[00:01:37.600 --> 00:01:40.500]  我自己的身上就有這兩種狀況
[00:01:40.500 --> 00:01:43.140]  一方面呢 我會嫉妒別人
[00:01:43.140 --> 00:01:44.300]  另一方面呢
[00:01:44.300 --> 00:01:47.080]  別人也會 我也是別人嫉妒的對象
[00:01:47.080 --> 00:01:50.180]  我記得在小的時候
[00:01:50.180 --> 00:01:52.580]  甚至是現在大了都有
[00:01:52.580 --> 00:01:54.920]  很多人就很嫉妒我很聰明
[00:01:54.920 --> 00:01:58.080]  就是別人要學很久才能學會的東西
[00:01:58.080 --> 00:01:59.780]  我一下就學會了
[00:01:59.780 --> 00:02:01.620]  或者是說嫉妒我呢
[00:02:01.620 --> 00:02:03.620]  很有臨時記憶性
[00:02:03.620 --> 00:02:05.220]  在考試的時候呢
[00:02:05.220 --> 00:02:06.620]  不用多多的複習
[00:02:06.620 --> 00:02:08.120]  比較短的時間
[00:02:08.120 --> 00:02:11.060]  就能夠記住這些天文地理
[00:02:11.060 --> 00:02:14.660]  這些需要死記硬背的東西
[00:02:14.660 --> 00:02:16.500]  那還有人嫉妒呢
[00:02:16.500 --> 00:02:19.680]  還有人嫉妒好像說
[00:02:19.680 --> 00:02:21.880]  啊 我身邊得到了很多的愛
[00:02:21.880 --> 00:02:23.680]  有父母的寵愛啊
