
[00:00:00.000 --> 00:00:02.400]  我要跟大家講到十誡
[00:00:02.400 --> 00:00:05.680]  十誡就想起法律
[00:00:05.680 --> 00:00:07.680]  我想問大家一個問題
[00:00:07.680 --> 00:00:13.440]  你猜猜人類有史以來
[00:00:13.440 --> 00:00:16.400]  所有國家民族加起來
[00:00:16.400 --> 00:00:20.160]  總共定了多少條法律
[00:00:20.160 --> 00:00:23.680]  為了方便你回答
[00:00:23.680 --> 00:00:25.280]  我就用舉手
[00:00:25.280 --> 00:00:26.880]  這個舉手不是缺字
[00:00:26.880 --> 00:00:29.120]  所以你舉錯了也沒問題
[00:00:29.120 --> 00:00:31.120]  如果你覺得
[00:00:31.120 --> 00:00:35.200]  你估計人類有史以來所有國家加起來
[00:00:35.200 --> 00:00:39.120]  是定了超過一千萬條法律的
[00:00:39.120 --> 00:00:40.880]  一千萬條的請你舉手
[00:00:40.880 --> 00:00:43.280]  即是多過一千萬條的請你舉手
[00:00:43.280 --> 00:00:44.480]  1、2、3、4
[00:00:44.480 --> 00:00:46.960]  咦,比今早的早堂還勇
[00:00:46.960 --> 00:00:51.840]  如果你認為人類所有的法律加起來
[00:00:51.840 --> 00:00:54.640]  是定了超過二千萬條的
[00:00:54.640 --> 00:00:55.840]  請你舉手
[00:00:55.840 --> 00:00:57.840]  這個不是拍賣不用怕
[00:00:57.840 --> 00:00:59.200]  你不需要負責任的
[00:00:59.200 --> 00:01:01.200]  二千萬條的請你舉手
[00:01:01.200 --> 00:01:02.400]  也有
[00:01:02.400 --> 00:01:04.400]  再多一條
[00:01:04.400 --> 00:01:06.400]  如果你認為人類加起來
[00:01:06.400 --> 00:01:09.120]  是否定了超過三千萬條的請你舉手
[00:01:09.120 --> 00:01:12.560]  也有幾個
[00:01:12.560 --> 00:01:16.400]  有一位學者他做了一個研究
[00:01:16.400 --> 00:01:17.920]  我不知道是不是博士論文
[00:01:17.920 --> 00:01:19.600]  有時候博士論文是做這些事
[00:01:19.600 --> 00:01:20.720]  他就說
[00:01:20.720 --> 00:01:27.120]  會估計人類有史以來總共定了三千五百萬條法律
[00:01:28.320 --> 00:01:30.240]  我聽到這個號碼
[00:01:30.240 --> 00:01:31.040]  我就想到
[00:01:31.040 --> 00:01:36.240]  原來人類歷代一直在掙扎的就是一件事
[00:01:36.240 --> 00:01:37.440]  掙扎什麼呢
[00:01:37.440 --> 00:01:40.800]  就是要定一些法律來規管行為
[00:01:40.800 --> 00:01:43.280]  因為人類的行為不是很行
[00:01:43.280 --> 00:01:44.400]  是不是
[00:01:44.400 --> 00:01:46.800]  但是有些法律是相當出名的
[00:01:46.800 --> 00:01:47.840]  我們來看看
[00:01:47.840 --> 00:01:49.840]  或者你也認識
[00:01:49.840 --> 00:01:54.480]  譬如在公元前一千七百多年
[00:01:54.480 --> 00:01:55.680]  巴比倫帝國
[00:01:55.680 --> 00:01:58.160]  有一個皇帝叫做Hammurabi
[00:01:58.160 --> 00:02:00.560]  他定了一條巴比倫法典
[00:02:00.560 --> 00:02:03.280]  裡面有282條
[00:02:03.280 --> 00:02:05.600]  寫在一個很大的石板上
[00:02:05.600 --> 00:02:09.760]  相當有文化水準的一個法律
[00:02:09.760 --> 00:02:12.160]  再遲一些
[00:02:12.160 --> 00:02:15.040]  就是大家都聽過的羅馬法
