
[00:00:00.000 --> 00:00:03.000]  很感恩今天能夠在傳恩堂見到大家
[00:00:03.000 --> 00:00:06.000]  我想問一下大家是不是網上見過我的
[00:00:06.000 --> 00:00:08.000]  有些是吧 有些是
[00:00:08.000 --> 00:00:11.000]  很感恩能夠實體第一次見面
[00:00:11.000 --> 00:00:14.000]  透過臣的說話讓我們彼此激勵
[00:00:14.000 --> 00:00:18.000]  第五波疫情 我都不知道叫過去了沒有
[00:00:18.000 --> 00:00:20.000]  可能都未過 又說是第六波
[00:00:20.000 --> 00:00:22.000]  第五波疫情我想弟兄姊妹
[00:00:22.000 --> 00:00:24.000]  你都遇到不同的困難
[00:00:24.000 --> 00:00:26.000]  遇到不同的問題
[00:00:26.000 --> 00:00:28.000]  甚至當中可能有人確診
[00:00:28.000 --> 00:00:30.000]  今天我很想藉著上帝的說話
[00:00:30.000 --> 00:00:32.000]  去看看當我們就算
[00:00:32.000 --> 00:00:34.000]  在困難的當中 譬如第五波教會
[00:00:34.000 --> 00:00:36.000]  因為不夠久之底下
[00:00:36.000 --> 00:00:38.000]  要關門了一段時間
[00:00:38.000 --> 00:00:40.000]  究竟在這些困難的底下
[00:00:40.000 --> 00:00:44.000]  我們怎樣去落實上帝給我們的大使命
[00:00:44.000 --> 00:00:46.000]  和誡命 包括
[00:00:46.000 --> 00:00:48.000]  我們怎樣盡心盡意愛我們的神
[00:00:48.000 --> 00:00:50.000]  並且愛論如己
[00:00:50.000 --> 00:00:53.000]  所以今天我用了哥林多後書
[00:00:53.000 --> 00:00:55.000]  八章一到十五節
[00:00:55.000 --> 00:00:57.000]  我的課題是信徒的愛心
[00:00:57.000 --> 00:01:00.000]  其實哥林多後書
[00:01:00.000 --> 00:01:02.000]  第八章和第九章
[00:01:02.000 --> 00:01:04.000]  都是討論一件非常重要的事
[00:01:04.000 --> 00:01:07.000]  就是周濟耶路撒冷貧窮的信徒
[00:01:07.000 --> 00:01:09.000]  所以很多牧者都會用
[00:01:09.000 --> 00:01:11.000]  這兩章的經文去討論
[00:01:11.000 --> 00:01:13.000]  主日奉獻的事
[00:01:13.000 --> 00:01:15.000]  但如果你再細心去看
[00:01:15.000 --> 00:01:17.000]  保羅所討論的
[00:01:17.000 --> 00:01:19.000]  還有更深的神學意義
[00:01:19.000 --> 00:01:22.000]  就是從行動的角度
[00:01:22.000 --> 00:01:25.000]  去看愛心是否真實
