
[00:00:00.000 --> 00:00:04.120]  我們一齊有個禱告
[00:00:04.120 --> 00:00:05.680]  天父我們都多謝祢
[00:00:05.680 --> 00:00:07.200]  讓我們一齊有敬拜
[00:00:07.200 --> 00:00:09.680]  願祢的話去改變我們
[00:00:09.680 --> 00:00:11.960]  願祢我們珍惜祢自己的話語
[00:00:11.960 --> 00:00:13.640]  珍惜祢自己的愛
[00:00:13.640 --> 00:00:15.560]  求主祢保守我們
[00:00:15.560 --> 00:00:17.560]  祈禱奉主耶穌基督的名
[00:00:17.560 --> 00:00:18.720]  阿們
[00:00:18.720 --> 00:00:20.800]  今日的講題是珍惜主的愛
[00:00:20.800 --> 00:00:23.720]  我想我們每個基督徒都經歷過主的愛
[00:00:23.720 --> 00:00:25.800]  但是有沒有很好的珍惜呢
[00:00:25.800 --> 00:00:28.200]  這個真是我們要去學習
[00:00:28.200 --> 00:00:32.800]  美國在1989年
[00:00:32.800 --> 00:00:37.200]  有一個人物在賓夕凡尼亞州
[00:00:37.200 --> 00:00:39.480]  在菲律賓這個地方
[00:00:39.480 --> 00:00:42.480]  有一位基督徒的商人
[00:00:42.480 --> 00:00:46.000]  他的名字叫John Burnett Jr.
[00:00:46.000 --> 00:00:47.800]  他做了什麼事呢
[00:00:47.800 --> 00:00:51.480]  他開始舉辦一個慈善機構
[00:00:51.480 --> 00:00:53.760]  這個慈善機構是很特別的
[00:00:53.760 --> 00:01:00.600]  不像一般的有什麼異象 籌錢籌不到錢就做這些事
[00:01:00.600 --> 00:01:02.120]  他是這樣的
[00:01:02.120 --> 00:01:04.120]  他有一個基金
[00:01:04.120 --> 00:01:07.160]  這個基金叫做新時代
[00:01:07.160 --> 00:01:10.720]  新時代這個慈善機構他做什麼呢
[00:01:10.720 --> 00:01:15.840]  如果你有些慈善的群體
[00:01:15.840 --> 00:01:19.320]  非牟利的機構或者教會等等這些
[00:01:19.320 --> 00:01:21.760]  如果你做一些慈善的工作
[00:01:21.760 --> 00:01:25.160]  你就不要直接把錢放在慈善的事情上
[00:01:25.160 --> 00:01:26.840]  你放在我這個地方
[00:01:26.840 --> 00:01:33.280]  於是我就可以把你的金額雙倍給你的慈善
[00:01:33.280 --> 00:01:36.520]  就是說如果你有50萬
[00:01:36.520 --> 00:01:39.480]  放在我們這個新時代的基金
[00:01:39.480 --> 00:01:44.120]  6個月之後我會給你100萬
[00:01:44.120 --> 00:01:49.400]  哇 你那個善事的工作可以做得很大
[00:01:49.400 --> 00:01:52.240]  這個非常之好
[00:01:52.240 --> 00:01:53.920]  這個就是他的說法
[00:01:53.920 --> 00:01:55.560]  他說怎樣能夠做到這件事呢
[00:01:55.560 --> 00:01:59.040]  他說因為有些人是不想讓人知道他的名字
[00:01:59.040 --> 00:02:00.160]  是匿名的
