
[00:00:00.000 --> 00:00:04.000]  好,頂姐妹平安,我們一起低頭禱告
[00:00:04.000 --> 00:00:09.000]  天父,我們多謝祢,因為祢讓我們可以親近祢
[00:00:09.000 --> 00:00:14.000]  今日是七日的第一日,是紀念祢復活的日子
[00:00:14.000 --> 00:00:20.000]  亦都是七日裏面有一天,祢吩咐我們,我們要分別為聖的
[00:00:20.000 --> 00:00:26.000]  聚集在祢面前,去敬拜祢,因為祢是佩得榮耀重讚的神
[00:00:26.000 --> 00:00:31.000]  我們敬拜祢的時候,是為我們的好處,因為當我們敬拜祢的時候
[00:00:31.000 --> 00:00:36.000]  我們再一次思想祢是一位怎樣的神,祢的慈愛何等好的時候
[00:00:36.000 --> 00:00:43.000]  我們的心更加被祢鼓勵,我們這樣禱告奉耶穌基督的名其構,阿們
[00:00:43.000 --> 00:00:51.000]  好了,今天我們繼續思想禱告四十天,今日第三講
[00:00:51.000 --> 00:00:56.000]  今日的內容,題目就是「聽我禱告的是誰」
[00:00:56.000 --> 00:01:02.000]  這個我相信都是一個非常重要,我們禱告是有對象的,對不對
[00:01:02.000 --> 00:01:08.000]  我們不是向空氣來禱告的,我們亦都不像星球大戰那樣
[00:01:08.000 --> 00:01:14.000]  我們說May the force be with you,即是好像有一個無形的力量在那裏
[00:01:14.000 --> 00:01:22.000]  我們講一下我們的心願想怎樣,但這個無形的力量其實都不知道是什麼
[00:01:22.000 --> 00:01:30.000]  我們不是這樣的,我們禱告實在有一位對象,聖經裏講的是我們的神,我們的天父
[00:01:30.000 --> 00:01:40.000]  而事實上,當我們怎樣去理解,或者我們怎樣去思想我們的神
[00:01:40.000 --> 00:01:46.000]  我們禱告的對象是哪一位的時候呢,其實不知道你有沒有發覺
[00:01:46.000 --> 00:01:53.000]  其實是影響我們,亦都決定了我們生命當中的每一方面
[00:01:53.000 --> 00:01:57.000]  當然這個包括了禱告
[00:01:57.000 --> 00:02:03.000]  很多時候,你會看到不同的人有不同的態度,不同的人有不同的追求目標
[00:02:03.000 --> 00:02:10.000]  不同的人定義人生的成功,以致他們追求生活方向
[00:02:10.000 --> 00:02:16.000]  很多不同,對不對,各人有各人的計劃,主見等等
[00:02:16.000 --> 00:02:23.000]  但有一點是非常重要的,亦都是非常主要的
[00:02:23.000 --> 00:02:33.000]  就是當一個人去想,去理解,他所敬拜的神是哪一位的時候
[00:02:33.000 --> 00:02:41.000]  這位神是怎樣的神的時候呢,他是主導了我們的每一方面
[00:02:41.000 --> 00:02:49.000]  我們理解我們的神是慈愛的神,我們理解我們的神是公義的神
[00:02:49.000 --> 00:02:55.000]  理解我們的神是一個關顧我們的神,理解我們的神是一個很嚴厲的神
[00:02:55.000 --> 00:03:05.000]  很嚴苛的神,理解我們的神是一個對人是非常之要求,非常之多
[00:03:05.000 --> 00:03:10.000]  各方面我們不同的理解,有些對有些錯
[00:03:10.000 --> 00:03:16.000]  就組成了我們生活方面對很多事情的態度
[00:03:16.000 --> 00:03:23.000]  有些人覺得神都不太理我的,所以他都不太理神
[00:03:23.000 --> 00:03:28.000]  他的生活覺得神是很遙遠的,所以他在他的生活當中
[00:03:28.000 --> 00:03:35.000]  亦都是感受不到需要有任何親近神的一個動機和舉動
[00:03:35.000 --> 00:03:37.000]  這個很明顯,對不對
[00:03:37.000 --> 00:03:43.000]  而事實上,今天我們就要思想一下,究竟我們禱告的對象
