
[00:00:00.000 --> 00:00:02.560]  近來有一位在兒童墓區的小朋友
[00:00:02.560 --> 00:00:04.760]  跟我分享了一個故事
[00:00:04.760 --> 00:00:06.880]  那個故事很有趣
[00:00:06.880 --> 00:00:08.920]  他跟一本整本的書
[00:00:08.920 --> 00:00:10.720]  一個兒童文學家阿龍
[00:00:10.720 --> 00:00:12.360]  寫了一本不一樣的故事
[00:00:12.360 --> 00:00:14.240]  裡面抽了一個故事給我
[00:00:14.240 --> 00:00:16.000]  我問他為什麼這麼多故事
[00:00:16.000 --> 00:00:17.840]  你只選一個故事給我聽
[00:00:17.840 --> 00:00:20.800]  他說這個故事真的很有趣
[00:00:20.800 --> 00:00:24.000]  想不到一個小朋友都會覺得有趣
[00:00:24.000 --> 00:00:25.800]  這個故事是怎樣的呢
[00:00:25.800 --> 00:00:30.000]  他講述一個城市或是一個世界
[00:00:30.000 --> 00:00:32.480]  在我們認識的世界的意外
[00:00:32.480 --> 00:00:34.040]  一個地方
[00:00:34.040 --> 00:00:36.280]  這個地方一樣有不同的人
[00:00:36.280 --> 00:00:38.320]  有老人家有小朋友
[00:00:38.320 --> 00:00:41.200]  但他們的狀況跟我們很不同
[00:00:41.200 --> 00:00:43.200]  原來那些人一出生
[00:00:43.200 --> 00:00:46.520]  他們每一個出生都是一個小老頭兒
[00:00:46.520 --> 00:00:48.280]  和一個小老太
[00:00:48.280 --> 00:00:51.520]  即是說原來一出生的小朋友
[00:00:51.520 --> 00:00:52.400]  BB
[00:00:52.400 --> 00:00:54.800]  他的樣子就不像我們的BB那樣
[00:00:54.800 --> 00:00:56.800]  會哭會叫
[00:00:56.800 --> 00:00:59.480]  然後他反而是一個老頭兒
[00:00:59.480 --> 00:01:00.480]  皺皺皮皺的
[00:01:00.480 --> 00:01:03.560]  沒什麼精力沒什麼樣子沒什麼狀況
[00:01:03.560 --> 00:01:05.760]  但原來這些人
[00:01:05.760 --> 00:01:07.920]  這個國家或是這個城市的人
[00:01:07.920 --> 00:01:10.280]  他們每老一年
[00:01:10.280 --> 00:01:12.640]  他們年歲只有一年
[00:01:12.640 --> 00:01:16.440]  狀況就會越年輕一年
[00:01:16.440 --> 00:01:17.400]  這麼說
[00:01:17.400 --> 00:01:20.840]  即是說當他們一年一年一年過去
