
[00:00:00.000 --> 00:00:02.140]  在今天的早上
[00:00:02.140 --> 00:00:07.100]  我們很高興能夠參加港九培靈研經會
[00:00:07.100 --> 00:00:11.100]  在今天的早上我們很高興能夠參加港九培靈研經會
[00:00:11.100 --> 00:00:15.300]  在未來的十天所舉行的研經會當中
[00:00:15.300 --> 00:00:18.600]  我們會一同細心地去讀聖經
[00:00:18.600 --> 00:00:20.000]  思想神的話語
[00:00:20.000 --> 00:00:22.400]  在未來的這十天培靈研經會裡面
[00:00:22.400 --> 00:00:25.400]  我們會細心地來研讀神的話語
[00:00:25.400 --> 00:00:30.900]  相信大家都知道培靈研經會是分三個部分的
[00:00:30.900 --> 00:00:34.400]  相信大家都知道培靈研經會是分三個部分
[00:00:34.400 --> 00:00:36.400]  第一部分是研經會
[00:00:36.400 --> 00:00:37.900]  第一部分是研經會
[00:00:37.900 --> 00:00:39.400]  第二部分是講道會
[00:00:39.400 --> 00:00:40.900]  第二部分是講道會
[00:00:40.900 --> 00:00:43.400]  第三部分是晚上的訓練會
[00:00:43.400 --> 00:00:45.400]  第三部分是晚上的訓練會
[00:00:45.400 --> 00:00:52.200]  顧名思義研經會就是會專注在經文的深入的領受
[00:00:52.200 --> 00:00:56.400]  顧名思義研究會是經文的深入的去研究領受
[00:00:56.400 --> 00:01:00.700]  所以我們採用的方式與一般的講道會是有一點不同的
[00:01:00.700 --> 00:01:04.600]  我們採用的方式就與一般的講道會有一點點不同
[00:01:04.600 --> 00:01:07.400]  我希望大家能夠明白這個不同的地方
[00:01:07.400 --> 00:01:09.900]  我希望大家能夠明白這個不同的地方
[00:01:09.900 --> 00:01:12.400]  另一方面我希望每一位弟兄姊妹們
[00:01:12.400 --> 00:01:18.800]  在參加研經會以先是能夠去在家裡閱讀當日的經文
[00:01:18.800 --> 00:01:21.800]  另一方面我希望弟兄姊妹能夠參加研究會之前
[00:01:21.800 --> 00:01:24.000]  在家裡閱讀當天的經文
[00:01:24.000 --> 00:01:26.400]  如果這樣的話我們的領受會更加的多
[00:01:26.400 --> 00:01:28.600]  如果這樣我們的領受就會更多
[00:01:28.600 --> 00:01:35.800]  第三方面我鼓勵大家能夠盡量出席每一天的培靈聚會
[00:01:35.800 --> 00:01:39.800]  第三方面我鼓勵大家盡量出席每一天的所有聚會
[00:01:39.800 --> 00:01:43.200]  鼓勵大家出席每一天的研經會
[00:01:43.200 --> 00:01:45.900]  鼓勵大家出席每一天的研經會
[00:01:45.900 --> 00:01:50.300]  因為每一個研經會是彼此的緊扣
[00:01:50.300 --> 00:01:53.100]  因為每一個研經會是彼此的緊扣
[00:01:53.100 --> 00:01:54.700]  如果你能夠參加的話
[00:01:54.700 --> 00:01:58.100]  你發覺你就好像由淺水去到深水
[00:01:58.100 --> 00:02:01.700]  如果你參加的話就會好像由淺水進入深水
[00:02:01.700 --> 00:02:07.100]  你要領受更多突然對耶利米斯豁然朗通
[00:02:07.100 --> 00:02:11.100]  你就會領受到對耶利米斯的豁然領通
[00:02:11.100 --> 00:02:15.900]  如此我們就能夠將耶利米斯吃在我們心裡
[00:02:15.900 --> 00:02:17.800]  成為我們生命的一部分
