
[00:00:00.000 --> 00:00:03.300]  最近香港有兩單新聞
[00:00:03.300 --> 00:00:06.200]  後來被一個專欄作家稱爲
[00:00:06.200 --> 00:00:08.900]  這兩位叫"非常母親"
[00:00:08.900 --> 00:00:12.200]  第一位的母親當她發覺
[00:00:12.200 --> 00:00:14.500]  她小學的女兒
[00:00:14.500 --> 00:00:17.200]  去補習英文的時候
[00:00:17.200 --> 00:00:20.500]  被一個英文老師性侵犯
[00:00:20.500 --> 00:00:24.900]  這個女兒哭訴地跟她媽媽說
[00:00:24.900 --> 00:00:28.600]  這個老師在補習的過程裏面性侵犯她
[00:00:30.000 --> 00:00:32.300]  一般的母親怎麼回應
[00:00:32.300 --> 00:00:35.300]  這個"非常母親"又怎麼回應呢
[00:00:35.300 --> 00:00:37.100]  被稱爲"非常母親"
[00:00:37.100 --> 00:00:39.100]  因爲她的回應就是跟她女兒說
[00:00:39.100 --> 00:00:40.600]  女兒啊女兒
[00:00:40.600 --> 00:00:44.300]  這個補習老師很有才華
[00:00:44.300 --> 00:00:45.900]  每一個經過她補習的人
[00:00:45.900 --> 00:00:47.900]  英文都進步了
[00:00:47.900 --> 00:00:49.900]  你忍一下吧
[00:00:49.900 --> 00:00:55.300]  第二個"非常母親"
[00:00:55.300 --> 00:00:58.300]  有一七歲的男孩
[00:00:58.300 --> 00:01:00.300]  去學鋼琴
[00:01:00.300 --> 00:01:03.300]  教他鋼琴的是一位男老師
[00:01:03.300 --> 00:01:05.200]  有一天
[00:01:05.200 --> 00:01:08.700]  媽媽發覺這七歲的小孩在電腦旁邊
[00:01:08.700 --> 00:01:11.700]  竟然查一個字叫"基"
[00:01:11.700 --> 00:01:14.100]  她很好奇
[00:01:14.100 --> 00:01:16.100]  問她兒子發生了什麼事
[00:01:16.100 --> 00:01:18.400]  原來兒子在學鋼琴的過程中
[00:01:18.400 --> 00:01:20.900]  被這個男老師性侵犯
[00:01:20.900 --> 00:01:24.900]  一般的家長會怎麼回應呢
[00:01:24.900 --> 00:01:28.100]  這個"非常母親"又會怎麼回應呢
[00:01:28.100 --> 00:01:30.100]  這個"非常母親"就跟兒子說
[00:01:30.100 --> 00:01:31.500]  兒子
[00:01:31.500 --> 00:01:35.500]  這個教鋼琴的老師學費很貴的
[00:01:35.500 --> 00:01:38.000]  我已經教了三個月了
[00:01:38.000 --> 00:01:40.500]  你忍耐一下吧
[00:01:40.500 --> 00:01:43.000]  當你學完這三個月之後
[00:01:43.000 --> 00:01:47.000]  我們再看看考不考慮退學吧
[00:01:47.000 --> 00:01:50.500]  這兩個真人真事
[00:01:50.500 --> 00:01:52.500]  在香港發生
[00:01:52.500 --> 00:01:56.200]  一般我們講道引用的例證都是正面的
[00:01:56.200 --> 00:01:58.600]  爲什麼今天我仍然會講出兩個
[00:01:58.600 --> 00:02:02.600]  這麼恐怖、這麼嚇人的"非常母親"呢
[00:02:02.600 --> 00:02:05.600]  我在心裏有兩種回應的可能
[00:02:05.600 --> 00:02:06.600]  第一
[00:02:06.600 --> 00:02:10.600]  這個極可能是香港的冰山一角
[00:02:10.600 --> 00:02:12.600]  但是第二個可能
[00:02:12.600 --> 00:02:16.100]  哦,只不過是一個、兩個個案
[00:02:16.100 --> 00:02:19.100]  無足掛齒
[00:02:19.100 --> 00:02:21.100]  但是跟你旁邊的弟兄說一聲
[00:02:21.100 --> 00:02:24.100]  這些個案一個也嫌多
[00:02:24.100 --> 00:02:26.100]  跟你旁邊的弟兄說一聲
[00:02:26.100 --> 00:02:29.100]  你的家庭是非常重要的
[00:02:29.100 --> 00:02:33.100]  二十年的香港
[00:02:33.100 --> 00:02:36.100]  或者普遍在東南亞二十年的裏面
[00:02:36.100 --> 00:02:40.100]  家庭的變化我們大概可以這樣形容
[00:02:40.100 --> 00:02:42.100]  這十年前
[00:02:42.100 --> 00:02:45.100]  很多人結婚、組織家庭
[00:02:45.100 --> 00:02:49.100]  十年前最多湧現在社會的
[00:02:49.100 --> 00:02:52.100]  是很多人結婚、組織家庭
[00:02:52.100 --> 00:02:56.100]  十年前最多湧現在社會的
[00:02:56.100 --> 00:02:59.100]  開始是單親家庭
[00:02:59.100 --> 00:03:01.100]  二十年後的今天
[00:03:01.100 --> 00:03:05.100]  湧現出來的是不再結婚
[00:03:05.100 --> 00:03:08.100]  結婚也不再生兒女
[00:03:08.100 --> 00:03:10.100]  因爲大家對婚姻
[00:03:10.100 --> 00:03:14.100]  不再有任何的期盼和承諾
[00:03:14.100 --> 00:03:18.100]  你看這個世代
[00:03:18.100 --> 00:03:22.100]  越來越是以我爲本
[00:03:22.100 --> 00:03:25.100]  以我爲專的社會里面
[00:03:25.100 --> 00:03:28.100]  強調了我
[00:03:28.100 --> 00:03:32.100]  這種文化和價值觀當中
[00:03:32.100 --> 00:03:36.100]  夫婦已經不能夠長久
[00:03:36.100 --> 00:03:39.100]  很多時候很多人形容
[00:03:39.100 --> 00:03:42.100]  是因爲人對愛情的瞭解淺薄
[00:03:42.100 --> 00:03:46.100]  人對愛情的僞身太低
[00:03:46.100 --> 00:03:49.100]  其實可能真正的原因
[00:03:49.100 --> 00:03:53.100]  是因爲人已經越來越愛自己
[00:03:53.100 --> 00:03:55.100]  跟你隔壁的兄弟們說
[00:03:55.100 --> 00:03:59.100]  你越來越愛你自己
[00:03:59.100 --> 00:04:01.100]  今天
[00:04:01.100 --> 00:04:03.100]  這篇道的重要性
[00:04:03.100 --> 00:04:06.100]  不是要告訴母親
[00:04:06.100 --> 00:04:08.100]  這篇道的重要性
[00:04:08.100 --> 00:04:10.100]  不是告訴爸爸
[00:04:10.100 --> 00:04:12.100]  這篇道的重要性
[00:04:12.100 --> 00:04:14.100]  不是告訴兒女
[00:04:14.100 --> 00:04:16.100]  這篇道的重要性
[00:04:16.100 --> 00:04:18.100]  不是告訴家庭
[00:04:18.100 --> 00:04:20.100]  這篇道的重要性
[00:04:20.100 --> 00:04:22.100]  不是告訴小組
[00:04:22.100 --> 00:04:24.100]  這篇道的重要性
[00:04:24.100 --> 00:04:28.100]  是要告訴每一個人
[00:04:28.100 --> 00:04:32.100]  題目說的是收還是收
[00:04:32.100 --> 00:04:34.100]  什麼意思呢
[00:04:34.100 --> 00:04:36.100]  我說的這幅家庭圖
[00:04:36.100 --> 00:04:38.100]  不是代表要有爸爸媽媽
[00:04:38.100 --> 00:04:39.100]  一個兒子一個女兒
[00:04:39.100 --> 00:04:41.100]  纔是完滿的家庭
[00:04:41.100 --> 00:04:45.100]  我只是舉個例子,不要太嚴謹
[00:04:45.100 --> 00:04:48.100]  但是夫婦共存
[00:04:48.100 --> 00:04:51.100]  要麼他來收拾你
[00:04:51.100 --> 00:04:54.100]  要麼你去收拾他
[00:04:54.100 --> 00:04:58.100]  收拾不成就收拾他
[00:04:58.100 --> 00:05:00.100]  當夫婦收拾不成的時候
