
[00:00:00.000 --> 00:00:08.760]  為什麼我今天要講這個不疾度不自誇的愛呢?
[00:00:08.760 --> 00:00:14.280]  當我上兩次講傳道書的時候
[00:00:14.280 --> 00:00:18.760]  講到人生所作的一切事
[00:00:18.760 --> 00:00:24.680]  生活裏面、工作裏面、社會、家庭、教會裏面所作的一切事
[00:00:24.680 --> 00:00:28.160]  如果根據所羅門所講的一切都是徒然
[00:00:28.160 --> 00:00:31.520]  不過我們知道不是
[00:00:31.520 --> 00:00:34.040]  後來聖經有更多的啟示
[00:00:34.040 --> 00:00:35.440]  特別是新約裏面告訴我們
[00:00:35.440 --> 00:00:40.640]  當我們將所有這些事放在主耶穌基督裏面的時候
[00:00:40.640 --> 00:00:45.400]  一切就不是徒然 而且會有獎賞
[00:00:45.400 --> 00:00:50.560]  我亦想到要平衡一下傳道書所講的很多時候很消極
[00:00:50.560 --> 00:00:54.160]  而我一般講話都是較為消極的 很有趣的
[00:00:54.160 --> 00:00:58.720]  在消極裏面 但在思極裏面又積極 通常是這樣
[00:00:58.720 --> 00:01:03.000]  我想不如講一些可以平衡一下
[00:01:03.000 --> 00:01:07.080]  講一下生活裏面的人際關係
[00:01:07.080 --> 00:01:09.000]  家庭裏面的人際關係
[00:01:09.000 --> 00:01:13.880]  其實全部都是用愛來聯絡所有這些事
[00:01:13.880 --> 00:01:20.640]  我想去講一講和愛有關的事
[00:01:20.640 --> 00:01:27.080]  特別是夫妻或弟兄姊妹之間的相處
[00:01:27.080 --> 00:01:35.680]  哥林多前書四至八節這段被稱為是愛的詩章
[00:01:35.680 --> 00:01:38.480]  其實寫得很漂亮
[00:01:38.480 --> 00:01:40.880]  寫得很脫俗
[00:01:40.880 --> 00:01:50.280]  脫俗的意思就是和現今的潮流所標榜的價值觀是很不同的
[00:01:50.280 --> 00:01:54.800]  很多基督徒都將這段經文放在婚禮上
[00:01:54.800 --> 00:02:00.440]  或者是較多用在教導夫妻關係上
[00:02:00.440 --> 00:02:04.120]  但其實在當時保羅寫這段經文的時候
[00:02:04.120 --> 00:02:08.840]  主要是應用在教會裏面的每一個信徒身上
[00:02:08.840 --> 00:02:11.120]  當然包括夫妻
[00:02:11.120 --> 00:02:22.200]  被信徒用這樣的指引來彼此相處 就是以愛相待
[00:02:22.200 --> 00:02:25.400]  在教會裏面我們要這樣彼此對待
[00:02:25.400 --> 00:02:32.760]  在工作裏面 在社會裏面都應該是這樣
[00:02:32.760 --> 00:02:39.640]  在家庭裏面我們更加需要這樣彼此對待
[00:02:39.640 --> 00:02:44.240]  為甚麼我會一講就講後面那句呢?
[00:02:44.240 --> 00:02:45.720]  即是第四節的後面那句
[00:02:45.720 --> 00:02:48.200]  聖經為甚麼不講前面那句呢?
[00:02:48.200 --> 00:02:51.480]  就是愛是含苟忍耐 又有恩慈
[00:02:51.480 --> 00:02:56.400]  是因為我前幾年已經講了這一段
[00:02:56.400 --> 00:03:00.160]  如果有興趣想聽的 你可能上網找得到
[00:03:00.160 --> 00:03:07.560]  或者你很想聽的 你來問我 我借一張碟給你聽
[00:03:07.560 --> 00:03:11.560]  我只能夠繼續講下半節
[00:03:11.560 --> 00:03:18.040]  就是愛是不疾度 愛是不自誇
[00:03:18.040 --> 00:03:24.120]  今天我想和大家一起去學這個功課
[00:03:24.120 --> 00:03:33.320]  不疾度 不自誇的愛究竟是怎樣的
[00:03:33.320 --> 00:03:38.080]  我們先看哥林多前書十三章四節
[00:03:38.080 --> 00:03:40.480]  愛是含苟忍耐 又有恩慈
[00:03:40.480 --> 00:03:45.600]  愛是不疾度 愛是不自誇
[00:03:45.600 --> 00:03:51.680]  我首先講第一點 就是愛是不疾度
[00:03:51.680 --> 00:03:56.600]  在字面上 疾度就是我們平時所講的妒忌
[00:03:56.600 --> 00:03:59.160]  我們口語化一點就是妒忌
[00:03:59.160 --> 00:04:03.720]  但是聖經所講到疾度的時候 除了說妒忌之外
[00:04:03.720 --> 00:04:11.960]  它的意思也會包括有一種很熱切的渴求
[00:04:11.960 --> 00:04:16.360]  引申出來的理解就可以是
[00:04:16.360 --> 00:04:21.280]  如果我們疾度某一些人的某一些優點
[00:04:21.280 --> 00:04:24.160]  或者是成就成功的時候
[00:04:24.160 --> 00:04:29.480]  我們內心就會產生一種極之強烈的慾望
[00:04:29.480 --> 00:04:38.480]  就是都想去爭取到那種成功或者是那種特別的優點
[00:04:38.480 --> 00:04:40.280]  如果爭取不到的時候
[00:04:40.280 --> 00:04:43.560]  也有另外一種更強烈的慾望
[00:04:43.560 --> 00:04:50.160]  就是想去吹噓自己都有那種優點或者成功
[00:04:50.160 --> 00:04:53.280]  其實沒有的 不過要吹噓自己也有
[00:04:53.280 --> 00:04:54.760]  如果都不能夠的時候
[00:04:54.760 --> 00:05:03.360]  又會再有另外一個慾望 就是想去摧毀對方的成功或者優點
[00:05:03.360 --> 00:05:11.280]  這個就是聖經裡面所講的疾度
[00:05:11.280 --> 00:05:15.240]  去吹噓自己或者去摧毀對方
[00:05:15.240 --> 00:05:21.320]  都是犯罪的行為
[00:05:21.320 --> 00:05:24.200]  聖經裡面有很多這一類的例子
[00:05:24.200 --> 00:05:31.000]  比如約瑟就是因為他一幫哥哥妒忌他
[00:05:31.000 --> 00:05:36.480]  結果就把他賣到埃及做奴隸
[00:05:36.480 --> 00:05:41.200]  蘇羅王他嫉妒大衛的才能
[00:05:41.200 --> 00:05:45.880]  嫉妒大衛被人愛戴
[00:05:45.880 --> 00:05:50.280]  於是他就追殺大衛
[00:05:50.280 --> 00:05:57.040]  有但爾利他被其他的謀士所嫉妒
[00:05:57.040 --> 00:06:03.080]  於是他就被人去誣告 被人設計去陷害他
[00:06:03.080 --> 00:06:07.520]  結果就被大利烏王將他放在獅子坑裡面
[00:06:07.520 --> 00:06:15.080]  不幸的是神拯救了他 封住了獅子的口
[00:06:15.080 --> 00:06:18.600]  還有現在這裡 保羅
[00:06:18.600 --> 00:06:25.640]  當時的哥倫多教會裡面有一幫所謂假師傅假教師
[00:06:25.640 --> 00:06:30.360]  他們就是因為嫉妒保羅那個教導的權柄
[00:06:30.360 --> 00:06:33.720]  於是詆毀保羅
[00:06:33.720 --> 00:06:40.560]  他們同時也妒忌其他教會裡面的領袖的權柄
[00:06:40.560 --> 00:06:48.480]  於是他們自己就分門結黨 製造紛爭 分裂
[00:06:48.480 --> 00:06:54.440]  他們自己去爭取做領導的地位 或者教導的權柄
[00:06:54.440 --> 00:06:57.560]  所以這一句經文
[00:06:57.560 --> 00:07:02.840]  保羅寫來是針對那些假教師 假師傅
[00:07:02.840 --> 00:07:07.480]  特別去教導當時教會的會眾
[00:07:07.480 --> 00:07:14.480]  當然我們看來的時候 我們也需要聽 需要學
[00:07:14.480 --> 00:07:19.200]  我們看《針研》十四章三十節
[00:07:19.200 --> 00:07:22.840]  這節聖經的下半節告訴我們
[00:07:22.840 --> 00:07:28.800]  「疾道是骨中的擾難」
[00:07:28.800 --> 00:07:35.680]  意思就是說 疾道就像血癌 骨癌一樣
[00:07:35.680 --> 00:07:42.000]  是可以致人於死地的
