
[00:00:00.000 --> 00:00:01.440]  好 各位差大英節目 你們好
[00:00:01.440 --> 00:00:04.600]  我們很開心 我們又開始我們星期三的《查經》了
[00:00:04.600 --> 00:00:07.400]  大衛 我們看他的心平呢
[00:00:07.400 --> 00:00:09.900]  現在去到差不多的後期了
[00:00:09.900 --> 00:00:12.900]  還有三次左右 我們就會查完大衛了
[00:00:12.900 --> 00:00:19.320]  今天我們就會看大衛因為被自己的兒子背叛 追殺
[00:00:19.320 --> 00:00:21.820]  大衛要逃離皇宮
[00:00:21.820 --> 00:00:24.820]  但是在他逃亡的過程當中呢
[00:00:24.820 --> 00:00:27.700]  就遇到不同的人
[00:00:27.700 --> 00:00:32.200]  我們今天就會看不同的人對大衛有什麼不同的表現
[00:00:32.200 --> 00:00:36.200]  所以我這次的題目就叫做世態炎涼
[00:00:36.200 --> 00:00:40.200]  我們看到鴨沙龍他就是背叛成功了
[00:00:40.200 --> 00:00:42.700]  他怎樣來但是去背叛呢
[00:00:42.700 --> 00:00:48.700]  大家可以上YouTube聽回上一次我們所查經的
[00:00:48.700 --> 00:00:53.200]  大衛就知道自己的兒子背叛他
[00:00:53.200 --> 00:00:55.200]  而且很多人擁護他
[00:00:55.200 --> 00:00:58.200]  所以他就立刻要逃亡了
[00:00:58.200 --> 00:01:04.200]  他只是留下十幾個妃嬪來看守著皇宮而已
[00:01:04.200 --> 00:01:07.200]  其實他應該猜到十幾個妃嬪其實會慘的
[00:01:07.200 --> 00:01:08.700]  但是都竟然留下他們
[00:01:08.700 --> 00:01:12.200]  當時社會裡面的女性是沒有地位的
[00:01:12.200 --> 00:01:14.200]  而在整個過程當中呢
[00:01:14.200 --> 00:01:17.200]  我們就看到人情冷暖 世態炎涼
[00:01:17.200 --> 00:01:22.200]  當中有忠心耿耿 願意跟隨他的人
[00:01:22.200 --> 00:01:27.200]  也有一些鬼炸小人乘機去騙大衛
[00:01:27.200 --> 00:01:30.700]  更加有一些打落水狗的敵人
[00:01:30.700 --> 00:01:35.200]  我們從中看不同的人物有什麼不同的表現
[00:01:35.200 --> 00:01:40.700]  接著我們就會看回他們的結果
[00:01:40.700 --> 00:01:45.700]  其實這幫人後來的結果是隔了一段時間的
[00:01:45.700 --> 00:01:47.700]  就是要遲很多張式出現
