
[00:00:00.000 --> 00:00:02.000]  我帶領大家祈禱
[00:00:02.000 --> 00:00:07.000]  張叔我們感謝你自己設立
[00:00:07.000 --> 00:00:12.000]  安息日叫我們守你的安息
[00:00:12.000 --> 00:00:15.000]  好讓我們學習安靜
[00:00:15.000 --> 00:00:18.000]  回到你自己的面前
[00:00:18.000 --> 00:00:21.000]  我們仰望你
[00:00:21.000 --> 00:00:24.000]  我們在灰燼世界裏面
[00:00:24.000 --> 00:00:27.000]  受過不同的體會
[00:00:27.000 --> 00:00:29.000]  有些好
[00:00:29.000 --> 00:00:32.000]  有些令我們很不開心
[00:00:32.000 --> 00:00:34.000]  今日我們仍然記得
[00:00:34.000 --> 00:00:38.000]  主一求你幫助我們
[00:00:38.000 --> 00:00:43.000]  你透過御苦期幫助我們
[00:00:43.000 --> 00:00:49.000]  教我們怎樣去處理這些經驗
[00:00:49.000 --> 00:00:52.000]  我們祈禱奉耶穌基督名
[00:00:52.000 --> 00:00:53.000]  阿們
[00:00:54.000 --> 00:00:57.000]  新年我有朋友上來我家拜年
[00:00:57.000 --> 00:01:00.000]  一打開門他很開心
[00:01:00.000 --> 00:01:02.000]  因為真的很久沒見了
[00:01:02.000 --> 00:01:04.000]  大家坐下聊聊天
[00:01:04.000 --> 00:01:06.000]  我問他近況
[00:01:06.000 --> 00:01:10.000]  他本來在笑
[00:01:10.000 --> 00:01:14.000]  誰知我問錯他的問題
[00:01:14.000 --> 00:01:18.000]  他整個愁容露出來
[00:01:18.000 --> 00:01:20.000]  原來我這個朋友
[00:01:20.000 --> 00:01:23.000]  在工作裏面有個新來的
[00:01:24.000 --> 00:01:26.000]  上司調過來
[00:01:26.000 --> 00:01:31.000]  未來之前傳聞他有個稱號
[00:01:31.000 --> 00:01:33.000]  叫殺人王
[00:01:33.000 --> 00:01:38.000]  那時還未坐亂他已經出手
[00:01:38.000 --> 00:01:45.000]  我好朋友受到很多無理的要求和對待
[00:01:45.000 --> 00:01:48.000]  加上他又要管理下屬
[00:01:48.000 --> 00:01:50.000]  他這個上司很有趣
[00:01:50.000 --> 00:01:54.000]  很喜歡在他下屬面前施壓
[00:01:54.000 --> 00:01:57.000]  顯示他那種權威
[00:01:57.000 --> 00:02:03.000]  我這個朋友表示自己好像垃圾一樣
[00:02:03.000 --> 00:02:05.000]  沒價值
[00:02:05.000 --> 00:02:07.000]  失去尊嚴
[00:02:07.000 --> 00:02:12.000]  這些經驗成為了他的記憶
[00:02:12.000 --> 00:02:15.000]  當他任何時間都好
[00:02:15.000 --> 00:02:21.000]  他腦裏面不斷有這些景象浮現
[00:02:21.000 --> 00:02:23.000]  因此影響他的睡眠
[00:02:23.000 --> 00:02:25.000]  他很難睡得著
[00:02:25.000 --> 00:02:28.000]  特別是日後要上班的時候
[00:02:28.000 --> 00:02:31.000]  他那種心情那種動力
[00:02:31.000 --> 00:02:39.000]  簡直是無法讓他有動力明天上班
[00:02:39.000 --> 00:02:41.000]  我擔心的是
[00:02:41.000 --> 00:02:44.000]  這些記憶塑造了他的身份
[00:02:44.000 --> 00:02:47.000]  即使他學歷多高
[00:02:47.000 --> 00:02:50.000]  這些負面的經驗
