
[00:00:00.000 --> 00:00:01.760]  那裡的經文說到你們
[00:00:01.760 --> 00:00:04.000]  耶穌說
[00:00:04.000 --> 00:00:05.000]  地上和平
[00:00:05.000 --> 00:00:06.080]  我們不是帶給你和平
[00:00:06.080 --> 00:00:07.220]  是帶給你刀劍
[00:00:07.220 --> 00:00:10.200]  甚至我們要叫人與父親對立
[00:00:10.200 --> 00:00:11.600]  女兒與母親對立
[00:00:11.600 --> 00:00:12.980]  媳婦與婆婆對立
[00:00:12.980 --> 00:00:14.980]  人的仇敵就是自己家裡的人
[00:00:14.980 --> 00:00:16.680]  愛父母勝於愛外的
[00:00:16.680 --> 00:00:17.600]  不配作為門徒
[00:00:17.600 --> 00:00:18.480]  愛兒女勝於愛外的
[00:00:18.480 --> 00:00:19.600]  不配作為門徒
[00:00:19.600 --> 00:00:22.000]  就是一個父親節
[00:00:22.000 --> 00:00:23.800]  遇到這樣的經文
[00:00:23.800 --> 00:00:25.560]  就是一個大的挑戰
[00:00:25.560 --> 00:00:27.800]  但是呢
[00:00:28.360 --> 00:00:31.200]  既然這是上帝的話
[00:00:31.200 --> 00:00:34.200]  是否適合我們聽,我們也要聽
[00:00:34.200 --> 00:00:38.160]  不如讓我們很謹慎、很認真
[00:00:38.160 --> 00:00:41.760]  看清楚究竟經文說了些什麼
[00:00:41.760 --> 00:00:44.160]  信息要帶給我們
[00:00:44.160 --> 00:00:47.520]  如何回應這個世界、這個世代
[00:00:47.520 --> 00:00:53.480]  所以讓我們謹慎去聽
[00:00:53.480 --> 00:00:55.480]  當我們很細心
[00:00:55.480 --> 00:00:57.480]  因為很難說就放棄了
[00:00:57.480 --> 00:00:59.720]  當我們繼續很認真、嚴謹去看的時候
[00:00:59.720 --> 00:01:01.040]  發覺安樂了
[00:01:01.040 --> 00:01:04.040]  原來耶穌不是為了父親節而說的這段經文
[00:01:04.040 --> 00:01:06.440]  甚至不是為了父親而說的
[00:01:06.440 --> 00:01:11.640]  耶穌在馬克宗第五章那裡
[00:01:11.640 --> 00:01:13.960]  作者聚集了很多
[00:01:13.960 --> 00:01:16.200]  天國倫理的教訓
[00:01:16.200 --> 00:01:18.920]  在登山補訓那裡告訴所有的人
[00:01:18.920 --> 00:01:19.640]  很好
[00:01:19.640 --> 00:01:22.600]  他們說天國是屬於貧窮的人
[00:01:22.600 --> 00:01:24.360]  不只是有錢人說了算
[00:01:24.360 --> 00:01:25.880]  天國是屬於謙卑的人
[00:01:25.880 --> 00:01:27.880]  不只是強行逼你的人
[00:01:27.880 --> 00:01:29.880]  是屬於他的
[00:01:29.880 --> 00:01:31.880]  很多人很嚮往那種
[00:01:31.880 --> 00:01:34.360]  新天新地、那種新的價值
[00:01:34.360 --> 00:01:36.360]  那種更新了世界
[00:01:36.360 --> 00:01:39.880]  很令人羨慕人與人之間的人倫關係
[00:01:39.880 --> 00:01:41.320]  不再是我高你低
[00:01:41.320 --> 00:01:42.120]  互相壓迫
[00:01:42.120 --> 00:01:44.120]  又可以彼此的饒恕
[00:01:44.120 --> 00:01:46.120]  又不會我挑你骨頭,你挑我骨頭
[00:01:46.120 --> 00:01:48.120]  很令人羨慕
[00:01:48.120 --> 00:01:50.120]  接著在第八章開始
[00:01:50.120 --> 00:01:52.120]  耶穌就展開
[00:01:52.120 --> 00:01:54.120]  不僅說了很好的道理給你聽
[00:01:54.120 --> 00:01:56.120]  而且他四處去
[00:01:56.120 --> 00:01:58.120]  醫治
[00:01:58.120 --> 00:02:00.120]  醫病、趕鬼
[00:02:00.120 --> 00:02:02.120]  讓他身邊的人都覺得
[00:02:02.120 --> 00:02:04.120]  是不是你所說的那麼好的世界
[00:02:04.120 --> 00:02:06.120]  那麼好的國度已經來了
[00:02:06.120 --> 00:02:08.120]  那些病痛都不可以困住我們
[00:02:08.120 --> 00:02:10.120]  那些鬼都不可以克制我們
[00:02:10.120 --> 00:02:12.120]  讓我們可以有真正的自由
[00:02:12.120 --> 00:02:14.120]  是不是這個天國已經來了
[00:02:14.120 --> 00:02:16.120]  一直說到
[00:02:16.120 --> 00:02:18.120]  第九章都是這麼好的訊息
[00:02:18.120 --> 00:02:20.120]  接著到了第十章
[00:02:20.120 --> 00:02:22.120]  一開始是說什麼呢?就是說耶穌選了十二個門徒
[00:02:22.120 --> 00:02:24.120]  把這個醫治趕鬼的能力
[00:02:24.120 --> 00:02:26.120]  給他們
[00:02:26.120 --> 00:02:28.120]  讓他們可以到處去醫治趕鬼
[00:02:28.120 --> 00:02:30.120]  滿有能力
[00:02:30.120 --> 00:02:32.120]  這樣就很棒了
[00:02:32.120 --> 00:02:34.120]  天國已經
[00:02:34.120 --> 00:02:36.120]  差不多展開了
[00:02:36.120 --> 00:02:38.120]  就在這個時候
[00:02:38.120 --> 00:02:40.120]  耶穌就說了這番話
[00:02:40.120 --> 00:02:46.120]  四處都有迫害
[00:02:46.120 --> 00:02:48.120]  甚至你家裡的人
[00:02:48.120 --> 00:02:50.120]  都會成為攻擊你的人
[00:02:50.120 --> 00:02:52.120]  學生不能夠高過老師
[00:02:52.120 --> 00:02:54.120]  僕人不能夠高過主人
