
[00:00:00.000 --> 00:00:03.000]  今日在主日之先
[00:00:03.000 --> 00:00:06.000]  我們講開我們的心靈
[00:00:06.000 --> 00:00:10.000]  看看神如何教導我們作一個屬靈的兒女
[00:00:10.000 --> 00:00:13.000]  我們同心低頭有個禱告的時間
[00:00:13.000 --> 00:00:16.000]  請祢主願祢的靈去充滿我們
[00:00:16.000 --> 00:00:19.000]  好讓我們去感謝祢
[00:00:19.000 --> 00:00:23.000]  好讓我們去知道祢就是那位最偉大的父親
[00:00:23.000 --> 00:00:26.000]  我們除了為著祢設多地地上家庭
[00:00:26.000 --> 00:00:28.000]  我們獻上感謝
[00:00:28.000 --> 00:00:30.000]  感謝無論我們的家庭
[00:00:30.000 --> 00:00:34.000]  過去帶來給我們一種幸福一種喜樂
[00:00:34.000 --> 00:00:36.000]  還是我們的父母
[00:00:36.000 --> 00:00:40.000]  在過去為我們帶來一些困擾帶來一些難關
[00:00:40.000 --> 00:00:42.000]  我們都為此去學習去感謝祢
[00:00:42.000 --> 00:00:46.000]  因為這些都是神祢有心意放縱
[00:00:46.000 --> 00:00:50.000]  懇求祢讓我們知道祢在背後一直沒有離棄我們
[00:00:50.000 --> 00:00:52.000]  一直幫助我們
[00:00:52.000 --> 00:00:54.000]  願意在今個主日裡
[00:00:54.000 --> 00:00:57.000]  透過神祢使用保羅的一些說話
[00:00:57.000 --> 00:00:59.000]  去激勵我們提醒我們
[00:00:59.000 --> 00:01:02.000]  原來祢在我們的眼中
[00:01:02.000 --> 00:01:06.000]  祢看我們是祢所著緊的兒女
[00:01:06.000 --> 00:01:08.000]  祢為我們而召急
[00:01:08.000 --> 00:01:10.000]  願祢的靈在當中引導我們
[00:01:10.000 --> 00:01:13.000]  誰聽我們祈禱奉為耶穌得勝的名而求
[00:01:13.000 --> 00:01:14.000]  阿門
[00:01:14.000 --> 00:01:17.000]  好今天我們會看羅馬書
[00:01:17.000 --> 00:01:19.000]  第九章第一至到第八節
[00:01:19.000 --> 00:01:22.000]  剛才已經讀了這段經文
