
[00:00:00.000 --> 00:00:02.500]  我們要來建立禱告樹
[00:00:02.500 --> 00:00:05.500]  Building a Prayer Tree
[00:00:05.500 --> 00:00:09.500]  就如耶利米蘇17章78節
[00:00:09.500 --> 00:00:11.000]  他所說的
[00:00:11.000 --> 00:00:12.500]  依靠耶和華
[00:00:12.500 --> 00:00:16.500]  以耶和華為可靠的那人有福了
[00:00:16.500 --> 00:00:20.000]  他必向樹栽於水旁
[00:00:20.000 --> 00:00:22.500]  在河邊紮根
[00:00:22.500 --> 00:00:25.000]  炎熱來到並不懼怕
[00:00:25.000 --> 00:00:28.000]  葉子仍必清脆
[00:00:28.000 --> 00:00:30.500]  在乾旱之年毫無掛慮
[00:00:30.500 --> 00:00:33.500]  而且結果不止
[00:00:33.500 --> 00:00:35.500]  感謝神讚美神
[00:00:35.500 --> 00:00:37.500]  我看到我們每一位弟兄姊妹
[00:00:37.500 --> 00:00:40.500]  都是結果不止
[00:00:40.500 --> 00:00:42.000]  真的再一次說
[00:00:42.000 --> 00:00:44.000]  我們要把那個果子獻給
[00:00:44.000 --> 00:00:46.500]  我們在天上的神
[00:00:46.500 --> 00:00:49.500]  我們也要藉著我們這個禱告樹
[00:00:49.500 --> 00:00:51.500]  我們在這個樹上
[00:00:51.500 --> 00:00:54.000]  不但要滿了葉子
[00:00:54.000 --> 00:00:56.000]  我建議每一次
[00:00:56.000 --> 00:00:59.000]  當這個禱告成就的時候
[00:00:59.000 --> 00:01:02.000]  再讓它開花結果吧
[00:01:02.000 --> 00:01:04.000]  除了還有葉子還有花
[00:01:04.000 --> 00:01:07.000]  還有果讚美神
[00:01:07.000 --> 00:01:08.500]  您知道嗎
[00:01:08.500 --> 00:01:12.500]  全世界有許許多多的大復興
[00:01:12.500 --> 00:01:15.000]  英文叫做Revival
[00:01:15.000 --> 00:01:20.000]  大復興基本上都是從禱告開始
[00:01:20.000 --> 00:01:22.500]  除了我們常常講的
[00:01:22.500 --> 00:01:24.500]  威爾斯的大復興
[00:01:24.500 --> 00:01:26.500]  那是在歐洲的
[00:01:26.500 --> 00:01:29.500]  我們中國山東的大復興
[00:01:29.500 --> 00:01:31.000]  甚至於在南美洲
[00:01:31.000 --> 00:01:34.000]  在1949年在阿根廷
[00:01:34.000 --> 00:01:36.500]  也發生了大復興
[00:01:36.500 --> 00:01:38.000]  讓我解釋一下
[00:01:38.000 --> 00:01:40.500]  說明一下阿根廷的大復興
[00:01:40.500 --> 00:01:45.000]  那個時候它的總統叫做Domingo
[00:01:45.000 --> 00:01:48.000]  那麼總統夫人叫做Iva
[00:01:48.000 --> 00:01:50.000]  是一個大美人
[00:01:50.000 --> 00:01:52.500]  阿根廷跳Tango是全世界有名的
[00:01:52.500 --> 00:01:54.500]  從他們那邊傳出來的
[00:01:54.500 --> 00:01:57.000]  總統跟總統夫人Tango
[00:01:57.000 --> 00:01:59.500]  跳得非常的美
