
[00:00:00.000 --> 00:00:02.720]  今天我們講的題目是我們的神在哪裡?
[00:00:02.720 --> 00:00:05.080]  下個星期我將會講另外一個問題
[00:00:05.080 --> 00:00:07.760]  就是究竟神聽不聽到我們的禱告
[00:00:07.760 --> 00:00:10.280]  下個星期就是講另外一個問題
[00:00:10.280 --> 00:00:12.920]  就是究竟神有沒有聽到我們的禱告
[00:00:12.920 --> 00:00:16.720]  這兩個問題很多基督徒都會問的
[00:00:16.720 --> 00:00:19.520]  這兩個題目很多基督徒都在問的
[00:00:19.520 --> 00:00:21.680]  就算是信了主很多年
[00:00:21.680 --> 00:00:25.040]  當我們有軟弱的時候
[00:00:25.040 --> 00:00:29.160]  我們都經常問神你在哪裡
[00:00:29.160 --> 00:00:32.280]  我們都在問神祢在哪裡
[00:00:32.280 --> 00:00:34.520]  又或者神祢有沒有聽過我祈禱的
[00:00:34.520 --> 00:00:37.960]  又或者說問神祢究竟有沒有聽我的禱告
[00:00:37.960 --> 00:00:39.760]  相信大家都很有經驗
[00:00:39.760 --> 00:00:41.560]  相信大家也蠻有經驗的
[00:00:41.560 --> 00:00:46.000]  今天我們講的題目就是神祢究竟在哪裡
[00:00:46.000 --> 00:00:49.600]  今天我們講的題目就是神祢在哪裡
[00:00:49.600 --> 00:00:53.720]  我們的神是有些不同的跟其他的神
[00:00:53.720 --> 00:00:56.360]  我們的神跟其他的神是有些不同
[00:00:56.360 --> 00:00:59.000]  我們的神是看不到、摸不到的
[00:00:59.000 --> 00:01:01.680]  我們的神是看不到、摸不到的
[00:01:01.680 --> 00:01:05.600]  你問我神在哪裡,我講不到給你聽,是不是?
[00:01:05.600 --> 00:01:09.280]  你說我們的神在哪裡呢?我們告訴不了
[00:01:09.280 --> 00:01:12.960]  而且我們的神也都很嚴正跟我們說
[00:01:12.960 --> 00:01:15.680]  千萬不要為我做一些偶像
[00:01:15.680 --> 00:01:18.200]  而且我們的神也是很嚴正的跟我們說
[00:01:18.200 --> 00:01:20.720]  千萬不要為祂做一些偶像
[00:01:20.720 --> 00:01:23.640]  我知道我們中國人很多神佛我們去拜的
[00:01:23.640 --> 00:01:26.680]  我知道我們華人很多的神佛會拜
[00:01:26.680 --> 00:01:29.840]  我們去拜觀音,我們去觀音廟,是不是?
[00:01:29.840 --> 00:01:33.040]  我們去拜觀音,去觀音廟
[00:01:33.040 --> 00:01:36.560]  我們拜天后娘娘,我們去天后廟,是不是?
[00:01:36.560 --> 00:01:39.160]  拜天后娘娘的就去天后廟
[00:01:39.160 --> 00:01:40.960]  但我們回到我們的教會
[00:01:40.960 --> 00:01:42.320]  我們回到我們的教會
[00:01:42.320 --> 00:01:44.240]  我們連一個神像都沒有,是不是?
[00:01:44.240 --> 00:01:46.080]  我們連一個神像都沒有
[00:01:46.080 --> 00:01:47.720]  是,有一個十字架
[00:01:47.720 --> 00:01:49.920]  只是有一個十字架
[00:01:49.920 --> 00:01:53.280]  十字架上是空的
[00:01:53.280 --> 00:01:55.120]  十字架上是空的
[00:01:55.120 --> 00:01:56.880]  沒有掛著耶穌基督在那裡
[00:01:56.880 --> 00:01:58.360]  沒有掛著耶穌基督在那裡
[00:01:58.360 --> 00:01:59.600]  因為祂已經升了天
[00:01:59.600 --> 00:02:00.920]  因為祂已經升天了
[00:02:00.920 --> 00:02:03.680]  所以我們有時都說我們的宗教
[00:02:03.680 --> 00:02:06.520]  當我們傳出去的時候,我們是輸蝕一點的
[00:02:06.520 --> 00:02:08.160]  所以我們常說我們的宗教
[00:02:08.160 --> 00:02:11.240]  當我們出去傳教的時候
[00:02:11.240 --> 00:02:12.680]  我們是比較吃虧的
[00:02:12.680 --> 00:02:14.640]  因為我們沒有東西可以展示給人看,是不是?
[00:02:14.640 --> 00:02:17.400]  因為我們沒有一些東西可以給人家看
[00:02:17.400 --> 00:02:21.040]  最近大家知道大減教都去購物,是不是?
[00:02:21.040 --> 00:02:23.840]  最近大家大概都是搭乘假去購物了
[00:02:23.840 --> 00:02:25.640]  今天很多人都在網上購物
[00:02:25.640 --> 00:02:27.320]  今天很多人在網上購物
[00:02:27.320 --> 00:02:30.600]  但我見附近的Outlet都擠滿了人這幾天
[00:02:30.600 --> 00:02:34.840]  我看見附近的Outlet最近這幾天都擠滿了人
[00:02:34.840 --> 00:02:37.680]  那為什麼人們都喜歡去購物呢?
[00:02:37.680 --> 00:02:39.360]  為什麼人們都喜歡購物呢?
[00:02:39.360 --> 00:02:40.800]  為什麼不怕擠呢?
[00:02:40.800 --> 00:02:43.120]  為什麼不怕去擠撥呢?
[00:02:43.120 --> 00:02:45.960]  因為你想去看一下貨物,是不是?
[00:02:45.960 --> 00:02:48.240]  因為大概人都想去看
[00:02:48.240 --> 00:02:50.600]  不買,摸一下都好,是不是?
[00:02:50.600 --> 00:02:52.280]  不買的話,摸一摸也好
[00:02:52.280 --> 00:02:54.280]  有些東西你是可以看到的
[00:02:54.280 --> 00:02:56.760]  就是說有一些東西是可以看見的
[00:02:56.760 --> 00:02:58.120]  但我們的神是看不見的
[00:02:58.120 --> 00:02:59.840]  但我們的神是看不見的
[00:02:59.840 --> 00:03:04.640]  所以我們有時候很難去解釋給你聽
[00:03:04.640 --> 00:03:06.200]  我們的神是什麼樣子的
[00:03:06.200 --> 00:03:08.240]  所以有時候很難解釋給你聽
[00:03:08.240 --> 00:03:09.600]  我們的神是什麼樣子的
[00:03:09.600 --> 00:03:11.560]  因為我們的神是無形無體的
[00:03:11.560 --> 00:03:13.360]  因為我們的神是無形無體的
[00:03:13.360 --> 00:03:15.440]  也很難告訴你我們的神在哪裡
[00:03:15.440 --> 00:03:17.120]  也很難告訴你我們的神在哪裡
[00:03:17.120 --> 00:03:20.160]  因為我們的神是無所不在的
[00:03:20.160 --> 00:03:22.400]  因為我們的神是無所不在的
