
[00:00:00.000 --> 00:00:02.960]  愛我們的上帝 我們要多謝禰
[00:00:02.960 --> 00:00:06.240]  因為禰的愛 讓我們再一次被焦聚
[00:00:06.240 --> 00:00:10.200]  令我們繼續有生命氣息來到殿葬中一起去敬拜
[00:00:10.200 --> 00:00:11.920]  沾滿禰的榮光
[00:00:11.920 --> 00:00:13.640]  願禰賜福 恩代我們
[00:00:13.640 --> 00:00:14.840]  由雲部人口中的言語
[00:00:14.840 --> 00:00:16.640]  對應節目之間的心思意念
[00:00:16.640 --> 00:00:18.720]  蒙聖明的啓迪 蒙主的月立
[00:00:18.720 --> 00:00:22.680]  禱告奉耶穌基督的名
[00:00:22.680 --> 00:00:27.160]  今天很想和大家去想想關於奉獻這個問題
[00:00:27.160 --> 00:00:30.560]  可能你會說奉獻經常都聽的
[00:00:30.560 --> 00:00:33.840]  奉獻可能我在教會上班了這麼多年
[00:00:33.840 --> 00:00:36.200]  都常常參與的
[00:00:36.200 --> 00:00:38.640]  希望今天和大家有點反省
[00:00:38.640 --> 00:00:41.920]  不知道想起奉獻第一時間會想起什麼
[00:00:41.920 --> 00:00:43.920]  奉獻第一時間就會想起
[00:00:43.920 --> 00:00:46.800]  可能每個禮拜崇拜的時候
[00:00:46.800 --> 00:00:49.200]  可能你會想起每個月出糧的時候
[00:00:49.200 --> 00:00:50.840]  可能要計算
[00:00:50.840 --> 00:00:52.640]  可能會想起很多不同的事情
[00:00:52.640 --> 00:00:55.560]  我第一時間想起我剛剛開始上班的時候
[00:00:55.560 --> 00:00:59.160]  當時是中學的年代 數一數二十多年前
[00:00:59.160 --> 00:01:01.280]  剛剛開始讀中學回到教會
[00:01:01.280 --> 00:01:03.560]  回到教會在團契裡面
[00:01:03.560 --> 00:01:05.480]  突然有個導師出來說
[00:01:05.480 --> 00:01:08.320]  各位團友 我們要奉獻了
[00:01:08.320 --> 00:01:10.280]  我第一次回去又不知道發生什麼事
[00:01:10.280 --> 00:01:11.560]  又不明白
[00:01:11.560 --> 00:01:14.480]  接著就看到有人把我的袋子傳了
[00:01:14.480 --> 00:01:15.960]  傳了一個紅色的袋子
[00:01:15.960 --> 00:01:19.760]  接著有人拿著手放在袋子里拿出來
[00:01:19.760 --> 00:01:21.120]  我又看不到他在做什麼
[00:01:21.120 --> 00:01:22.400]  傳到我那裡
[00:01:22.400 --> 00:01:23.480]  我又不知道在做什麼
[00:01:23.480 --> 00:01:25.600]  拿著袋子把手傳了出來
[00:01:25.600 --> 00:01:26.840]  其實也不知道在做什麼
[00:01:26.840 --> 00:01:28.480]  究竟在做什麼呢 不知道
[00:01:28.480 --> 00:01:30.880]  因為你根本就完全不明白 沒有人說
[00:01:30.880 --> 00:01:32.320]  我只看到有人拿著袋子
[00:01:32.320 --> 00:01:34.040]  拿著手傳了出來
[00:01:34.040 --> 00:01:34.840]  就是這麼多了
[00:01:34.840 --> 00:01:36.560]  好像變魔術一樣
[00:01:36.560 --> 00:01:38.920]  如是者過了一個兩個
[00:01:38.920 --> 00:01:40.360]  我印象不清過了多少個禮拜
[00:01:40.360 --> 00:01:41.480]  可能過了三四個禮拜
[00:01:41.480 --> 00:01:42.840]  有一次我裝到
[00:01:42.840 --> 00:01:43.920]  還有聽到
[00:01:43.920 --> 00:01:44.840]  咦 有聲音
[00:01:44.840 --> 00:01:46.440]  即是有人扔東西進去
[00:01:46.440 --> 00:01:47.760]  即是放東西進去
[00:01:47.760 --> 00:01:48.600]  接著我裝到
[00:01:48.600 --> 00:01:50.800]  咦 有人拿袋子找錢
[00:01:50.800 --> 00:01:53.520]  哦 原來奉獻是要給錢進去的
