
[00:00:00.000 --> 00:00:03.120]  好的,我們先低頭禱告
[00:00:03.120 --> 00:00:09.560]  上帝願祢自己親自臨在我們當中
[00:00:09.560 --> 00:00:12.400]  從剛才的敬拜
[00:00:12.400 --> 00:00:16.200]  現在聽到的敬拜
[00:00:16.200 --> 00:00:20.520]  和待會弟兄姊妹回應的敬拜
[00:00:20.520 --> 00:00:22.200]  我可以肯定
[00:00:22.200 --> 00:00:24.480]  祢的靈真的已經臨在
[00:00:26.600 --> 00:00:30.200]  神啊,求祢讓我們真的回顧過去
[00:00:30.200 --> 00:00:35.200]  懂得怎樣去回顧,怎樣去訂正在祢的身上
[00:00:35.200 --> 00:00:40.680]  又懂得用甚麼心態,用甚麼眼光
[00:00:40.680 --> 00:00:44.480]  我們向前望
[00:00:44.480 --> 00:00:48.800]  多謝上帝,多謝祢聽我們的祈禱
[00:00:48.800 --> 00:00:53.320]  祈禱祢奉基督耶穌的名,阿們
[00:00:53.920 --> 00:00:58.360]  第九章我先承一節三十八節
[00:00:58.360 --> 00:01:02.880]  和大家看看,其實我都是分開三點的大綱
[00:01:02.880 --> 00:01:05.120]  大家一看就會看到
[00:01:05.120 --> 00:01:12.880]  第一點就是訂正上帝稱頌主的恩
[00:01:12.880 --> 00:01:17.400]  訂正上帝稱頌主的恩,這是第一點
[00:01:17.400 --> 00:01:22.640]  第二點是檢視靈命,靜思己過
[00:01:23.080 --> 00:01:29.160]  好像說到,是不是檢視靈命就一定要靜思己過呢?
[00:01:29.160 --> 00:01:30.760]  我們一會兒會再說
[00:01:30.760 --> 00:01:36.000]  第三,著眼未來,重新立志
[00:01:36.000 --> 00:01:40.840]  第三,著眼未來,重新立志
[00:01:40.840 --> 00:01:44.640]  我和大家看看今天的經文
[00:01:44.640 --> 00:01:50.080]  首先第一點就是訂正上帝稱頌主的恩
[00:01:50.280 --> 00:01:56.200]  這裡有十五節的聖經,一至十五節
[00:01:56.200 --> 00:01:58.440]  是屬於第一個點的
[00:01:58.440 --> 00:02:05.440]  在十五節裡頭,其實是說當時第九章
[00:02:05.440 --> 00:02:08.840]  如果大家記得上年我們看過《尼西米記》
[00:02:08.840 --> 00:02:15.160]  第九章的時候,已經是以色列人重建了城牆
[00:02:15.160 --> 00:02:18.240]  以色列人重建了城牆
[00:02:18.240 --> 00:02:23.600]  當時他們在第八章過完鑄鵬節
[00:02:23.600 --> 00:02:28.200]  鑄鵬節是七月十五日至二十二日
[00:02:28.200 --> 00:02:30.000]  這是猶太的曆
[00:02:30.000 --> 00:02:34.520]  也是相等於西曆的十至十一月
[00:02:34.520 --> 00:02:39.680]  而第九章其實是完了鑄鵬節
[00:02:39.960 --> 00:02:48.680]  一至五節裡的引言的部分是說到七月二十四日
[00:02:48.680 --> 00:02:50.320]  是隔了一天的
[00:02:50.320 --> 00:02:56.160]  當時他們來到會場,來到廣場裡
[00:02:56.160 --> 00:03:00.480]  他們一起思想上帝的律法
[00:03:00.480 --> 00:03:05.600]  他們一起追述上帝過去怎樣對待他們
[00:03:05.600 --> 00:03:07.440]  怎樣對待以色列人
[00:03:07.440 --> 00:03:13.440]  他們一起在上帝面前認罪、立約
[00:03:13.440 --> 00:03:20.480]  這是經文第九章的背景
[00:03:20.480 --> 00:03:26.640]  而一至五節的引言過了之後
[00:03:26.640 --> 00:03:28.520]  大家看到六至八節
[00:03:28.520 --> 00:03:31.480]  六至八節是在說甚麼呢?
[00:03:31.480 --> 00:03:33.680]  是在說他們稱頌上帝
[00:03:33.680 --> 00:03:35.160]  他們讚美上帝
[00:03:35.160 --> 00:03:36.480]  回顧過去
