
[00:00:00.000 --> 00:00:04.440]  我們在三月份會講完《撒慕爾記下》
[00:00:04.440 --> 00:00:07.360]  接著我們會回到新約看耶穌的生平
[00:00:07.360 --> 00:00:09.440]  我們在《撒慕爾記下》
[00:00:09.440 --> 00:00:12.160]  今天會講了三個不同人物
[00:00:12.160 --> 00:00:14.560]  是非常複雜的一個過程
[00:00:14.560 --> 00:00:16.280]  但和你旁邊的觀眾說一聲
[00:00:16.280 --> 00:00:18.640]  你的抉擇是影響你的一生的
[00:00:18.640 --> 00:00:22.520]  這三個人物包括了
[00:00:22.520 --> 00:00:25.720]  都是在大衛家族裏面的成員
[00:00:25.720 --> 00:00:27.720]  第一個人叫做暗聯
[00:00:27.720 --> 00:00:29.800]  在《撒慕爾記下》十三章第一節
[00:00:29.800 --> 00:00:31.240]  大衛的兒子阿沙隆
[00:00:31.240 --> 00:00:34.640]  有一個美貌的妹子叫做他馬
[00:00:34.640 --> 00:00:38.200]  其實大王朝裏面
[00:00:38.200 --> 00:00:42.720]  阿沙隆和他馬是同父同母所生的
[00:00:42.720 --> 00:00:47.400]  他們兩個遺傳了的不是大衛的晉美那麼簡單
[00:00:47.400 --> 00:00:49.720]  應該都是遺傳了他媽媽也很漂亮
[00:00:49.720 --> 00:00:50.880]  所以兩個都很漂亮
[00:00:50.880 --> 00:00:52.400]  我們一會兒講下去就知道
[00:00:52.400 --> 00:00:54.280]  阿沙隆是一個漂亮到不得了的人
[00:00:54.280 --> 00:00:56.160]  他妹妹他馬也很漂亮
[00:00:56.160 --> 00:01:00.080]  但一個同父異母所生的暗聯
[00:01:00.080 --> 00:01:02.400]  就暗戀了他媽媽
[00:01:02.400 --> 00:01:05.080]  很複雜
[00:01:05.080 --> 00:01:08.800]  同父異母的哥哥暗戀了妹妹他媽媽
[00:01:08.800 --> 00:01:10.800]  在超思夢想
[00:01:10.800 --> 00:01:12.360]  希望親近他媽媽
[00:01:12.360 --> 00:01:15.880]  在有一個人的獻祭下
[00:01:15.880 --> 00:01:17.840]  就私行計謀
[00:01:17.840 --> 00:01:21.640]  導致他媽媽暗戀
[00:01:21.640 --> 00:01:24.320]  說自己病得很嚴重
[00:01:24.320 --> 00:01:28.160]  就需要他媽媽來到她的寢室裏面去侍候她
[00:01:28.160 --> 00:01:32.000]  藉著他媽媽侍候她的機會
[00:01:32.000 --> 00:01:37.600]  暗戀悉心盡喜強姦了他妹妹
[00:01:37.600 --> 00:01:41.440]  當他要強姦妹妹之前
[00:01:41.440 --> 00:01:42.880]  他媽媽就跟他說
[00:01:42.880 --> 00:01:46.200]  我哥哥不要玷污我以色列人當中不當者用行
[00:01:46.200 --> 00:01:48.120]  你不要作者醜事
[00:01:48.120 --> 00:01:49.480]  你玷污了我
[00:01:49.480 --> 00:01:52.120]  我何以掩蓋我的羞恥呢
[00:01:52.120 --> 00:01:54.480]  你作者以色列人當中也成為了漁網人
[00:01:54.480 --> 00:01:55.600]  你可以求王
[00:01:55.600 --> 00:01:57.520]  他必不禁止我歸你
[00:01:57.520 --> 00:01:58.200]  當然了
[00:01:58.200 --> 00:02:00.600]  這裏是他媽媽一個權宜之計
[00:02:00.600 --> 00:02:01.480]  大家都明白
[00:02:01.480 --> 00:02:03.280]  雖然她這樣說
[00:02:03.280 --> 00:02:07.120]  但其實明眼人都知道大衛王怎會容許
[00:02:07.120 --> 00:02:10.120]  在他自己的王室裏面
[00:02:10.120 --> 00:02:13.320]  同父異母的兩兄妹結婚
[00:02:13.320 --> 00:02:15.320]  某程度上是一種戀論
[00:02:15.320 --> 00:02:18.800]  但是在這個危急的關頭
[00:02:18.800 --> 00:02:21.000]  他媽媽就盡量用這個方法
[00:02:21.000 --> 00:02:24.480]  希望可以令到暗戀不要做錯事
[00:02:24.480 --> 00:02:26.000]  但是結果是怎樣呢
[00:02:26.000 --> 00:02:28.200]  暗戀就不肯聽她的話
[00:02:28.200 --> 00:02:30.720]  因比她力大就玷污了她
[00:02:30.720 --> 00:02:31.960]  與她同寢
[00:02:31.960 --> 00:02:34.400]  侵犯了他媽媽之後
[00:02:34.400 --> 00:02:35.840]  在聖經裏面的記載
[00:02:35.840 --> 00:02:37.080]  你讀下去就不太明白
[00:02:37.080 --> 00:02:38.280]  究竟發生什麼事
[00:02:38.280 --> 00:02:40.840]  因為似乎真的沒有怎麼交代
[00:02:40.840 --> 00:02:42.680]  十五節和十七節裏面
[00:02:42.680 --> 00:02:45.240]  他隨後暗戀極其恨她
[00:02:45.240 --> 00:02:48.680]  那恨她的心比先前愛她的心更甚
[00:02:48.680 --> 00:02:51.120]  就跟她說你起來去吧
[00:02:51.120 --> 00:02:53.400]  我們難以想像
[00:02:53.400 --> 00:02:57.280]  他一個這麼愛這個妹妹
[00:02:57.280 --> 00:02:59.520]  單戀暗戀這個妹妹這麼久
[00:02:59.520 --> 00:03:02.440]  想盡千方百計想親近她
[00:03:02.440 --> 00:03:05.440]  甚至乎是犯下彌天大罪
[00:03:05.440 --> 00:03:07.840]  都去做這件事情
[00:03:07.840 --> 00:03:09.040]  起碼你說
[00:03:09.040 --> 00:03:12.280]  發生了性行為之後
[00:03:12.280 --> 00:03:15.440]  她不喜歡他媽媽我們都理解
[00:03:15.440 --> 00:03:22.680]  但竟然恨他比先前愛她的那種程度更甚
[00:03:22.680 --> 00:03:24.040]  很難想像
[00:03:24.040 --> 00:03:26.440]  我們無法明白究竟發生什麼事
[00:03:26.440 --> 00:03:29.320]  經文就是這麼多
[00:03:29.320 --> 00:03:33.200]  沒有再多一點經文讓我們了解發生什麼事情
[00:03:33.200 --> 00:03:36.040]  一會兒我會交代究竟發生什麼事
