
[00:00:00.000 --> 00:00:04.400]  第二部份講述信仰基本功
[00:00:04.400 --> 00:00:07.680]  耶穌登山寶訓中告訴我們
[00:00:07.680 --> 00:00:10.560]  信仰基本要學甚麼呢?
[00:00:10.560 --> 00:00:14.400]  今天我們講到一個題目叫「誠信幾錢斤」
[00:00:14.400 --> 00:00:19.440]  白話是誠信何價
[00:00:19.440 --> 00:00:20.960]  但我們講廣東話
[00:00:20.960 --> 00:00:23.600]  我長大人們經常都問這個問題
[00:00:23.600 --> 00:00:24.640]  「幾錢斤」
[00:00:24.640 --> 00:00:27.120]  我們看看「誠信幾錢斤」
[00:00:27.120 --> 00:00:30.720]  馬太福音五章33至37節
[00:00:30.720 --> 00:00:32.160]  聖經裡怎樣說呢?
[00:00:32.160 --> 00:00:33.600]  和修本的經文
[00:00:33.600 --> 00:00:35.360]  聖經說你們有聽見
[00:00:35.360 --> 00:00:37.760]  有對古人說不可背誓
[00:00:37.760 --> 00:00:40.480]  所起的誓總要向主謹守
[00:00:40.480 --> 00:00:41.920]  但是我告訴你們
[00:00:41.920 --> 00:00:43.440]  甚麼誓都不可起
[00:00:43.440 --> 00:00:44.640]  不可指著天起誓
[00:00:44.640 --> 00:00:46.480]  因為天是神的寶座
[00:00:46.480 --> 00:00:48.000]  不可指著地起誓
[00:00:48.000 --> 00:00:49.760]  因為地是他的腳凳
[00:00:49.760 --> 00:00:51.920]  也不可指著耶路撒冷起誓
[00:00:51.920 --> 00:00:55.680]  因為耶路撒冷是大君王的京城
[00:00:55.680 --> 00:00:58.320]  不可指著你的頭起誓
[00:00:58.320 --> 00:01:02.400]  因你不能使一根頭髮變黑變白
[00:01:02.400 --> 00:01:04.880]  你明的說是就說是
[00:01:04.880 --> 00:01:06.480]  不是就說不是
[00:01:06.480 --> 00:01:11.280]  若再多說就是出於那惡者
[00:01:11.280 --> 00:01:13.920]  耶穌基督律這個巡迴的廣章
[00:01:13.920 --> 00:01:15.600]  有些學者說它是一個巡迴的廣章
[00:01:15.600 --> 00:01:18.400]  一開始就告訴我們八幅
[00:01:18.400 --> 00:01:19.920]  然後告訴我們
[00:01:19.920 --> 00:01:22.720]  今天我們基督徒在地上
[00:01:22.720 --> 00:01:26.320]  不是單單主日回來崇拜
[00:01:26.320 --> 00:01:27.920]  如果你今天做基督徒
[00:01:27.920 --> 00:01:29.760]  只是主日回來崇拜
[00:01:29.760 --> 00:01:31.200]  那我想告訴你就是
[00:01:31.200 --> 00:01:32.720]  將來你要永恆地
[00:01:32.720 --> 00:01:34.000]  每一分每一秒
[00:01:34.000 --> 00:01:35.760]  在天堂裡都可以敬拜
[00:01:35.760 --> 00:01:37.920]  何須只在地上
[00:01:37.920 --> 00:01:39.520]  一個星期回來一次
[00:01:39.520 --> 00:01:41.440]  你當然在地上有些事要去做
[00:01:41.440 --> 00:01:44.240]  上帝當然叫我們要作鹽作光
[00:01:44.240 --> 00:01:45.440]  我們上次說了
[00:01:45.440 --> 00:01:46.880]  在作鹽作光裡面
[00:01:46.880 --> 00:01:50.560]  耶穌就是將地上基督徒的身份
[00:01:50.560 --> 00:01:54.720]  再一次的逐些主題這樣跟我們分享
[00:01:54.720 --> 00:01:57.280]  就是同人之間的交往
[00:01:57.280 --> 00:01:58.240]  同人之間的
[00:01:58.240 --> 00:02:01.120]  因為我們要活在人群當中
[00:02:01.120 --> 00:02:04.720]  今天有一個很重要的主題叫「誠信」
[00:02:04.720 --> 00:02:05.520]  其實我們說到
[00:02:05.520 --> 00:02:07.680]  不單止說到發誓
[00:02:07.680 --> 00:02:09.760]  發誓裡面後面
[00:02:09.760 --> 00:02:12.800]  有一個很重要的主題叫「誠信」
[00:02:12.800 --> 00:02:15.760]  今年是年初的時候
[00:02:15.760 --> 00:02:20.880]  剛剛新的美國國會的眾議員上任
[00:02:20.880 --> 00:02:23.520]  就出現了一個所謂的鬧劇
[00:02:23.520 --> 00:02:27.120]  就發現當中有一個眾議員
[00:02:27.120 --> 00:02:30.880]  就是紐約州的眾議員
[00:02:30.880 --> 00:02:33.760]  就被發現虛假
[00:02:33.760 --> 00:02:36.000]  我們說的叫做「老作」
