
[00:00:00.000 --> 00:00:02.000]  好,那我們一起祈禱吧
[00:00:02.000 --> 00:00:04.000]  好,親愛的主我們去感謝祢
[00:00:04.000 --> 00:00:06.000]  讓我們在寒冷的日子,因為我們的聚集
[00:00:06.000 --> 00:00:09.000]  我們感覺到我們主裡面的溫暖
[00:00:09.000 --> 00:00:10.000]  我們感謝祢
[00:00:10.000 --> 00:00:15.000]  原主祢也繼續同樣用祢的話語去溫暖我們,去火熱我們
[00:00:15.000 --> 00:00:20.000]  以在我們生命裡面真的能夠去面對一切的挑戰
[00:00:20.000 --> 00:00:24.000]  原主祢幫助我們,帶領我們一起思考祢說話的時間
[00:00:24.000 --> 00:00:27.000]  祈禱奉耶穌名字而求,阿們
[00:00:27.000 --> 00:00:31.000]  今天選了一個題目,叫有食唔食最大惡極
[00:00:31.000 --> 00:00:33.000]  是一個問號來的
[00:00:33.000 --> 00:00:38.000]  也有些挑戰,因為現在我發現原來我的網上說到
[00:00:38.000 --> 00:00:41.000]  在香港的網站裡面是可以聽的
[00:00:41.000 --> 00:00:43.000]  也有一群人聽的
[00:00:43.000 --> 00:00:47.000]  所以我應該回香港的時候也很糟糕
[00:00:47.000 --> 00:00:49.000]  可能很多人說,哇,你說什麼
[00:00:49.000 --> 00:00:51.000]  所以要謹慎言語
[00:00:51.000 --> 00:00:54.000]  好,今天和大家思考這個問題的時候
[00:00:54.000 --> 00:00:59.000]  當說到有食唔食最大惡極,當然就是說有很多東西吃
[00:00:59.000 --> 00:01:02.000]  事實上我聽很多弟兄姊妹
[00:01:02.000 --> 00:01:07.000]  來到科華達,最便宜的美食應該都是去吃自助餐
[00:01:07.000 --> 00:01:09.000]  不知道是不是
[00:01:09.000 --> 00:01:14.000]  我看到科華達吃自助餐,十多塊都已經有一餐任吃
[00:01:14.000 --> 00:01:17.000]  當你們上船的時候,經常都上船玩
[00:01:17.000 --> 00:01:21.000]  上船玩的時候,又是任吃的
[00:01:21.000 --> 00:01:24.000]  經常都說好便宜呀,好便宜呀上船
[00:01:24.000 --> 00:01:26.000]  因為任吃,吃,吃,吃,吃
[00:01:26.000 --> 00:01:28.000]  有空又吃,有空又吃
[00:01:28.000 --> 00:01:30.000]  不吃就是吃虧了
[00:01:30.000 --> 00:01:33.000]  所以有很多美食放在面前
[00:01:33.000 --> 00:01:38.000]  究竟我們是不是就要一直吃,吃,吃,吃,吃呢
[00:01:38.000 --> 00:01:42.000]  當然事實上我們真的要珍惜食物
[00:01:42.000 --> 00:01:46.000]  因為根據一個研究報告
