
[00:00:00.000 --> 00:00:07.000]  在過去一年裏,我們用很多時間和大家思想到耶穌在地上所行的神蹟
[00:00:07.000 --> 00:00:15.000]  在一年開始的時候,我們在神的面前等候,究竟應該傳講什麼信息呢?
[00:00:15.000 --> 00:00:25.000]  當我在這方面思想的時候,我思想到我們今天行走在一個很艱難的世代裏面
[00:00:25.000 --> 00:00:29.000]  社會有很多問題,可能我們家庭裏面也有很多問題
[00:00:29.000 --> 00:00:34.000]  我們個人的事業有問題,我們的學業有問題
[00:00:34.000 --> 00:00:40.000]  在眾多的困難,甚至是苦難裏面,我們所需要的是什麼呢?
[00:00:40.000 --> 00:00:44.000]  我們所需要的是聖經所講的那種喜樂
[00:00:44.000 --> 00:00:47.000]  因為聖經的喜樂不受環境的影響
[00:00:47.000 --> 00:00:51.000]  在無論什麼環境裏面,我們都可以得到喜樂
[00:00:51.000 --> 00:00:56.000]  而在聖經裏面,最出名關於喜樂的一本書
[00:00:56.000 --> 00:01:00.000]  大家都知道,就是新約裏面的《肥立比書》
[00:01:00.000 --> 00:01:07.000]  所以今年是願意和大家思考這本書
[00:01:07.000 --> 00:01:11.000]  用這本書教導我們,在無論什麼環境裏面
[00:01:11.000 --> 00:01:19.000]  我們都能夠切實地在神的裏面得到真正從救恩而來的那種喜樂
[00:01:19.000 --> 00:01:27.000]  願我們今年每一個人都在主的裏面,過著滿有喜樂的人生
[00:01:27.000 --> 00:01:31.000]  願我們的喜樂能夠感染我們周圍的人
[00:01:31.000 --> 00:01:36.000]  我們家人,我們的同事,我們的同學,我們工廠裏面的人
[00:01:36.000 --> 00:01:43.000]  讓人因為我們的喜樂,去得著救恩那種的喜樂
[00:01:43.000 --> 00:01:56.000]  新約聖經被一些專家譽為世界上最歡欣、最興奮和最喜樂的一本書
[00:01:56.000 --> 00:02:03.000]  當然舊約也是,舊約有很多其他的事情要和我們交代
[00:02:03.000 --> 00:02:08.000]  無論如何,整本聖經都是一本關於喜樂的書
[00:02:08.000 --> 00:02:13.000]  在新約裏面一共有三百二十六次提到喜樂
[00:02:13.000 --> 00:02:16.000]  而整本聖經有四百次提到喜樂
[00:02:16.000 --> 00:02:21.000]  不是說聖經提到喜樂這些字眼的時候,才說到喜樂
[00:02:21.000 --> 00:02:29.000]  聖經還在很多的情景裏面,沒有用這個喜樂的名詞
[00:02:29.000 --> 00:02:36.000]  但是在這些情景裏面,教導我們怎樣來得到這個喜樂
[00:02:36.000 --> 00:02:41.000]  所以整本聖經有四百次,特別在字眼方面提到喜樂
[00:02:41.000 --> 00:02:46.000]  而菲律賓書就有十九次提到喜樂
[00:02:46.000 --> 00:02:51.000]  而大家讀菲律賓書的時候,知道保羅寫這本書的時候
[00:02:51.000 --> 00:02:55.000]  他正在羅馬坐牢
[00:02:55.000 --> 00:03:01.000]  他前面是生是死,他都不知道
[00:03:01.000 --> 00:03:06.000]  但是在這樣的情況裏面,一個被軟禁,一個坐牢的人
[00:03:06.000 --> 00:03:12.000]  他卻是寫一本滿有喜樂的書
[00:03:12.000 --> 00:03:17.000]  所以我們進入菲律賓書之前,想和大家思想到
[00:03:17.000 --> 00:03:22.000]  究竟聖經這個喜樂是怎樣講呢?
[00:03:22.000 --> 00:03:25.000]  甚麼是聖經所講的喜樂呢?
[00:03:25.000 --> 00:03:31.000]  和我們世俗所講的快樂、愉快,這種感覺是否相同呢?
[00:03:31.000 --> 00:03:37.000]  和我們在世俗上所講的幸福的人生是否一樣呢?
[00:03:37.000 --> 00:03:41.000]  我告訴大家,如果我們仔細去研究聖經的時候
[00:03:41.000 --> 00:03:50.000]  聖經的喜樂不就是我們感官刺激所帶來的那種快樂
[00:03:50.000 --> 00:03:59.000]  亦都不是我們所享有的所謂幸福的人生,那種所謂的幸福
[00:03:59.000 --> 00:04:04.000]  聖經講到神是喜樂的源頭
[00:04:04.000 --> 00:04:07.000]  所以尼西米記第八章第十節講到
[00:04:07.000 --> 00:04:14.000]  依靠耶和華的喜樂是力量的源頭
[00:04:14.000 --> 00:04:16.000]  我們沒有喜樂,我們沒有力量
[00:04:16.000 --> 00:04:24.000]  當我們有喜樂的時候,我們有能力去面對一切逆境、一切困難、一切人生的挑戰
[00:04:24.000 --> 00:04:27.000]  所以我們很需要這個喜樂
[00:04:27.000 --> 00:04:30.000]  而聖經說這個喜樂的源頭是我們的神
[00:04:30.000 --> 00:04:38.000]  依靠耶和華的喜樂,就是說從神而來的喜樂是力量的源頭
[00:04:38.000 --> 00:04:45.000]  然後神藉著甚麼帶來給我們在這個世界上有贖祂的那種喜樂呢?
[00:04:45.000 --> 00:04:54.000]  就是藉著耶穌基督的福音帶來給我們有真正的從天上而來的那種喜樂
[00:04:54.000 --> 00:05:00.000]  所以當耶穌在伯利恆出世的時候,天使報佳音
[00:05:00.000 --> 00:05:03.000]  我們大家都知道,很熟悉的,祂怎樣說呢?
[00:05:03.000 --> 00:05:11.000]  「我報給你們大喜的訊息,是關乎萬民的
[00:05:11.000 --> 00:05:18.000]  因今天在大衛的成侶,為你們生了救主,就是主基督」
[00:05:18.000 --> 00:05:23.000]  耶穌的降生帶來給我們救恩
[00:05:23.000 --> 00:05:28.000]  所以耶穌降生是一個大喜的訊息,是關乎萬民的
[00:05:28.000 --> 00:05:31.000]  是關乎你,是關乎我的
[00:05:31.000 --> 00:05:38.000]  所以救恩帶來給我們有真正屬天的那種喜樂
[00:05:38.000 --> 00:05:42.000]  聖經中的喜樂,首先是我們剛才提到的
[00:05:42.000 --> 00:05:49.000]  不是感官刺激所帶來的那種快樂的感覺
[00:05:49.000 --> 00:05:52.000]  那些是暫時的
[00:05:52.000 --> 00:05:58.000]  有甚麼感官的刺激帶來給你暫時的那種快樂的情緒
[00:05:58.000 --> 00:06:02.000]  隨著這些感官的刺激停了的時候
[00:06:02.000 --> 00:06:04.000]  你就不會有快樂
[00:06:04.000 --> 00:06:08.000]  你就回到原來那種情況裏面
[00:06:08.000 --> 00:06:12.000]  年輕人如果不開心的時候
[00:06:12.000 --> 00:06:14.000]  生活很悶的時候
[00:06:14.000 --> 00:06:18.000]  他就拿個遊戲機來玩一下
[00:06:18.000 --> 00:06:21.000]  那些遊戲機帶來給他感官上的刺激
