
[00:00:00.000 --> 00:00:02.600]  今日同大家講呢個主題呢都係熟識嘅
[00:00:02.600 --> 00:00:06.380]  我一月嚟嘅時候呢同大家講咗個主題嘅
[00:00:06.380 --> 00:00:08.980]  就係講關於尼希米嘅禱告
[00:00:08.980 --> 00:00:12.540]  咁呢就嗰日就匆匆忙忙講唔曬
[00:00:12.540 --> 00:00:14.920]  咁我好想再講關於禱告嘅事
[00:00:14.920 --> 00:00:17.600]  所以今天晚上呢同大家都係講禱告
[00:00:17.600 --> 00:00:20.920]  不過呢換一個人呢一個人呢就係亞比斯
[00:00:20.920 --> 00:00:23.400]  大家有冇聽過呢個人呀
[00:00:23.400 --> 00:00:27.060]  係咪睇過嗰本書呀竟然
[00:00:27.060 --> 00:00:30.260]  可能都睇過咯好出名呀嗰本書
[00:00:30.260 --> 00:00:34.440]  即係被認為呢亞比斯呢個禱告呢係好經典啦
[00:00:34.440 --> 00:00:40.780]  或者佢本身都有好多嘅內容可以畀我哋思想啦
[00:00:40.780 --> 00:00:44.720]  當然講係咁講啦到底係咪真係一個經典呢
[00:00:44.720 --> 00:00:48.620]  係咪真係好多嘢可以值得學呢咁我哋唔好知下
[00:00:48.620 --> 00:00:50.300]  我哋試下呢今日淨係睇經文
[00:00:50.300 --> 00:00:52.300]  睇下經文呢裏面佢講乜嘢
[00:00:52.300 --> 00:00:54.300]  咁我哋一齊禱告我哋交畀上帝
[00:00:57.340 --> 00:00:58.940]  天父我哋多謝你畀我哋今日
[00:00:58.940 --> 00:01:01.820]  我哋一齊喺聖殿裏面去敬拜你
[00:01:01.820 --> 00:01:03.900]  我願上帝你嘅靈喺我哋中間
[00:01:03.900 --> 00:01:06.260]  幫助我哋讓我哋喺生命裏面
[00:01:06.260 --> 00:01:08.020]  我哋透過你嘅話語
[00:01:08.020 --> 00:01:11.020]  我哋去被你建立
[00:01:11.020 --> 00:01:14.340]  讓我哋嘅生命喺你嘅話語裏面生根
[00:01:14.340 --> 00:01:15.700]  求主你帶動我哋
[00:01:15.700 --> 00:01:18.100]  讓聖靈引導我哋明白真理
[00:01:18.100 --> 00:01:19.340]  多謝耶穌聽我哋祈禱
[00:01:19.340 --> 00:01:20.940]  靠耶穌基督聖名
[00:01:20.940 --> 00:01:22.620]  阿們
[00:01:22.620 --> 00:01:24.700]  好講起嗰本書呢就
[00:01:24.700 --> 00:01:26.620]  話許有人睇過話許未有人睇過啦
[00:01:26.620 --> 00:01:29.580]  不過無論如何呢本書其實出咗好多年㗎啦
[00:01:29.580 --> 00:01:31.420]  因為講緊如果中文翻譯呢
[00:01:31.420 --> 00:01:33.140]  都講緊有廿一年
[00:01:33.140 --> 00:01:36.660]  咁啊並且呢我同基督密切啲啦
[00:01:36.660 --> 00:01:39.820]  我知道呢本書呢其實一直都係叫暢銷書嘅
[00:01:39.820 --> 00:01:43.300]  不過暢銷書係咪等同於好書呀
[00:01:43.300 --> 00:01:45.980]  大家都知啦暢銷書就唔等同好書㗎
[00:01:45.980 --> 00:01:47.300]  即係又唔係話佢唔好喎
