
[00:00:00.000 --> 00:00:04.280]  二零二一年的第一次的逐日聚會
[00:00:04.280 --> 00:00:06.980]  那麼今天我各位要講的題目叫做
[00:00:06.980 --> 00:00:09.780]  除舊不新
[00:00:09.780 --> 00:00:12.500]  就是說要把舊的要除掉
[00:00:12.500 --> 00:00:15.440]  那麼要再一次新的
[00:00:15.440 --> 00:00:20.500]  來反映我們今年二零二一年教會的意向
[00:00:20.500 --> 00:00:24.180]  積極恢復奮力更新
[00:00:24.180 --> 00:00:25.580]  不光是恢復更新
[00:00:25.580 --> 00:00:28.180]  還要積極的 還要奮力的
[00:00:28.180 --> 00:00:29.400]  好的
[00:00:29.400 --> 00:00:33.200]  所以我今天講除舊不新
[00:00:33.200 --> 00:00:36.300]  也是 正好是過年
[00:00:36.300 --> 00:00:38.100]  新年
[00:00:38.100 --> 00:00:40.300]  新年有新年的傳統
[00:00:40.300 --> 00:00:43.200]  等一下我會跟各位分享一下
[00:00:43.200 --> 00:00:45.000]  然後我會講到
[00:00:45.000 --> 00:00:48.100]  我們舊人是什麼樣子
[00:00:48.100 --> 00:00:50.600]  什麼舊人的舊的樣子
[00:00:50.600 --> 00:00:53.900]  然後新人有新的樣子
[00:00:53.900 --> 00:00:57.700]  甚至於新舊之間會相爭
[00:00:57.700 --> 00:01:02.200]  最後我們要來除舊不新
[00:01:02.200 --> 00:01:04.000]  我要跟各位有一個結論
[00:01:04.000 --> 00:01:08.100]  就是說我們過新年迎新歲
[00:01:08.100 --> 00:01:10.100]  天官賜福
[00:01:10.100 --> 00:01:15.300]  天官就是上蒼上帝
[00:01:15.300 --> 00:01:18.100]  這是我們中國人傳統是這麼說的
[00:01:18.100 --> 00:01:21.200]  感謝神 讚美神
[00:01:21.200 --> 00:01:24.700]  好的 所以我們要來除舊不新
[00:01:24.700 --> 00:01:28.700]  我們新年的傳統
[00:01:28.700 --> 00:01:32.200]  是一般我們都要怎麼樣
[00:01:32.200 --> 00:01:34.300]  大掃除
[00:01:34.300 --> 00:01:35.300]  今年沒有
[00:01:35.300 --> 00:01:37.400]  其實我們前幾年都有
[00:01:37.400 --> 00:01:40.200]  我記得我以前在小時候
[00:01:40.200 --> 00:01:43.000]  我最喜歡新年大掃除
[00:01:43.000 --> 00:01:45.500]  因為真的就要拿壓歲錢了
[00:01:45.500 --> 00:01:46.500]  是不是
[00:01:46.500 --> 00:01:50.700]  或者是我們農曆的新年
[00:01:50.700 --> 00:01:52.100]  當然了
[00:01:52.100 --> 00:01:53.200]  大掃除的時候
[00:01:53.200 --> 00:01:55.500]  家裡面有很多東西可以丟
[00:01:55.500 --> 00:01:57.400]  可以清 可以掃的
[00:01:57.400 --> 00:01:59.600]  都要弄乾淨
[00:01:59.600 --> 00:02:03.200]  我們要迎接一個新的年
[00:02:03.200 --> 00:02:07.100]  你知道在周朝以前
[00:02:07.100 --> 00:02:10.900]  它不叫年 它叫歲
[00:02:10.900 --> 00:02:15.700]  所以我們會講說年歲年歲
[00:02:15.700 --> 00:02:19.600]  周朝以後才叫做年的
[00:02:19.600 --> 00:02:22.200]  所以我們除夕晚會的時候
[00:02:22.200 --> 00:02:26.100]  我們會恭喜人家
[00:02:26.100 --> 00:02:28.800]  新春或者是新年
[00:02:28.800 --> 00:02:31.500]  或者是歲歲平安
[00:02:31.500 --> 00:02:34.600]  剛才我們看的西雅圖太空
[00:02:34.600 --> 00:02:38.100]  真的虛擬的煙火秀
[00:02:38.100 --> 00:02:40.800]  真的想到科技越來越發達了
[00:02:40.800 --> 00:02:43.600]  真的誰知道這通通是假的
[00:02:43.600 --> 00:02:46.600]  但是在那裡看得非常的美麗
[00:02:46.600 --> 00:02:48.000]  是吧
[00:02:48.000 --> 00:02:50.600]  我們也記得我們新年的時候
[00:02:50.600 --> 00:02:52.300]  我們有新年的歌
[00:02:52.300 --> 00:02:54.500]  新年到 新年到
[00:02:54.500 --> 00:02:57.700]  穿新衣 戴新帽
[00:02:57.700 --> 00:03:00.200]  全部都要新的
[00:03:00.200 --> 00:03:02.200]  我過年也都是新的
[00:03:02.200 --> 00:03:05.000]  但是不能講是真正是新的
[00:03:05.000 --> 00:03:10.500]  因為我上面有五個 四個兄弟姐妹
[00:03:10.500 --> 00:03:12.000]  所以他們舊的東西
[00:03:12.000 --> 00:03:14.200]  都變成我的新的東西了
[00:03:14.200 --> 00:03:15.400]  感謝神
[00:03:15.400 --> 00:03:17.000]  新年到 新年到
[00:03:17.000 --> 00:03:20.200]  穿新衣 戴新帽
[00:03:20.200 --> 00:03:23.600]  還有傳統上各國的領袖
[00:03:23.600 --> 00:03:27.000]  都要發表新年的宣言
[00:03:27.000 --> 00:03:30.900]  宣告關於這個新到的一年
[00:03:30.900 --> 00:03:33.100]  這個國家的方針
[00:03:33.100 --> 00:03:34.400]  國家的方向
[00:03:34.400 --> 00:03:37.100]  國家的意向等
[00:03:37.100 --> 00:03:39.500]  當然我們教會也有了
[00:03:39.500 --> 00:03:43.200]  就是積極恢復奮力更新
[00:03:43.200 --> 00:03:47.000]  還有我們的跨年禱告會
[00:03:47.000 --> 00:03:48.900]  剛才師母也說了
[00:03:48.900 --> 00:03:51.900]  外面都有 我們自己也有
[00:03:51.900 --> 00:03:53.500]  我們自己也有
[00:03:53.500 --> 00:03:55.500]  大家在一起弟兄姐妹
[00:03:55.500 --> 00:03:57.800]  為過去的2020年
[00:03:57.800 --> 00:04:00.800]  舊的年獻上感恩
[00:04:00.800 --> 00:04:06.000]  為新的一年 2021年也獻上感恩
[00:04:06.000 --> 00:04:10.500]  也寓作祝福求神賜福給我們
[00:04:10.500 --> 00:04:13.800]  當然這是我們跨年禱告會
[00:04:13.800 --> 00:04:16.400]  我們照的一張相片
[00:04:16.400 --> 00:04:20.900]  茶飲沒照到 還有一兩位沒有
[00:04:20.900 --> 00:04:22.700]  沒有露出真容
[00:04:22.700 --> 00:04:25.000]  或者是一時照相的時候
[00:04:25.000 --> 00:04:27.300]  他沒有出現在中間
[00:04:27.300 --> 00:04:29.700]  但是感謝神讚美神
[00:04:29.700 --> 00:04:31.400]  看到我們
[00:04:31.400 --> 00:04:35.200]  這是過了新年
[00:04:35.200 --> 00:04:40.300]  就是大概是凌晨一兩分鐘的時候
[00:04:40.300 --> 00:04:42.000]  我們照的相片
[00:04:42.000 --> 00:04:42.700]  感謝神
[00:04:42.700 --> 00:04:46.900]  包括我們的Lucy跟River也在那裡
[00:04:46.900 --> 00:04:49.000]  是的 哈雷洛亞
[00:04:49.000 --> 00:04:50.300]  大家都很快樂
[00:04:50.300 --> 00:04:51.200]  都很高興
[00:04:51.200 --> 00:04:52.700]  我們的新的一年
[00:04:52.700 --> 00:04:55.600]  包括我們在中國的我們的羅容
[00:04:55.600 --> 00:04:58.000]  他還舉兩個大拇指
[00:04:58.000 --> 00:05:00.100]  哈雷洛亞 讚美神
[00:05:00.100 --> 00:05:04.700]  一切榮耀歸給神
[00:05:04.700 --> 00:05:08.000]  另外還有育新香港的
[00:05:08.000 --> 00:05:12.100]  那麼我們先來講我們舊人舊樣子
[00:05:12.100 --> 00:05:14.300]  舊人是從哪裡來的
[00:05:14.300 --> 00:05:15.500]  讓我們來看一下
[00:05:15.500 --> 00:05:17.000]  創世紀二章七節
[00:05:17.000 --> 00:05:19.400]  我們來念紅的地方
[00:05:19.400 --> 00:05:24.000]  耶和華神用地上的塵土造人
[00:05:24.000 --> 00:05:27.500]  將生氣吹在他鼻孔裡
[00:05:27.500 --> 00:05:30.800]  他就成了有靈的活人
[00:05:30.800 --> 00:05:33.300]  名叫亞當
[00:05:33.300 --> 00:05:37.100]  各位你如果注意去看聖經上面
[00:05:37.100 --> 00:05:42.400]  他名叫亞當下面有點點點點點的虛線
[00:05:42.400 --> 00:05:44.800]  這是什麼意思
[00:05:44.800 --> 00:05:46.400]  在聖經裡面這個意思是說
[00:05:46.400 --> 00:05:48.500]  本來沒有這幾個字的
[00:05:48.500 --> 00:05:51.200]  後來人把它加上去了
[00:05:51.200 --> 00:05:55.000]  按照他的意思把它推加上去了
[00:05:55.000 --> 00:05:59.100]  所以那是最初神所造的
[00:05:59.100 --> 00:06:01.200]  是好的證實的
[00:06:01.200 --> 00:06:04.900]  因為在傳道書七章二十九節
[00:06:04.900 --> 00:06:10.700]  他說神造人原是正直的
[00:06:10.700 --> 00:06:11.700]  哈雷路亞
[00:06:11.700 --> 00:06:14.500]  所以我看到我們各位每一位
[00:06:14.500 --> 00:06:16.500]  原都是正直的
[00:06:16.500 --> 00:06:18.300]  都是美好的
[00:06:18.300 --> 00:06:19.700]  現在也是
[00:06:19.700 --> 00:06:21.500]  因為我們信了耶穌
[00:06:21.500 --> 00:06:24.200]  我們有祂的容美了
[00:06:24.200 --> 00:06:26.600]  所以傳道書是這樣子說
[00:06:26.600 --> 00:06:28.800]  十字那人怎麼樣
[00:06:28.800 --> 00:06:30.200]  聽信了蛇
[00:06:30.200 --> 00:06:31.900]  吃了禁果
[00:06:31.900 --> 00:06:35.300]  結果情欲勝過了聖靈
[00:06:35.300 --> 00:06:37.700]  勝過了神的帶領
[00:06:37.700 --> 00:06:40.900]  違背了神的旨意
[00:06:40.900 --> 00:06:42.800]  我常常喜歡講就是說
[00:06:42.800 --> 00:06:45.900]  我們人有三個罩門過不去
[00:06:45.900 --> 00:06:47.400]  肉體的軟弱
[00:06:47.400 --> 00:06:49.000]  眼目的情欲
[00:06:49.000 --> 00:06:51.500]  跟精神的驕傲
[00:06:51.500 --> 00:06:53.700]  所以聖經上面說
[00:06:53.700 --> 00:06:55.500]  亞當跟夏娃
[00:06:55.500 --> 00:06:58.900]  看那果實悅目
[00:06:58.900 --> 00:07:00.500]  眼目的情欲
