
[00:00:00.000 --> 00:00:05.600]  感謝主可以跟大家分享這個寶貴的聖經的話語
[00:00:05.600 --> 00:00:08.500]  我們一個屬於主的人
[00:00:08.500 --> 00:00:12.700]  我們都是一個用信心來開始
[00:00:12.700 --> 00:00:17.200]  也是用信心來成全的一個人
[00:00:17.200 --> 00:00:21.400]  但是到底信心是什麼一回事
[00:00:21.400 --> 00:00:25.000]  就很多人有不同的見解
[00:00:25.000 --> 00:00:26.800]  有不同的講法
[00:00:27.200 --> 00:00:30.300]  但是在這《西伯來書第十一章》那邊
[00:00:30.300 --> 00:00:32.100]  很清楚地告訴我們
[00:00:32.100 --> 00:00:38.400]  這信心就是未見之事的那個實體
[00:00:38.400 --> 00:00:40.700]  未得的事的缺具
[00:00:40.700 --> 00:00:43.300]  或者一個缺具一個實體
[00:00:43.300 --> 00:00:46.900]  兩個常常都換來換去
[00:00:46.900 --> 00:00:49.000]  其實那個是講什麼
[00:00:49.000 --> 00:00:52.500]  那個是講沒有信心
[00:00:52.500 --> 00:00:55.400]  根本我們什麼都沒有
[00:00:55.800 --> 00:01:00.000]  沒有信心我們也不能得神的喜悅
[00:01:00.000 --> 00:01:02.000]  那信心是什麼呢
[00:01:02.000 --> 00:01:05.400]  有些人就說如果你有信心
[00:01:05.400 --> 00:01:08.400]  你就一定是要把一些東西
[00:01:08.400 --> 00:01:10.600]  想在你的腦海裏面
[00:01:10.600 --> 00:01:15.200]  然後就繼續地一筆一劃地把它劃出來
[00:01:15.200 --> 00:01:18.200]  然後你就得着了那個就是信心
[00:01:18.200 --> 00:01:21.200]  有些人是這樣的教導
[00:01:21.200 --> 00:01:22.600]  我不同意
[00:01:22.600 --> 00:01:26.500]  也有些人說信心是什麼呢
[00:01:26.500 --> 00:01:28.400]  什麼都別管
[00:01:28.400 --> 00:01:29.800]  閉起眼睛
[00:01:29.800 --> 00:01:30.800]  你信就信吧
[00:01:30.800 --> 00:01:32.600]  不信就不信
[00:01:32.600 --> 00:01:35.000]  到底這裏講的信心
[00:01:35.000 --> 00:01:37.200]  上帝所喜悅的
[00:01:37.200 --> 00:01:40.300]  我們賴以成全我們
[00:01:40.300 --> 00:01:44.200]  這個生命的那個信心是什麼
[00:01:44.200 --> 00:01:46.000]  當然我們都知道
[00:01:46.000 --> 00:01:49.700]  義人是因信得生
[00:01:49.700 --> 00:01:52.700]  我們信 信主耶穌
[00:01:52.700 --> 00:01:56.000]  我們信主耶穌到了這個世界
[00:01:56.000 --> 00:02:00.400]  我們信主耶穌是上帝至高者的兒子
[00:02:00.400 --> 00:02:04.300]  我們信主耶穌所成就的拯救是有效的
[00:02:04.300 --> 00:02:07.500]  我們信耶穌是他一定會回來
[00:02:07.500 --> 00:02:11.300]  我們信耶穌他今天在聖靈裏頭
[00:02:11.300 --> 00:02:12.700]  住在我們裏面
[00:02:12.700 --> 00:02:14.700]  他是永永遠遠
[00:02:14.700 --> 00:02:17.300]  昨天今天直到永遠
[00:02:17.300 --> 00:02:19.300]  都是不變的那一位
[00:02:19.300 --> 00:02:23.800]  我們是這樣子來相信這一位
[00:02:23.800 --> 00:02:27.600]  替我們死替我們復活
[00:02:27.600 --> 00:02:30.300]  也一定要再回來的
[00:02:30.300 --> 00:02:32.100]  榮耀的這一位主
[00:02:32.100 --> 00:02:34.500]  我們這樣子的相信
[00:02:34.500 --> 00:02:36.800]  接受他成就的一切
[00:02:36.800 --> 00:02:40.900]  我們因信就蒙神的恩惠
[00:02:40.900 --> 00:02:42.500]  耶穌所成就的
[00:02:42.500 --> 00:02:44.700]  就臨到我們的生命裏面
[00:02:44.700 --> 00:02:46.100]  對不對
[00:02:46.100 --> 00:02:47.500]  是不是
[00:02:47.500 --> 00:02:49.100]  你經驗了嗎
[00:02:49.100 --> 00:02:51.100]  你經驗過了
[00:02:51.100 --> 00:02:53.300]  也繼續地經驗着
[00:02:53.300 --> 00:02:55.700]  感謝讚美主
[00:02:55.700 --> 00:02:58.700]  但我們忽略一件事情
