
[00:00:00.000 --> 00:00:02.180]  好 各位弟兄姊妹平安
[00:00:02.180 --> 00:00:05.540]  很感恩再一次有機會在這裏
[00:00:05.540 --> 00:00:08.260]  跟大家分享神的說話
[00:00:08.260 --> 00:00:14.320]  今天我揀選的經文就在《文數記》的第十章
[00:00:14.320 --> 00:00:17.400]  我首先想問大家一個問題
[00:00:17.400 --> 00:00:22.680]  從西乃走一條最直接的路
[00:00:22.680 --> 00:00:26.300]  去到迦南這個神的應許地
[00:00:26.300 --> 00:00:29.320]  是需要多少的時間呢?
[00:00:29.320 --> 00:00:32.080]  如果走最直接的路
[00:00:32.080 --> 00:00:36.300]  估計大約需要幾個星期
[00:00:36.300 --> 00:00:37.780]  但是我們知道
[00:00:37.780 --> 00:00:41.820]  以色列民他們走了多久
[00:00:41.820 --> 00:00:46.280]  才去到他們迦南這個的應許地呢?
[00:00:46.280 --> 00:00:49.420]  是走了四十年
[00:00:49.420 --> 00:00:53.860]  本來是幾個星期的路程
[00:00:53.860 --> 00:00:55.940]  他們走了四十年
[00:00:55.940 --> 00:00:59.280]  當中一定有很多事情發生
[00:00:59.280 --> 00:01:03.320]  也都一定有很多屬靈的功課
[00:01:03.320 --> 00:01:06.360]  讓我們可以學習的
[00:01:06.360 --> 00:01:09.040]  所以我們今天看《文數記》的時候
[00:01:09.040 --> 00:01:10.640]  我們打開《文數記》的時候
[00:01:10.640 --> 00:01:18.520]  就讓我們是全心的集中在那些屬靈功課上面
[00:01:18.520 --> 00:01:20.680]  我們有些什麼可以學習
[00:01:20.680 --> 00:01:24.420]  好 我們再一次同心低頭禱告
[00:01:24.420 --> 00:01:26.680]  親愛的恩主 我們感謝你
[00:01:26.680 --> 00:01:31.260]  因為你是那位值得我們全心敬拜的主
[00:01:31.260 --> 00:01:34.920]  你是那位值得我們一生跟隨的主
[00:01:34.920 --> 00:01:38.920]  主我們身處在一個很動盪的時代
[00:01:38.920 --> 00:01:44.280]  無論是在政治、在金融 甚至在疫情
[00:01:44.280 --> 00:01:48.800]  我們都看到有很多的動盪在當中
