
[00:00:00.000 --> 00:00:05.840]  今天我想特別因為面對社會這幾個星期發生的事情
[00:00:05.840 --> 00:00:08.320]  所以我們很想和大家做一個整合
[00:00:08.320 --> 00:00:14.560]  在斯文傳我們過往可能大家看了也有二十一章
[00:00:14.560 --> 00:00:16.480]  其實我們也提過在當中
[00:00:16.480 --> 00:00:21.640]  當教會去面對開始傳福音
[00:00:21.640 --> 00:00:24.280]  開始來到去為主作見證的時候
[00:00:24.280 --> 00:00:26.800]  其實教會基督徒全方位裏面
[00:00:26.800 --> 00:00:29.240]  都會面對不同的衝突
[00:00:29.240 --> 00:00:31.840]  所以今天我很想和大家來到斯文傳中間
[00:00:31.840 --> 00:00:35.600]  來看看怎樣面對這些衝突
[00:00:35.600 --> 00:00:38.440]  我們要處理我們要去學習
[00:00:38.440 --> 00:00:42.000]  可能這個也會和我們今天的環境很相似
[00:00:42.000 --> 00:00:46.160]  所以我也會引用一些今時今日社會發生的事情
[00:00:46.160 --> 00:00:50.600]  但當中可能也會令到我們各有不同的
[00:00:50.600 --> 00:00:52.920]  受這個心情影響的話
[00:00:52.920 --> 00:00:54.880]  我想求主來幫助我們
[00:00:54.880 --> 00:00:57.480]  讓我們真的從這些衝突裏面
[00:00:57.480 --> 00:01:00.560]  來學會怎樣去正確地面對
[00:01:00.560 --> 00:01:03.240]  怎樣去在我們能夠有的
[00:01:03.240 --> 00:01:04.640]  我們可以做的
[00:01:04.640 --> 00:01:07.760]  我們繼續堅守我們作為基督徒的崗位
[00:01:07.760 --> 00:01:11.360]  我們可以繼續來為這個城市守望
[00:01:11.360 --> 00:01:12.680]  在斯文傳裏面的衝突
[00:01:12.680 --> 00:01:14.120]  到底是甚麼衝突呢
[00:01:14.120 --> 00:01:16.120]  我將它大致上分為兩種
[00:01:16.120 --> 00:01:20.240]  一種是教會外的衝突
[00:01:20.240 --> 00:01:23.920]  當大家想起彼得和保羅
[00:01:23.920 --> 00:01:28.240]  他們無論在耶路撒冷或者保羅後來傳道的時候
[00:01:28.240 --> 00:01:30.400]  他們都去到不同的城市
[00:01:30.400 --> 00:01:32.520]  他們為神來做見證
[00:01:32.520 --> 00:01:34.440]  來傳揚福音的時候
[00:01:34.440 --> 00:01:36.840]  他們都會面對很多的難阻
[00:01:36.840 --> 00:01:38.960]  所以在《少林寺十四章》的時候
[00:01:38.960 --> 00:01:42.680]  我曾經用一個題目叫做「攪亂天下的福音」
[00:01:42.680 --> 00:01:44.560]  在七月的時候的講道
[00:01:44.560 --> 00:01:45.720]  如果大家有機會
[00:01:45.720 --> 00:01:47.920]  其實可以回去看過往我們
[00:01:47.920 --> 00:01:50.040]  有一些不同的牧者的講道
[00:01:50.040 --> 00:01:52.160]  其實都正正就是提醒我們
[00:01:52.160 --> 00:01:56.120]  怎樣來面對今天這個社會的處境
[00:01:56.120 --> 00:01:57.840]  那時候我講到「攪亂天下的福音」
[00:01:57.840 --> 00:01:59.000]  被人覺得是甚麼
[00:01:59.000 --> 00:02:00.720]  好像福音來到當時候
[00:02:00.720 --> 00:02:02.120]  斯文傳的時代
[00:02:02.120 --> 00:02:04.440]  是令到人分裂的
[00:02:04.440 --> 00:02:09.320]  又令到人們覺得這班人在作反動亂
[00:02:09.320 --> 00:02:10.760]  革命份子
[00:02:10.760 --> 00:02:12.520]  但我們相信我們不會為了這些事情
[00:02:12.520 --> 00:02:14.000]  來做這些事情
[00:02:14.000 --> 00:02:16.240]  我們最重要能夠令到
[00:02:16.240 --> 00:02:17.760]  耶穌所講的就是
[00:02:17.760 --> 00:02:19.880]  我們主要為了持守信仰
[00:02:19.880 --> 00:02:23.640]  這個才是我們要堅守的一個真理
[00:02:23.640 --> 00:02:24.560]  所以福音來到的
[00:02:24.560 --> 00:02:27.920]  只不過是要將和好的信息帶給人
[00:02:27.920 --> 00:02:28.880]  所以我們今天盼望
[00:02:28.880 --> 00:02:31.160]  這個仍然是我們的堅持
[00:02:31.160 --> 00:02:33.840]  怎樣來成為一個和平之子
[00:02:33.840 --> 00:02:35.640]  和平的使者
[00:02:35.640 --> 00:02:37.680]  除了當時候教會面對這些
[00:02:37.680 --> 00:02:40.320]  令人覺得是引起衝突
[00:02:40.320 --> 00:02:42.440]  帶來一些混亂的時候
[00:02:42.440 --> 00:02:45.360]  其實我想教會這些跟我們傳福音有關
[00:02:45.360 --> 00:02:48.000]  但有時候可能在社會上發生的事情
