
[00:00:00.000 --> 00:00:06.000]  各位大兄姐妹,平安!
[00:00:06.000 --> 00:00:15.000]  在上一個星期,在家裡看了一部電影。
[00:00:15.000 --> 00:00:24.000]  電影的背景是一條很貧窮的村莊。
[00:00:24.000 --> 00:00:35.000]  這幕的故事講述一個父親和他的兒子,坐在一個很乾旱的田地旁邊的地下。
[00:00:35.000 --> 00:00:42.000]  這個故事的背景就說到這個父親和他的孩子坐在一個乾旱田地的邊上。
[00:00:42.000 --> 00:00:51.000]  因為這個父親沒有辦法讓孩子有好的生活。
[00:00:51.000 --> 00:00:58.000]  這個父親就很感慨地看著孩子。
[00:00:58.000 --> 00:01:11.000]  他搭著孩子的肩膀對他說:兒子,我做不到我的承諾,我辜負了你。
[00:01:11.000 --> 00:01:19.000]  原本孩子看著地上的泥土。
[00:01:19.000 --> 00:01:34.000]  孩子聽到爸爸的話以後,就轉過頭,眼神堅定地看著自己的爸爸說:
[00:01:34.000 --> 00:01:41.000]  爸爸,你沒有辜負我。
[00:01:41.000 --> 00:01:52.000]  就在這一刻,我就用遙控把電視停了,我的孩子就坐在我的左邊,
[00:01:52.000 --> 00:02:05.000]  我就搭著他的肩膀對他說:兒子,爸爸從來沒有辜負你。
[00:02:05.000 --> 00:02:14.000]  我的孩子就把眼睛從電視上面轉過來,
[00:02:14.000 --> 00:02:21.000]  他就對我說:爸爸,你有辜負我。
[00:02:21.000 --> 00:02:25.000]  接著我們就繼續看電影。
[00:02:25.000 --> 00:02:31.000]  今天的訊息主題就是關乎應許。
[00:02:31.000 --> 00:02:36.000]  英文就是promise,就是承諾。
[00:02:36.000 --> 00:02:44.000]  約書亞記今天第21章其實就是接近約書亞記的完結,講到神的應許。
[00:02:44.000 --> 00:02:50.000]  約書亞記21章就已經是接近約書亞記的完結,講到神的應許。
[00:02:50.000 --> 00:03:03.000]  經過征戰之後,神終於將土地給了百姓,給他們安寧。
