
[00:00:00.000 --> 00:00:05.800]  今日嚟到我哋嘅Facebook Legend 嘅講道系列嘅第四堂
[00:00:05.800 --> 00:00:10.000]  好多人用Facebook 嘅
[00:00:10.000 --> 00:00:13.000]  都偶然有一啲人係唔用
[00:00:13.000 --> 00:00:17.500]  今年我都碰到一個新學生係唔用Facebook 嘅
[00:00:17.500 --> 00:00:20.500]  應該係佢唯一一個新學生
[00:00:20.500 --> 00:00:25.500]  有一次坐車佢問我話下星期五你哋咩聚會呀
[00:00:25.500 --> 00:00:28.500]  我哋話我哋會將聚會嘅內容post上Facebook
[00:00:28.500 --> 00:00:30.500]  咁佢話唔好意思我冇Facebook
[00:00:30.500 --> 00:00:33.500]  我原先以為佢搞爛機係玩我
[00:00:33.500 --> 00:00:36.500]  但係佢Roommate坐喺隔離同我講話唔係佢講真嘅
[00:00:36.500 --> 00:00:43.500]  佢真係冇Facebook 冇WhatsApp 都唔用Email 亦都唔用手機
[00:00:43.500 --> 00:00:45.500]  咁佢話因為出國嘅緣故
[00:00:45.500 --> 00:00:49.500]  媽咪逼佢先至出咗部手機 通常唔用
[00:00:49.500 --> 00:00:52.500]  咁我就問佢話咁你平時做啲咩呀
[00:00:52.500 --> 00:00:54.500]  因為我哋呢個年代我哋會假設
[00:00:54.500 --> 00:00:57.500]  如果你冇Facebook嘅話應該你冇咩嘢做
[00:00:57.500 --> 00:01:00.500]  於是佢就回答話
[00:01:00.500 --> 00:01:09.500]  佢話我得閒嘅時候呢就喜歡背下莎士比亞嘅詩
[00:01:09.500 --> 00:01:14.500]  人生係有啲moment係你完全唔知應該點樣回應好
[00:01:14.500 --> 00:01:17.500]  咁呀為咗證實佢唔係搞爛機玩我呢
[00:01:17.500 --> 00:01:20.500]  我就做咗一件令我人生好後悔嘅事
[00:01:20.500 --> 00:01:24.500]  我就問佢話咁你背一兩首畀我聽下
[00:01:24.500 --> 00:01:28.500]  接下嚟發生嘅事係真係好恐怖
[00:01:28.500 --> 00:01:32.500]  佢真係可以一手接一手咁樣背莎士比亞嘅詩
[00:01:32.500 --> 00:01:35.500]  除咗偶然會遇到咁嘅人之外
[00:01:35.500 --> 00:01:37.500]  其他大部分嘅人都係用Facebook
[00:01:37.500 --> 00:01:40.500]  因為Facebook而家已經有9億嘅用戶
[00:01:40.500 --> 00:01:44.500]  據說明年佢哋預算明年應該會達到10億
[00:01:44.500 --> 00:01:49.500]  所以全球大概有六分之一嘅人係會用緊Facebook
[00:01:49.500 --> 00:01:53.500]  咁Facebook嘅成功無疑引證咗一個不變嘅真理
[00:01:53.500 --> 00:01:56.500]  呢個就係原來人係需要朋友嘅
[00:01:56.500 --> 00:01:57.500]  冇人可以獨居
[00:01:57.500 --> 00:02:00.500]  神造人呢係一個群體嘅動物
[00:02:00.500 --> 00:02:03.500]  我哋需要同人哋發生關係嘅
[00:02:03.500 --> 00:02:06.500]  我哋係需要同人哋去溝通同人哋分享
[00:02:06.500 --> 00:02:09.500]  我哋需要feel belong to一個group
[00:02:09.500 --> 00:02:12.500]  我哋唔可以單獨自己獨處就覺得開心嘅
[00:02:12.500 --> 00:02:15.500]  我哋係需要同人交朋友啦
[00:02:15.500 --> 00:02:18.500]  咁呀喺Facebook嘅成功當中呢
[00:02:18.500 --> 00:02:21.500]  我睇到係因為隨住科技發展呢
[00:02:21.500 --> 00:02:23.500]  我哋係越嚟越自閉嘅
[00:02:23.500 --> 00:02:25.500]  咁呀但係自閉得嚟呢
[00:02:25.500 --> 00:02:26.500]  我哋唔會因為我哋變得自閉
[00:02:26.500 --> 00:02:31.500]  因此嗰種內心入面渴望朋友嘅需求就改變
[00:02:31.500 --> 00:02:34.500]  就等於好似我哋需要空氣水分一樣
[00:02:34.500 --> 00:02:37.500]  我哋唔會因為我哋大家都好自閉
[00:02:37.500 --> 00:02:40.500]  咁我哋就唔需要呼吸啦唔係咁嘅
[00:02:40.500 --> 00:02:42.500]  咁呀所以雖然係一個好自閉嘅年代
[00:02:42.500 --> 00:02:46.500]  大家都好饑渴能夠交到朋友能夠同人哋分享
[00:02:46.500 --> 00:02:48.500]  咁喺呢個時代Facebook嘅出現呢
[00:02:48.500 --> 00:02:50.500]  無疑係造就咗佢嘅成功嘅
[00:02:50.500 --> 00:02:54.500]  咁所以Facebook嘅成功當中
[00:02:54.500 --> 00:02:56.500]  我覺得其中有一項function好重要
[00:02:56.500 --> 00:03:00.500]  就係其實Facebook提供咗一個好方便
[00:03:00.500 --> 00:03:03.500]  同埋好有效嘅平台
[00:03:03.500 --> 00:03:06.500]  你會畀我哋分享好多嘅嘢
[00:03:06.500 --> 00:03:09.500]  因為人其實內心係希望同人哋分享嘅
[00:03:09.500 --> 00:03:13.500]  無論係唔開心嘅嘢啦希望同人哋傾訴啦
[00:03:13.500 --> 00:03:15.500]  開心嘅嘢都希望同人哋分享啦
[00:03:15.500 --> 00:03:19.500]  人生係因為識得分享而變得有意義嘅
[00:03:19.500 --> 00:03:22.500]  所以好多人係例如買咗架靚車
[00:03:22.500 --> 00:03:25.500]  咁你都急不及待影張相跟住post上Facebook
[00:03:25.500 --> 00:03:28.500]  就驚死人唔知你買咗架靚車咁
[00:03:28.500 --> 00:03:30.500]  咁所以一定要分享
[00:03:30.500 --> 00:03:33.500]  你發覺其實好多時候因為識得分享呢
[00:03:33.500 --> 00:03:35.500]  嗰樣嘢先變得有價值嘅
[00:03:35.500 --> 00:03:37.500]  即係如果你花好多錢買架車
[00:03:37.500 --> 00:03:39.500]  但係朋友又唔理你呢又無人分享呢
[00:03:39.500 --> 00:03:41.500]  其實嗰架車價值唔大
[00:03:41.500 --> 00:03:44.500]  你花咁多錢買架靚車就因為
[00:03:44.500 --> 00:03:47.500]  你可以因住分享嘅同時可以build up你嘅身份
[00:03:47.500 --> 00:03:49.500]  可以惹你一啲好羨慕嘅眼光
[00:03:49.500 --> 00:03:53.500]  咁因為嗰啲嘢使呢架車變得好有價值
[00:03:53.500 --> 00:03:56.500]  所以人生係因為分享而變得好有意義
[00:03:56.500 --> 00:03:58.500]  變得好有價值
[00:03:58.500 --> 00:04:00.500]  咁所以係喺分享嘅同時呢
[00:04:00.500 --> 00:04:02.500]  其實有一樣嘢係好重要嘅
[00:04:02.500 --> 00:04:04.500]  就係分享訊息啦
[00:04:04.500 --> 00:04:06.500]  Facebook提供咗一個好有效嘅平台
[00:04:06.500 --> 00:04:08.500]  讓我哋分享好多嘅訊息
[00:04:08.500 --> 00:04:10.500]  其實我知道好多嘅嘢都係因為從Facebook
[00:04:10.500 --> 00:04:13.500]  而得到呢啲嘅訊息嘅
[00:04:13.500 --> 00:04:17.500]  咁例如話我哋呢啲Facebook嘅訊息分享得好有效
[00:04:17.500 --> 00:04:21.500]  喺大概幾個星期前我哋break咗其實game night啦
[00:04:21.500 --> 00:04:22.500]  其實大家玩遊戲嘅啫
[00:04:22.500 --> 00:04:26.500]  咁跟住你都知近排反國民教育好犀利啦
[00:04:26.500 --> 00:04:29.500]  咁於是有人喺Facebook上面post一個message話
[00:04:29.500 --> 00:04:32.500]  不如星期五晚我哋一齊著黑色衫返嚟
[00:04:32.500 --> 00:04:34.500]  咁我哋一齊嚟到影一張相
[00:04:34.500 --> 00:04:36.500]  大合照就係反國民教育
[00:04:36.500 --> 00:04:40.500]  跟住就將呢幅相寄返香港支持反國民教育嘅團體咁樣
[00:04:40.500 --> 00:04:42.500]  咁一個message出嚟啫
[00:04:42.500 --> 00:04:45.500]  星期五晚返嚟真係個個都著曬黑色衫返嚟
[00:04:45.500 --> 00:04:48.500]  咁有人連大字報都預備好埋
[00:04:48.500 --> 00:04:49.500]  反國民教育
[00:04:49.500 --> 00:04:51.500]  咁於是就寄返香港
[00:04:51.500 --> 00:04:54.500]  咁呢就所以Facebook嘅
[00:04:54.500 --> 00:04:57.500]  即係嗰啲訊息傳遞得係好快
[00:04:57.500 --> 00:05:00.500]  而中國大陸最驚就係你傳遞得咁快
[00:05:00.500 --> 00:05:03.500]  最驚就係你一個訊息跟住幾萬人湧入天安門呢
[00:05:03.500 --> 00:05:06.500]  跟住就即係中國政府好驚呢啲嘢
[00:05:06.500 --> 00:05:09.500]  你知五月花革命係點樣開始嘅
[00:05:09.500 --> 00:05:11.500]  就係透過Twitter同埋Facebook囉
[00:05:11.500 --> 00:05:14.500]  係呀Twitter Facebook跟住就傳到一傳十十傳百
[00:05:14.500 --> 00:05:17.500]  於是就幾萬人上街去遊行
[00:05:17.500 --> 00:05:20.500]  於是最終就推翻咗一個政權
[00:05:20.500 --> 00:05:22.500]  所以Facebook係一個好powerful
[00:05:22.500 --> 00:05:27.500]  好勁嘅一個嘅公眾傳遞分享嘅平台
[00:05:27.500 --> 00:05:30.500]  如果你善用呢可以用得好好嘅
[00:05:30.500 --> 00:05:32.500]  但係如果你去濫用佢呢
[00:05:32.500 --> 00:05:35.500]  亦都可以造成好大嘅傷害
[00:05:35.500 --> 00:05:38.500]  所以今日我哋就想提點樣可以善用呢個平台
[00:05:38.500 --> 00:05:40.500]  去分享一啲好嘅嘢
[00:05:40.500 --> 00:05:42.500]  而唔係濫用佢呢
[00:05:42.500 --> 00:05:44.500]  咁呀喺馬達福音嘅五章十四十六節呢
[00:05:44.500 --> 00:05:46.500]  嗰度有住經文呢就話
[00:05:46.500 --> 00:05:48.500]  你們是世界的光
[00:05:48.500 --> 00:05:50.500]  係主耶穌親自講嘅一段嘅話
[00:05:50.500 --> 00:05:52.500]  佢話你們是世界的光
[00:05:52.500 --> 00:05:56.500]  建造在山上嘅城係無法遮蓋起來的
[00:05:56.500 --> 00:05:59.500]  沒有人點亮了燈去放在斗底下
[00:05:59.500 --> 00:06:03.500]  一定是放在燈台上好照亮全家的人
[00:06:03.500 --> 00:06:07.500]  同樣你們的光也該照在人面前
[00:06:07.500 --> 00:06:09.500]  讓他們看見你們的好行為
[00:06:09.500 --> 00:06:13.500]  好重讚你們在天上的父親
[00:06:13.500 --> 00:06:15.500]  所以因為呢啲經文
[00:06:15.500 --> 00:06:18.500]  我哋已經設定咗基督徒一個嘅目標
[00:06:18.500 --> 00:06:20.500]  就係我哋在世嘅時候
[00:06:20.500 --> 00:06:22.500]  應該係有個好嘅見證
[00:06:22.500 --> 00:06:24.500]  身邊嘅人見到我哋嘅見證
[00:06:24.500 --> 00:06:26.500]  會覺得你哋嘅天父真係好正
[00:06:26.500 --> 00:06:29.500]  於是佢哋就會重讚我哋在天上嘅父
[00:06:29.500 --> 00:06:34.500]  所以Facebook係提供咗一個好好畀你做見證嘅平台
[00:06:34.500 --> 00:06:36.500]  咁呀如果你善用呢
