
[00:00:00.000 --> 00:00:04.800]  英國一位很有名的牧師斯托德·約翰·斯托德
[00:00:04.800 --> 00:00:06.800]  我們很熟悉他
[00:00:06.800 --> 00:00:08.800]  他說教會有一樣東西
[00:00:08.800 --> 00:00:11.400]  要很小心不要認錯自己的身份
[00:00:11.400 --> 00:00:14.600]  他說教會有時覺得自己是一個宗教的俱樂部
[00:00:14.600 --> 00:00:16.200]  什麼意思呢?
[00:00:16.200 --> 00:00:20.600]  好像另外一些俱樂部差不多
[00:00:20.600 --> 00:00:23.400]  譬如高爾夫球會
[00:00:23.400 --> 00:00:28.600]  只不過高爾夫球會的興趣就是高爾夫
[00:00:28.600 --> 00:00:32.400]  我們就有興趣是宗教的生活
[00:00:32.400 --> 00:00:34.400]  在神的身上
[00:00:34.400 --> 00:00:36.400]  其實我們也是差不多
[00:00:36.400 --> 00:00:39.000]  我們就好像交會費一樣
[00:00:39.000 --> 00:00:41.200]  奉獻當作交會費
[00:00:41.200 --> 00:00:45.400]  然後我們就看重我們有一些的地位
[00:00:45.400 --> 00:00:47.400]  然後我們注視的是什麼呢?
[00:00:47.400 --> 00:00:49.000]  是我們的權益
[00:00:49.000 --> 00:00:51.400]  我們有什麼可以拿到的
[00:00:51.400 --> 00:00:54.200]  有時如果教會這樣的情況
[00:00:54.200 --> 00:00:56.000]  就很糟糕
[00:00:56.000 --> 00:01:00.000]  就好像斯托德所形容的
[00:01:00.000 --> 00:01:02.800]  好像一些不正常的東西
[00:01:02.800 --> 00:01:05.200]  好像指甲內生一樣
[00:01:05.200 --> 00:01:07.200]  是一個很不好的現象
[00:01:07.200 --> 00:01:09.800]  其實聖經會的一個牧者
[00:01:09.800 --> 00:01:12.000]  叫做William Temple
[00:01:12.000 --> 00:01:13.400]  他說過一句話
[00:01:13.400 --> 00:01:16.400]  很有精闢的格言
[00:01:16.400 --> 00:01:17.800]  他怎麼說呢?
[00:01:17.800 --> 00:01:20.200]  他說教會是地上唯一一個
[00:01:20.200 --> 00:01:22.800]  以非會員的利益
[00:01:22.800 --> 00:01:26.000]  而生存的一個團體
[00:01:26.000 --> 00:01:28.000]  他生存的目的
[00:01:28.000 --> 00:01:31.000]  是為了非會員的利益
[00:01:31.000 --> 00:01:32.400]  而生存的
[00:01:32.400 --> 00:01:33.600]  很有意思
[00:01:33.600 --> 00:01:36.600]  教會如果沒有了這個目的
[00:01:36.600 --> 00:01:40.400]  他還是不是一間教會呢?
[00:01:40.400 --> 00:01:43.400]  神給我們福音的使命
[00:01:43.400 --> 00:01:45.800]  我們要將這個福音的福氣
[00:01:45.800 --> 00:01:47.000]  去傳給另外一些人
[00:01:47.000 --> 00:01:49.400]  這個是我們理所當然的
