
[00:00:00.000 --> 00:00:02.000]  各位電影節目早上好
[00:00:02.000 --> 00:00:05.000]  甚麼是「照明」呢?
[00:00:05.000 --> 00:00:08.000]  大補堂2019年的主題是「照明人生」
[00:00:08.000 --> 00:00:12.000]  目的是幫助電影節目明白自己的人生照明
[00:00:12.000 --> 00:00:16.000]  然後經歷一個豐盛而滿足的生命
[00:00:16.000 --> 00:00:21.000]  禮拜六早堂沒有講完,五講的
[00:00:21.000 --> 00:00:23.000]  不過都要重溫一下
[00:00:23.000 --> 00:00:25.000]  甚麼是「照明」呢?
[00:00:25.000 --> 00:00:27.000]  楊錫昌牧師就告訴我們
[00:00:27.000 --> 00:00:30.000]  神創造人,向人發出呼召
[00:00:30.000 --> 00:00:32.000]  人用生命來對回應
[00:00:32.000 --> 00:00:34.000]  這就是「照明」
[00:00:34.000 --> 00:00:36.000]  所以「照明」包含三個觀念
[00:00:36.000 --> 00:00:40.000]  是創造、呼喚或呼召
[00:00:40.000 --> 00:00:44.000]  人用他的生命來對回應
[00:00:44.000 --> 00:00:46.000]  這三個觀念
[00:00:46.000 --> 00:00:49.000]  希望我們電影節目不斷記住
[00:00:49.000 --> 00:00:52.000]  創造、呼召和回應
[00:00:53.000 --> 00:01:02.000]  一至四月、五至八月和九至十二月
[00:01:02.000 --> 00:01:04.000]  我們分三部分來講
[00:01:04.000 --> 00:01:06.000]  一至四月就講人生需要照明
[00:01:06.000 --> 00:01:09.000]  我第一講是在早堂講過的
[00:01:09.000 --> 00:01:11.000]  然後在成人崇拜閣堂都講了
[00:01:11.000 --> 00:01:14.000]  上主是按他心意來對創造我
[00:01:14.000 --> 00:01:18.000]  第二講我是講上主按他心意來對召喚我
[00:01:18.000 --> 00:01:22.000]  第三講是講了上主按我名字認識我
[00:01:22.000 --> 00:01:26.000]  第四講是上主按我名字紀念我
[00:01:26.000 --> 00:01:29.000]  今天我要講上主按我名字塗造我
[00:01:29.000 --> 00:01:31.000]  如果你發現你沒有聽完
[00:01:31.000 --> 00:01:32.000]  已經有些電影節目講
[00:01:32.000 --> 00:01:35.000]  可不可以有「照明人生」系列放上網
[00:01:35.000 --> 00:01:38.000]  IT的同工正在安排
[00:01:38.000 --> 00:01:39.000]  不只是我
[00:01:39.000 --> 00:01:41.000]  我們所有目者在本堂的講道
[00:01:41.000 --> 00:01:43.000]  都是講「照明人生」這個系列
[00:01:43.000 --> 00:01:44.000]  你可以一路去聽
[00:01:44.000 --> 00:01:48.000]  我們大部分都是根據楊石昌牧師的書
[00:01:48.000 --> 00:01:52.000]  他提出一些課題給我們一齊來研討
[00:01:52.000 --> 00:01:54.000]  不知道大家有沒有發現
[00:01:54.000 --> 00:01:57.000]  近年新興了很多的興趣班
[00:01:57.000 --> 00:02:00.000]  其中一項是陶藝班
[00:02:00.000 --> 00:02:05.000]  學的人就坐在那個轉輪那裡
[00:02:05.000 --> 00:02:09.000]  和那些陶藝那裡在那裡搓下搓下搓下
[00:02:09.000 --> 00:02:11.000]  就很容易令人想起什麼呢
[00:02:11.000 --> 00:02:15.000]  就是九零年有一套很經典的戲叫什麼
[00:02:15.000 --> 00:02:17.000]  《人鬼情未了》
[00:02:17.000 --> 00:02:21.000]  最後男女主角整陶瓷那浪漫的一幕
[00:02:21.000 --> 00:02:27.000]  其實整陶瓷的人和陶藝之間的互動是怎樣的呢
[00:02:27.000 --> 00:02:29.000]  是不是真的那麼浪漫呢
[00:02:29.000 --> 00:02:33.000]  或者一起整的人是不是真的有那麼親密的關係呢
[00:02:33.000 --> 00:02:36.000]  十一月教會就會開班給大家體驗一下
[00:02:36.000 --> 00:02:41.000]  整陶瓷的過程
[00:02:41.000 --> 00:02:45.000]  經驗一下我們作為整陶瓷的人
[00:02:45.000 --> 00:02:47.000]  那些泥是怎樣的呢
[00:02:47.000 --> 00:02:48.000]  你怎樣搓它呢
[00:02:48.000 --> 00:02:49.000]  你怎樣整好它呢
[00:02:49.000 --> 00:02:53.000]  有經驗一下當我們自己在這些泥的時候
[00:02:53.000 --> 00:02:56.000]  其實上帝是怎樣來塗造我們呢
[00:02:56.000 --> 00:03:00.000]  今天很想和各位姐妹來分享
[00:03:00.000 --> 00:03:03.000]  在我們尋找人生照明的過程裡面
[00:03:03.000 --> 00:03:06.000]  無論我們的抉擇或者我們的際遇
[00:03:06.000 --> 00:03:09.000]  甚至我們和我們的創造者那種互動
[00:03:09.000 --> 00:03:12.000]  是多麼浪漫甜美
[00:03:12.000 --> 00:03:16.000]  因為有時候你會發現那個過程是很坎坷苦澀
[00:03:16.000 --> 00:03:17.000]  不過我們不要深信
[00:03:17.000 --> 00:03:23.000]  我們的心都仍在祂的手中不斷被祂塗造
[00:03:23.000 --> 00:03:25.000]  我們要成為祂的傑作
[00:03:25.000 --> 00:03:27.000]  並且是精心的傑作
[00:03:27.000 --> 00:03:30.000]  祂一直在欣賞和使用我們
[00:03:30.000 --> 00:03:34.000]  說到做陶泥的
[00:03:34.000 --> 00:03:37.000]  聖經有五處提到
