
[00:00:00.000 --> 00:00:02.000]  敬師妹平安
[00:00:02.000 --> 00:00:06.400]  感謝敬拜隊今天的詩歌
[00:00:06.400 --> 00:00:09.080]  很美麗 內容很豐富
[00:00:09.080 --> 00:00:12.480]  我常常覺得以前的詩歌
[00:00:12.480 --> 00:00:15.680]  有差不多一年一日的詩歌
[00:00:15.680 --> 00:00:19.520]  它的內容如果你跟著來做
[00:00:19.520 --> 00:00:22.000]  你只是跟著歌詞來做
[00:00:22.000 --> 00:00:25.280]  你做得到已經不得了了
[00:00:25.280 --> 00:00:28.240]  感謝神 不單止是祂的話語
[00:00:28.240 --> 00:00:32.920]  神給有詩人能夠寫下詩
[00:00:32.920 --> 00:00:37.320]  今天我們同樣來看一篇詩
[00:00:37.320 --> 00:00:40.160]  不過大家剛才跟主席讀的時候
[00:00:40.160 --> 00:00:41.520]  你就會看到
[00:00:41.520 --> 00:00:45.720]  我們是讀詩篇139篇後面那一段的
[00:00:45.720 --> 00:00:48.080]  如果你兩個星期前有回來的話
[00:00:48.080 --> 00:00:50.240]  你聽了上面那一段的了
[00:00:50.240 --> 00:00:52.000]  如果你今天第一次來
[00:00:52.000 --> 00:00:54.200]  有機會回去聽回
[00:00:54.200 --> 00:00:56.080]  有機會回去聽回錄音
[00:00:56.080 --> 00:00:58.760]  其實因為詩篇139
[00:00:58.760 --> 00:00:59.840]  當我去預備的時候
[00:00:59.840 --> 00:01:03.640]  實在覺得這篇詩太豐富了
[00:01:03.640 --> 00:01:05.320]  一篇都說不完
[00:01:05.320 --> 00:01:07.840]  所以想把它分成兩半
[00:01:07.840 --> 00:01:09.160]  內容很豐富
[00:01:09.160 --> 00:01:12.400]  所以我們兩個星期前看了1至12節
[00:01:12.400 --> 00:01:15.360]  今天我們再看13至24節
[00:01:15.360 --> 00:01:17.920]  不過都回顧一下好不好
[00:01:17.920 --> 00:01:19.840]  都回顧一下
[00:01:19.840 --> 00:01:21.800]  我們上一次有提過
[00:01:21.800 --> 00:01:25.720]  其實這篇詩是一篇歷世歷代信徒
[00:01:25.720 --> 00:01:28.360]  都很珍重的詩
[00:01:28.360 --> 00:01:31.480]  都是其中一首很多信徒特別稱讚
[00:01:31.480 --> 00:01:33.600]  特別稱頌、特別喜愛
[00:01:33.600 --> 00:01:36.640]  甚至很多人會背的詩
[00:01:36.640 --> 00:01:41.880]  因為詩人不只是用了很多很高深的神學理論
[00:01:41.880 --> 00:01:45.680]  很多的概念去描述上帝
[00:01:45.680 --> 00:01:48.840]  而是詩人用了他親身的經歷
[00:01:48.840 --> 00:01:52.440]  他自己親自經歷過上帝
[00:01:52.440 --> 00:01:56.440]  是寫下了他和上帝之間的經歷
[00:01:56.440 --> 00:01:59.280]  詩人一開始就說耶和華
[00:01:59.280 --> 00:02:03.040]  你已經監察我、認識我
[00:02:03.040 --> 00:02:06.520]  詩人從一開始已經深深地經歷到
[00:02:06.520 --> 00:02:09.720]  神的監察、神的認識
[00:02:09.720 --> 00:02:11.960]  之後一路看下去
[00:02:11.960 --> 00:02:13.120]  我們就會知道
[00:02:13.120 --> 00:02:17.200]  詩人經歷了上帝的無所不知
[00:02:17.200 --> 00:02:19.880]  無所不在、無所不能
[00:02:19.880 --> 00:02:22.480]  所以詩人去到中間的時候就說
[00:02:22.480 --> 00:02:24.880]  我可以去哪裡躲避神呢?
[00:02:24.880 --> 00:02:28.240]  我可以去哪裡逃、躲避神的面呢?
[00:02:28.240 --> 00:02:30.600]  最終詩人是發現
[00:02:30.600 --> 00:02:33.040]  沒有啊,沒有辦法
[00:02:33.040 --> 00:02:34.800]  沒有任何地方
[00:02:34.800 --> 00:02:37.280]  就算走到天涯海角
[00:02:37.280 --> 00:02:39.800]  他發現原來上帝都在那裡
[00:02:39.800 --> 00:02:42.800]  甚至詩人說他在黑暗裡面
[00:02:42.800 --> 00:02:46.520]  上帝看他和看光明、黑暗
[00:02:46.520 --> 00:02:49.040]  在上帝來說都是一樣
[00:02:49.040 --> 00:02:51.560]  所以最後詩人說
[00:02:51.560 --> 00:02:55.880]  如果我展開翅膀飛到地極又如何呢?
[00:02:55.880 --> 00:02:58.520]  神的手都在那裡
[00:02:58.520 --> 00:03:01.320]  引導他、扶持他
[00:03:01.320 --> 00:03:03.320]  這就是我們上次看了
[00:03:03.320 --> 00:03:07.480]  這首詩的上半部分
[00:03:07.480 --> 00:03:11.160]  詩人發現無論他怎樣走
[00:03:11.160 --> 00:03:13.800]  怎樣逃、怎樣躲
[00:03:13.800 --> 00:03:16.360]  都離不開神的監察
[00:03:16.360 --> 00:03:19.040]  神的認識、神的看顧
[00:03:19.040 --> 00:03:21.920]  神的引導、神的扶持
[00:03:21.920 --> 00:03:25.640]  但是詩人再一次的轉向
[00:03:25.640 --> 00:03:29.040]  當我們今天進入下半節的時候
[00:03:29.040 --> 00:03:30.160]  由十三節開始
[00:03:30.160 --> 00:03:34.600]  我們會發現詩人有一個再新的轉向
[00:03:34.600 --> 00:03:37.800]  我們今天一起再進入這篇詩篇的時候
[00:03:37.800 --> 00:03:39.480]  我們去體會
[00:03:39.480 --> 00:03:45.000]  詩人那種在上帝裡面經歷之後的轉向
[00:03:45.000 --> 00:03:46.840]  一至十二節我們說
[00:03:46.840 --> 00:03:49.720]  詩人是在說他當時的狀況
[00:03:49.720 --> 00:03:52.920]  他當時的狀況或者他曾經經歷的狀況
[00:03:52.920 --> 00:03:55.480]  但是當進入十三節的時候
[00:03:55.480 --> 00:03:57.760]  十三至十六節我們就發現
[00:03:57.760 --> 00:04:00.520]  詩人再將他現時
[00:04:00.520 --> 00:04:03.680]  這個時刻所經歷的再推前
[00:04:03.680 --> 00:04:06.440]  一路推前,推前到什麼時候呢?
[00:04:06.440 --> 00:04:09.640]  推前到他未出世
[00:04:09.640 --> 00:04:12.400]  推前到他未出母腹
[00:04:12.400 --> 00:04:15.480]  詩人說我的肺腑是你做的
[00:04:15.480 --> 00:04:18.920]  我在母腹裡面你已經認識我了
[00:04:18.920 --> 00:04:21.000]  所以詩人說我要稱謝你
[00:04:21.000 --> 00:04:24.160]  因為我的受造是奇妙可畏的
[00:04:24.160 --> 00:04:26.880]  上帝的作為很奇妙
[00:04:26.880 --> 00:04:29.480]  詩人說他心知道
[00:04:29.480 --> 00:04:32.160]  他知道自己在暗中被造
[00:04:32.160 --> 00:04:35.000]  在地的深處被塑造
[00:04:35.000 --> 00:04:36.760]  那個時候
[00:04:36.760 --> 00:04:40.000]  他的形體向上帝不隱藏
[00:04:40.000 --> 00:04:42.520]  他未成形的體質
