
[00:00:00.000 --> 00:00:04.300]  好,大師妹,讓我們去聆聽主導而先, 讓我們一起同心低頭,好嗎?
[00:00:04.300 --> 00:00:13.500]  慈悲的天父,多謝祢, 讓我們能夠再次回來打開祢的說話,
[00:00:13.500 --> 00:00:16.500]  讓祢的說話成為我們敬拜的基礎,
[00:00:16.500 --> 00:00:20.200]  讓祢的啟示成為我們信仰的導航。
[00:00:20.200 --> 00:00:23.900]  為此,再次獻上感恩, 祢能夠給我們能夠踏足地上,
[00:00:23.900 --> 00:00:26.400]  享受上帝祢的創造。
[00:00:26.400 --> 00:00:33.500]  求主祢讓我們不只是帶著感恩過每一天, 帶著享受祢的創造的每一樣喜悅,
[00:00:33.500 --> 00:00:37.000]  而更重要的是帶著一份對主祢的傳言相信。
[00:00:37.000 --> 00:00:46.800]  祢能夠在走這條屬靈的道路過程中, 遇見挑戰,遇見任何的試探引誘,
[00:00:46.800 --> 00:00:51.400]  祢能夠仍然對祢不偏不倚的相信。
[00:00:51.400 --> 00:00:56.900]  討好奉孝主耶穌獨得聖的名字而靠。
[00:00:56.900 --> 00:01:01.900]  最近在8月11日的時候,
[00:01:01.900 --> 00:01:04.400]  我曾經講過一堂課到的時候,
[00:01:04.400 --> 00:01:11.400]  有一個網上的回應。
[00:01:11.400 --> 00:01:16.400]  我覺得很有趣,值得我們一起去反思一下。
[00:01:16.400 --> 00:01:22.400]  因為在這個回應當中,他去反駁到聖經當中,
[00:01:22.400 --> 00:01:28.400]  耶穌曾經討論到有關於人對價值觀的問題。
[00:01:28.400 --> 00:01:35.900]  其實都是因為當時我引用了在耶穌對於門徒的訓免。
[00:01:35.900 --> 00:01:37.400]  那句說話是什麼呢?
[00:01:37.400 --> 00:01:45.400]  就是不要積讚財寶在地上, 反要積讚財寶在天上。
[00:01:45.400 --> 00:01:49.900]  這位聽眾,其實我很欣賞每一個聽眾的留言給我的。
[00:01:49.900 --> 00:01:53.400]  因為他的意思是他真的反思過。
[00:01:53.400 --> 00:01:58.400]  不過他的留言當中是這樣說的:
[00:01:58.400 --> 00:02:03.400]  對於我來計,積讚財寶是神賜平安,
[00:02:03.400 --> 00:02:07.400]  是值得使我睡得著。
[00:02:07.400 --> 00:02:12.400]  這個回應,我不是想作一個針對性的回應,
[00:02:12.400 --> 00:02:16.400]  就是究竟他的問題在哪裡,或者他說得對,或者不對。
[00:02:16.400 --> 00:02:25.400]  因為凡是回應還未跟那個人有直接了解的內容是什麼意思,
