
[00:00:00.000 --> 00:00:05.440]  好今天跟各位繼續來看一個跟健康有關的一個題目
[00:00:05.440 --> 00:00:08.480]  或說是跟健康有關的經文
[00:00:08.480 --> 00:00:10.680]  我上個月在各位當中
[00:00:10.680 --> 00:00:15.440]  我曾經講過一個題目叫我真的健康嗎
[00:00:15.440 --> 00:00:18.080]  我不曉得你還記得多少
[00:00:18.080 --> 00:00:21.840]  所以今天我還是想跟各位來看一個題目
[00:00:21.840 --> 00:00:23.440]  也是跟健康有關的
[00:00:23.440 --> 00:00:26.520]  我就選用還是陸家醫生
[00:00:26.520 --> 00:00:29.640]  他寫的陸家福音當中的兩段的經文
[00:00:29.640 --> 00:00:31.600]  我覺得這個是很有意思的
[00:00:31.600 --> 00:00:37.000]  也是接續我在上次講到陸家福音第五章的經文
[00:00:37.000 --> 00:00:41.160]  我覺得這個是延續篇
[00:00:41.160 --> 00:00:43.040]  全人健康2.0
[00:00:43.040 --> 00:00:46.120]  這個大概是現代的用語
[00:00:46.120 --> 00:00:50.640]  那到底什麼是全人健康的1.0
[00:00:50.640 --> 00:00:53.760]  先有1.0才有2.0
[00:00:53.760 --> 00:01:00.400]  這個1.0大概就是我上次我跟各位講到我真的健康嗎這個題目
[00:01:00.400 --> 00:01:04.840]  不曉得上次聽完以後你覺得你健康嗎
[00:01:04.840 --> 00:01:06.720]  還不錯
[00:01:06.720 --> 00:01:10.200]  還是有需要改善一下我們的健康
[00:01:10.200 --> 00:01:12.440]  這個是我們上次陸家福音第五章
[00:01:12.440 --> 00:01:13.880]  我們講到的經文
[00:01:13.880 --> 00:01:16.440]  跟很快的跟各位來看一次
[00:01:16.440 --> 00:01:17.760]  這裡是講到怎麼樣
[00:01:17.760 --> 00:01:20.280]  有一個灘子
[00:01:20.280 --> 00:01:23.000]  他來到耶穌的面前
[00:01:23.000 --> 00:01:25.800]  他很想見耶穌
[00:01:25.800 --> 00:01:28.640]  我們就說我們其實也不太知道這個灘子
[00:01:28.640 --> 00:01:31.160]  他到底是想要什麼
[00:01:31.160 --> 00:01:33.360]  他是想來耶穌面前聽到
[00:01:33.360 --> 00:01:35.160]  想見耶穌一面
[00:01:35.160 --> 00:01:37.960]  還是真的很想得到醫治
[00:01:37.960 --> 00:01:42.080]  這個就是他的朋友跟他一起來到耶穌的面前
[00:01:42.080 --> 00:01:46.960]  但有一些當時的凡塞人挑戰耶穌
[00:01:46.960 --> 00:01:51.080]  你是為什麼你要赦這個人的罪
[00:01:51.080 --> 00:01:53.680]  你是從哪裡來的權柄
[00:01:53.680 --> 00:01:56.280]  然後耶穌就跟他們說
[00:01:56.280 --> 00:01:58.520]  他能夠醫治這個灘子
[00:01:58.520 --> 00:02:01.080]  也能夠赦免他的罪
[00:02:01.080 --> 00:02:03.560]  他有這個醫治的能力
[00:02:03.560 --> 00:02:06.080]  更有那個赦罪的權柄
[00:02:06.080 --> 00:02:09.560]  這個其實不是人能夠擁有的
[00:02:09.560 --> 00:02:14.280]  都是只有耶穌神才能夠行這個神蹟
[00:02:14.280 --> 00:02:16.360]  去醫治這個灘子
[00:02:16.360 --> 00:02:18.600]  所以這個上次我們有講到這個戲
[00:02:18.600 --> 00:02:23.840]  我覺得這是我們去看看到底我們的健康有多少了
[00:02:23.840 --> 00:02:28.600]  你的健康是不是能夠幫助你知道你真的健康嗎
