
[00:00:00.000 --> 00:00:03.020]  今天我們要思想的經文
[00:00:03.020 --> 00:00:06.060]  跟我們的敬拜很有關係
[00:00:06.060 --> 00:00:08.060]  在我繼續分享的時候
[00:00:08.060 --> 00:00:10.060]  也讓我們一同來一個祈禱
[00:00:10.060 --> 00:00:13.060]  親愛的父神
[00:00:13.060 --> 00:00:16.060]  我們感謝祢賜聖經給我們
[00:00:16.060 --> 00:00:19.060]  成為我們腳前的燈 路上的光
[00:00:19.060 --> 00:00:22.060]  求祢的聖靈開啟我們的心竅
[00:00:22.060 --> 00:00:25.060]  引領我們進入祢的真理當中
[00:00:25.060 --> 00:00:27.060]  讓我們明白祢的旨意
[00:00:27.060 --> 00:00:29.060]  懂得向祢傳敬畏的心
[00:00:30.060 --> 00:00:31.060]  我們的禱告
[00:00:31.060 --> 00:00:33.060]  奉我主耶穌基督的聖名祈求
[00:00:33.060 --> 00:00:35.060]  阿門
[00:00:35.060 --> 00:00:38.060]  今天我會跟大家一起來思想
[00:00:38.060 --> 00:00:40.060]  聖經裡面舊約
[00:00:40.060 --> 00:00:43.060]  列王紀上第三章的經文
[00:00:43.060 --> 00:00:46.060]  經文會比較長
[00:00:46.060 --> 00:00:48.060]  我們不會開頭的時候重讀
[00:00:48.060 --> 00:00:50.060]  但我會分別講解
[00:00:50.060 --> 00:00:52.060]  所以我鼓勵各位打開聖經
[00:00:52.060 --> 00:00:54.060]  不論你是手機的聖經也好
[00:00:54.060 --> 00:00:57.060]  教會所供應前面的聖經也好
[00:00:57.060 --> 00:01:01.060]  在教會聖經裡面是舊約部分第410頁
[00:01:01.060 --> 00:01:04.060]  列王紀上第三章
[00:01:04.060 --> 00:01:07.060]  這段經文是記載在舊約時期
[00:01:07.060 --> 00:01:09.060]  一位相當出名
[00:01:09.060 --> 00:01:12.060]  以智慧來見稱的君王
[00:01:12.060 --> 00:01:14.060]  就是所羅門王
[00:01:14.060 --> 00:01:18.060]  他在登基初的時候所發生的事情
[00:01:18.060 --> 00:01:23.060]  在座在教會長大的弟兄姊妹
[00:01:23.060 --> 00:01:26.060]  對所羅門王相信並不陌生
[00:01:26.060 --> 00:01:28.060]  但我也相信
[00:01:28.060 --> 00:01:31.060]  有部分對舊約聖經不是很熟悉的弟兄姊妹
[00:01:31.060 --> 00:01:33.060]  或者沒有讀過的朋友
[00:01:33.060 --> 00:01:36.060]  在當中我們希望可以很簡單的介紹
[00:01:36.060 --> 00:01:39.060]  所羅門王是一位怎樣的君王
[00:01:39.060 --> 00:01:43.060]  首先我們將時空座標推前兩千年
[00:01:43.060 --> 00:01:47.060]  回到耶穌出生的時代
[00:01:47.060 --> 00:01:49.060]  再推前多一千年
[00:01:49.060 --> 00:01:52.060]  就在猶大國以色列那邊
[00:01:52.060 --> 00:01:54.060]  出現了一位很有名的君王
[00:01:54.060 --> 00:01:57.060]  他的名字叫做大衛
[00:01:57.060 --> 00:02:01.060]  大衛不單止是一位文武相傳的君王
[00:02:01.060 --> 00:02:04.060]  他在軍事上顯出他的領導才能
[00:02:04.060 --> 00:02:09.060]  他的獨特之處在於他專心敬畏上帝
[00:02:09.060 --> 00:02:13.060]  他不單止豐富了以色列人的敬拜制度
[00:02:13.060 --> 00:02:16.060]  用各樣的音樂設立詩班
[00:02:16.060 --> 00:02:18.060]  他也是一位詩人
[00:02:18.060 --> 00:02:20.060]  在聖經裡面的詩篇
[00:02:20.060 --> 00:02:23.060]  有很多篇幅都是來自他的手筆
[00:02:23.060 --> 00:02:26.060]  大衛的影響力之大
[00:02:26.060 --> 00:02:31.060]  成為猶大國後來君王做得合不合格的標準
[00:02:31.060 --> 00:02:36.060]  究竟某某位君王有沒有像他祖先大衛那樣敬畏神呢
[00:02:36.060 --> 00:02:39.060]  甚至到了他們亡國的時候
[00:02:39.060 --> 00:02:43.060]  他們期盼一位拯救他們民族的微塞亞出現的時候
[00:02:43.060 --> 00:02:47.060]  他們都是以大衛的子孫來稱呼他的
[00:02:47.060 --> 00:02:49.060]  所以在新約的聖經
[00:02:49.060 --> 00:02:55.060]  我們看到一些百姓以大衛的子孫來稱呼耶穌基督
[00:02:55.060 --> 00:02:57.060]  就算到了今天
[00:02:57.060 --> 00:02:59.060]  以色列的國徽
[00:02:59.060 --> 00:03:01.060]  中間那個六角形的星
[00:03:01.060 --> 00:03:03.060]  就是大衛之星
[00:03:03.060 --> 00:03:08.060]  可見這位大衛的影響力是多麼的深遠
[00:03:08.060 --> 00:03:12.060]  而所羅門是大衛的其中一個兒子
[00:03:12.060 --> 00:03:15.060]  他並不是長子的孫
[00:03:15.060 --> 00:03:21.060]  但卻是因為神給大衛的一個應許而出生的
[00:03:21.060 --> 00:03:24.060]  大衛不單止將這個國徽傳給他
[00:03:24.060 --> 00:03:31.060]  更加將為神建造聖殿的重任計劃交託給所羅門
[00:03:31.060 --> 00:03:34.060]  而所羅門在登基做王的時候
[00:03:34.060 --> 00:03:38.060]  聖經沒有清楚記載他年紀有多大
[00:03:38.060 --> 00:03:42.060]  但是根據考證應該大概二十歲上下
[00:03:42.060 --> 00:03:44.060]  是一位很年輕的領袖
[00:03:44.060 --> 00:03:49.060]  在聯王紀上第三章記載一個很出名的故事
[00:03:49.060 --> 00:03:52.060]  記載是從第五節開始
[00:03:52.060 --> 00:03:55.060]  我們邊讀邊解釋
[00:03:55.060 --> 00:03:58.060]  在第五節說到在機遍的地方
[00:03:58.060 --> 00:04:01.060]  夜間夢中耶和華
[00:04:01.060 --> 00:04:02.060]  即是上帝
[00:04:02.060 --> 00:04:04.060]  向所羅門顯現
[00:04:04.060 --> 00:04:05.060]  跟祂說
[00:04:05.060 --> 00:04:07.060]  祢願我賜祢什麼
[00:04:07.060 --> 00:04:08.060]  祢可以求
[00:04:08.060 --> 00:04:12.060]  這句本身也是一個很妙的問題
[00:04:12.060 --> 00:04:14.060]  如果換上我們的話
[00:04:14.060 --> 00:04:15.060]  我們會怎樣回答呢
[00:04:15.060 --> 00:04:18.060]  我們願意神賜給我們什麼呢
[00:04:18.060 --> 00:04:20.060]  這跟一些傳說
[00:04:20.060 --> 00:04:23.060]  阿拉丁神燈的神話故事很不同
