
[00:00:00.000 --> 00:00:02.500]  好,我們今天講道開始
[00:00:02.500 --> 00:00:04.400]  今天講道的題目
[00:00:04.400 --> 00:00:06.060]  就是大家看到了
[00:00:06.060 --> 00:00:07.340]  在前面的影片上
[00:00:07.340 --> 00:00:11.280]  約翰福音神蹟括弧三
[00:00:11.280 --> 00:00:14.180]  如果大家一直跟著我的講道
[00:00:14.180 --> 00:00:17.720]  前幾個星期一直在講的題目
[00:00:17.720 --> 00:00:20.440]  大家從這個三字就猜到了
[00:00:20.440 --> 00:00:21.020]  是不是?
[00:00:21.020 --> 00:00:22.800]  上一次是二
[00:00:22.800 --> 00:00:24.440]  再上一次是一
[00:00:24.440 --> 00:00:27.900]  但是在這個一、二的中間
[00:00:27.900 --> 00:00:29.440]  其實有一個G節
[00:00:29.440 --> 00:00:31.580]  如果大家不記得的話
[00:00:31.580 --> 00:00:32.760]  我就先不講了
[00:00:32.760 --> 00:00:34.260]  到最後的時候
[00:00:34.260 --> 00:00:38.800]  我會講一和二之間的特別節傳
[00:00:38.800 --> 00:00:41.100]  今次是第三個神蹟
[00:00:41.100 --> 00:00:44.260]  在約翰福音裡面所記載的神蹟
[00:00:44.260 --> 00:00:45.400]  是第三個
[00:00:45.400 --> 00:00:47.580]  我們打開聖經
[00:00:47.580 --> 00:00:50.960]  在約翰福音的第五章
[00:00:50.960 --> 00:00:53.280]  因為經文有很多
[00:00:53.280 --> 00:00:56.580]  我就沒有全部打在頭影片上
[00:00:56.580 --> 00:00:58.920]  大家可以打開聖經
[00:00:58.920 --> 00:00:59.960]  一直掀開
[00:00:59.960 --> 00:01:01.660]  我們今天是講道
[00:01:01.660 --> 00:01:03.660]  就不跟我們平時禮拜三查經
[00:01:03.660 --> 00:01:06.720]  我們禮拜三查經是逐節講的
[00:01:06.720 --> 00:01:10.340]  因為講道我們不能夠用這麼長時間
[00:01:10.340 --> 00:01:12.460]  我們查經班會過幾小時的
[00:01:12.460 --> 00:01:16.800]  所以就會比較大概地講下去
[00:01:16.800 --> 00:01:18.280]  大家對於聖經
[00:01:18.280 --> 00:01:19.360]  我叫你看的時候
[00:01:19.360 --> 00:01:21.280]  你去看那些重要的地方
[00:01:21.280 --> 00:01:23.620]  一開頭
[00:01:23.620 --> 00:01:24.920]  第五章
[00:01:24.920 --> 00:01:27.920]  應該大部分的聖經都有一個標題的
[00:01:27.920 --> 00:01:31.560]  寫著不士大辭寺治病
[00:01:31.560 --> 00:01:32.160]  是不是?
