
[00:00:00.000 --> 00:00:03.000]  主耶穌基督,我們先一同低頭祈禱
[00:00:03.000 --> 00:00:06.000]  主耶穌基督,我們感謝祢的恩典
[00:00:06.000 --> 00:00:10.000]  讓我們有生命氣息可以一同來敬拜祢
[00:00:10.000 --> 00:00:14.000]  讓我們有祢的華語可以思想研讀
[00:00:14.000 --> 00:00:20.000]  求聖靈在我們當中幫助我們認識主耶穌真正的身份
[00:00:20.000 --> 00:00:23.000]  並願意將我們的生命交給祂
[00:00:23.000 --> 00:00:26.000]  讓祂來帶領我們行走人生的道路
[00:00:26.000 --> 00:00:29.000]  奉主耶穌基督的名祈禱,阿們
[00:00:30.000 --> 00:00:34.000]  上個禮拜我們已經提過
[00:00:34.000 --> 00:00:39.000]  主耶穌揀選十二個使徒之後
[00:00:39.000 --> 00:00:44.000]  就是祂在地上第二階段的侍奉
[00:00:44.000 --> 00:00:50.000]  第二階段的侍奉是要做密集的門徒訓練
[00:00:50.000 --> 00:00:54.000]  那耶穌是怎樣做門徒訓練的呢?
[00:00:54.000 --> 00:00:59.000]  首先祂要求使徒要時時跟著祂
[00:00:59.000 --> 00:01:04.000]  跟祂一起生活,到處傳福音
[00:01:04.000 --> 00:01:07.000]  然後主耶穌講完道之後
[00:01:07.000 --> 00:01:11.000]  使徒如果不明白祂的比喻的話
[00:01:11.000 --> 00:01:15.000]  主耶穌就向他們講解比喻的意思
[00:01:15.000 --> 00:01:19.000]  上個星期我們看到耶穌向他們解釋了撒種的比喻
[00:01:19.000 --> 00:01:23.000]  也繼續跟他們講了一些天國的比喻
[00:01:23.000 --> 00:01:30.000]  耶穌還時時行一些神蹟,讓使徒明白祂不只是凡人
[00:01:30.000 --> 00:01:34.000]  不只是先知,而是上帝的兒子
[00:01:34.000 --> 00:01:39.000]  有上帝的能力做一些人是不可能做得到的事
[00:01:39.000 --> 00:01:42.000]  例如命令風浪平靜
[00:01:42.000 --> 00:01:47.000]  今天讀過的經文記載了耶穌所行的兩個神蹟
[00:01:47.000 --> 00:01:54.000]  這兩個神蹟固然不是一般人可以行的神蹟
[00:01:54.000 --> 00:01:57.000]  只有上帝才能夠行的神蹟
[00:01:57.000 --> 00:02:03.000]  但這兩個神蹟有沒有更深一層的意義呢?
[00:02:03.000 --> 00:02:13.000]  我相信這兩個神蹟都是表明主耶穌效法天父在歷史中所做過的事
[00:02:13.000 --> 00:02:18.000]  主耶穌曾經說過一句話,我正宗地告訴你們
[00:02:18.000 --> 00:02:21.000]  兒子憑著自己不能做什麼
[00:02:21.000 --> 00:02:26.000]  他看見父親做什麼,才做什麼
[00:02:26.000 --> 00:02:30.000]  父親所做的,兒子也做
[00:02:30.000 --> 00:02:34.000]  在耶穌的時代沒有公立學校
[00:02:34.000 --> 00:02:39.000]  一般人都是跟著自己的父親學一門手藝
[00:02:39.000 --> 00:02:42.000]  主耶穌是上帝的兒子
[00:02:42.000 --> 00:02:47.000]  他所做的,都是效法天父所做過的事
[00:02:47.000 --> 00:02:52.000]  因此我先講一件在舊約當中的事件
[00:02:52.000 --> 00:02:57.000]  這件事跟我們今天要思想的第一個神蹟有關
