
[00:00:00.000 --> 00:00:01.560]  過去香港一段時間
[00:00:01.560 --> 00:00:02.880]  我們都知道
[00:00:02.880 --> 00:00:05.520]  香港是一個競爭性的社會
[00:00:05.520 --> 00:00:09.160]  我們利益掛帥或者成果掛帥
[00:00:09.160 --> 00:00:11.840]  產生很多家庭的現象
[00:00:11.840 --> 00:00:15.200]  有人說媽媽叫做虎媽
[00:00:15.200 --> 00:00:16.240]  虎是什麼?
[00:00:16.240 --> 00:00:19.440]  哇!那些老虎的虎
[00:00:19.440 --> 00:00:20.480]  爲什麼要做虎媽?
[00:00:20.480 --> 00:00:22.240]  因爲你不兇他
[00:00:22.240 --> 00:00:23.440]  你不惡他
[00:00:23.440 --> 00:00:24.520]  你不引導他
[00:00:24.520 --> 00:00:26.720]  怎麼進名校啊?
[00:00:26.720 --> 00:00:28.520]  我們又說到那些家長
[00:00:28.520 --> 00:00:30.520]  好像叫直升機家長
[00:00:30.520 --> 00:00:32.680]  其實香港人有很多創意
[00:00:32.680 --> 00:00:33.920]  什麼叫直升機家長?
[00:00:33.920 --> 00:00:35.400]  如果你像我這樣的年紀
[00:00:35.400 --> 00:00:36.680]  看丁當長大的
[00:00:36.680 --> 00:00:39.000]  你就會見到他經常叫做竹蜻蜓
[00:00:39.000 --> 00:00:41.000]  丁當去哪裏?竹蜻蜓去哪裏?
[00:00:41.000 --> 00:00:42.040]  某程度來說
[00:00:42.040 --> 00:00:44.040]  竹蜻蜓是帶着丁當去的
[00:00:44.040 --> 00:00:45.800]  所以直升機家長會覺得
[00:00:45.800 --> 00:00:47.200]  你試一下沒有我
[00:00:47.200 --> 00:00:48.760]  你沒有竹蜻蜓
[00:00:48.760 --> 00:00:52.360]  丁當你去哪裏都不行
[00:00:52.360 --> 00:00:53.760]  家長
[00:00:53.760 --> 00:00:56.920]  我們面對的教育
[00:00:56.920 --> 00:00:58.920]  的確是很不容易
[00:00:58.920 --> 00:01:01.800]  今天想和大家分享的一個題目叫做
[00:01:01.800 --> 00:01:04.160]  正能量媽媽
[00:01:04.160 --> 00:01:06.880]  正能量的媽媽
[00:01:06.880 --> 00:01:11.840]  而我會用的是一段叫做傳道書的經文
[00:01:11.840 --> 00:01:15.840]  我自己也是一個媽媽
[00:01:15.840 --> 00:01:19.520]  然後這個母親節訊息都講了很多篇
[00:01:19.520 --> 00:01:21.120]  有時候我的女兒說
[00:01:21.120 --> 00:01:22.880]  爲什麼又是你說啊?
[00:01:22.880 --> 00:01:24.160]  不是要慶祝的嗎你?
[00:01:24.160 --> 00:01:25.960]  應該放假啊
[00:01:25.960 --> 00:01:28.800]  我很開心她們會覺得
[00:01:28.800 --> 00:01:29.840]  母親節要慶祝
[00:01:29.840 --> 00:01:31.600]  所以我今晚有一餐飯喫
[00:01:31.600 --> 00:01:32.360]  有人請我
[00:01:32.360 --> 00:01:34.760]  有人煮給我喫
[00:01:34.760 --> 00:01:36.320]  正能量的媽媽
[00:01:36.320 --> 00:01:37.760]  鼓勵我們什麼呢?
[00:01:37.760 --> 00:01:42.760]  或者傳道書在這個創造神學的演繹上面
[00:01:42.760 --> 00:01:45.240]  爲什麼和我們作爲一個父母
[00:01:45.240 --> 00:01:48.480]  作爲一個家庭有什麼關係呢?
[00:01:48.480 --> 00:01:50.600]  第一方面我今天很想和大家分享的
[00:01:50.600 --> 00:01:52.800]  叫做知天明
[00:01:52.800 --> 00:01:54.440]  知天明
[00:01:54.440 --> 00:02:00.120]  人要知道天或者創造主的定時
[00:02:00.120 --> 00:02:03.040]  同時人要了解自己
[00:02:03.040 --> 00:02:07.160]  他在創造主當中的本分是什麼
[00:02:07.160 --> 00:02:09.080]  或者他的份是什麼
[00:02:09.080 --> 00:02:13.360]  我們一起去讀傳道書三章第一節
[00:02:13.360 --> 00:02:16.320]  請領寂母讀出這段經文
