
[00:00:00.000 --> 00:00:02.000]  鳳主明問候頂姐妹平安
[00:00:02.000 --> 00:00:04.000]  鳳主問候頂姐妹平安
[00:00:04.000 --> 00:00:09.000]  頂姐妹我們現在去到獵王地下的差不多尾聲了
[00:00:09.000 --> 00:00:12.000]  我們現在來到獵王地下差不多接近尾聲了
[00:00:12.000 --> 00:00:16.000]  我今天的題目是應許測誰第二講
[00:00:16.000 --> 00:00:18.000]  今天的題目是應許測局第二講
[00:00:18.000 --> 00:00:20.000]  猶大第一次被擄
[00:00:20.000 --> 00:00:21.000]  猶大第一次被擄
[00:00:21.000 --> 00:00:24.000]  經文是皇下二十四章八到十六節
[00:00:24.000 --> 00:00:28.000]  經文是獵王地下二十四章八到十六節
[00:00:28.000 --> 00:00:32.000]  耶利米斯二十三章五到六節是我加插下來
[00:00:32.000 --> 00:00:34.000]  就是怎樣看現在這幅圖畫
[00:00:34.000 --> 00:00:37.000]  就是說耶利米斯二十三章五到六節
[00:00:37.000 --> 00:00:39.000]  從我加插下來怎麼看當天這幅圖畫
[00:00:39.000 --> 00:00:42.000]  現在大家手上是有大綱的
[00:00:42.000 --> 00:00:43.000]  現在手上有大綱
[00:00:43.000 --> 00:00:44.000]  有三點
[00:00:44.000 --> 00:00:45.000]  有三點
[00:00:45.000 --> 00:00:46.000]  我還沒進入這個點數之前
[00:00:46.000 --> 00:00:48.000]  我就算要交代前文
[00:00:48.000 --> 00:00:50.000]  就是在我沒講的這個點上
[00:00:50.000 --> 00:00:51.000]  我先交代一下前文
[00:00:51.000 --> 00:00:53.000]  但是我交代前文呢
[00:00:53.000 --> 00:00:55.000]  不只是重複這麼簡單
[00:00:55.000 --> 00:00:57.000]  就是我交代前文不是這麼簡單
[00:00:57.000 --> 00:00:59.000]  有新東西在後面
[00:00:59.000 --> 00:01:00.000]  後面有一些新東西
[00:01:00.000 --> 00:01:03.000]  New material which are very precious
[00:01:03.000 --> 00:01:08.000]  二十四章一A and B
[00:01:08.000 --> 00:01:10.000]  就是二十四章我分開ABC
[00:01:10.000 --> 00:01:14.000]  二十四章一節的上中呢
[00:01:14.000 --> 00:01:18.000]  就是說約瓦敬年間
[00:01:18.000 --> 00:01:20.000]  就是在二十四到一分三部份
[00:01:20.000 --> 00:01:23.000]  A B的前面和中間這部份
[00:01:23.000 --> 00:01:25.000]  在約瓦敬年間
[00:01:25.000 --> 00:01:26.000]  巴比倫王
[00:01:26.000 --> 00:01:28.000]  這個時候呢
[00:01:28.000 --> 00:01:31.000]  說巴比倫王其實他是太子
[00:01:31.000 --> 00:01:32.000]  說他是巴比倫王
[00:01:32.000 --> 00:01:33.000]  實際上他是個太子
[00:01:33.000 --> 00:01:35.000]  大家知道我們寫東西的時候
